Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,5849,1020,6869,27757,34626,-0.432163,0.350845,-0.830748,0
0,0,0,0,0,1684,316,2000,18745,20745,-0.0708128,0.0219345,-0.997248,0
0,0,0,0,0,1422,232,1654,6522,8176,-0.0704457,0.0111697,-0.997453,0
0,0,0,0,0,2504,449,2953,12221,15174,-0.0637892,0.0023654,-0.99796,0
0,0,0,0,0,3778,617,4395,14128,18523,-0.0575118,-0.00195175,-0.998343,0
0,0,0,0,0,2795,484,3279,10493,13772,-0.0516193,-0.00418013,-0.998658,0
0,0,0,0,0,5104,810,5914,14959,20873,-0.0505992,-0.00645314,-0.998698,0
0,0,0,0,0,3394,584,3978,11902,15880,-0.0479901,-0.00755725,-0.998819,0
0,0,0,0,0,3209,533,3742,11145,14887,-0.045223,-0.0076734,-0.998947,0
0,0,0,0,0,3165,587,3752,11456,15208,-0.0428998,-0.00749706,-0.999051,0
0,0,0,0,0,5338,909,6247,16811,23058,-0.0400786,-0.00727372,-0.99917,0
0,0,0,0,0,3743,615,4358,11214,15572,-0.0382016,-0.0067503,-0.999247,0
0,0,0,0,0,2621,445,3066,9561,12627,-0.0369154,-0.00647469,-0.999297,0
0,0,0,0,0,5433,910,6343,16270,22613,-0.0359047,-0.00651005,-0.999334,0
0,0,0,0,0,2192,324,2516,6626,9142,-0.0348432,-0.00648325,-0.999372,0
0,0,0,0,0,1437,251,1688,5436,7124,-0.0344026,-0.00662985,-0.999386,0
0,0,0,0,0,2477,444,2921,9743,12664,-0.0349775,-0.00802917,-0.999356,0
0,0,0,0,0,5470,935,6405,16130,22535,-0.0345902,-0.00713517,-0.999376,0
0,0,0,0,0,2835,473,3308,9703,13011,-0.0341432,-0.00661639,-0.999395,0
0,0,0,0,0,5353,961,6314,16244,22558,-0.0341384,-0.00651656,-0.999396,0
0,0,0,0,0,2294,383,2677,7821,10498,-0.0338277,-0.00658058,-0.999406,0
0,0,0,0,0,1684,277,1961,5544,7505,-0.0337785,-0.00616723,-0.99941,0
0,0,0,0,0,1388,248,1636,5226,6862,-0.0333578,-0.00596404,-0.999426,0
0,0,0,0,0,3499,617,4116,13494,17610,-0.0339786,-0.00609489,-0.999404,0
0,0,0,0,0,5400,962,6362,15290,21652,-0.0340356,-0.00603778,-0.999402,0
0,0,0,0,0,2661,442,3103,10333,13436,-0.0335554,-0.00633851,-0.999417,0
0,0,0,0,0,4013,692,4705,14156,18861,-0.0317584,-0.00515514,-0.999482,0
0,0,0,0,0,2970,502,3472,11707,15179,-0.0320857,-0.00509626,-0.999472,0
0,0,0,0,0,3051,501,3552,11816,15368,-0.0319352,-0.00494729,-0.999477,0
0,0,0,0,0,3751,630,4381,13549,17930,-0.032076,-0.0055835,-0.99947,0
0,0,0,0,0,2800,469,3269,10805,14074,-0.0320591,-0.00528357,-0.999472,0
0,0,0,0,0,4347,723,5070,15262,20332,-0.0316569,-0.00493965,-0.999486,0
0,0,0,0,0,2504,419,2923,10075,12998,-0.0318668,-0.0048955,-0.99948,0
0,0,0,0,0,5413,892,6305,18371,24676,-0.0323493,-0.00477031,-0.999465,0
0,0,0,0,0,2305,379,2684,7699,10383,-0.0317428,-0.00439272,-0.999487,0
0,0,0,0,0,1437,243,1680,5214,6894,-0.0315833,-0.00443988,-0.999492,0
0,0,0,0,0,1645,276,1921,6431,8352,-0.0320073,-0.00456967,-0.999477,0
0,0,0,0,0,5787,1187,6974,19871,26845,-0.0320348,-0.00442836,-0.999477,0
0,0,0,0,0,3482,573,4055,12542,16597,-0.0321202,-0.00448699,-0.999474,0
0,0,0,0,0,2158,364,2522,8713,11235,-0.0319456,-0.00438117,-0.99948,0
0,0,0,0,0,5695,812,6507,18073,24580,-0.0315899,-0.00378341,-0.999494,0
0,0,0,0,0,3495,576,4071,11897,15968,-0.03273,-0.00573955,-0.999448,0
0,0,0,0,0,2152,371,2523,8643,11166,-0.0325839,-0.0058352,-0.999452,0
0,0,0,0,0,5129,1049,6178,16145,22323,-0.0328775,-0.00596094,-0.999442,0
0,0,0,0,0,2730,457,3187,9938,13125,-0.0334428,-0.0053527,-0.999426,0
0,0,0,0,0,2507,422,2929,9810,12739,-0.0333254,-0.00543966,-0.99943,0
0,0,0,0,0,5267,893,6160,18278,24438,-0.0330948,-0.00555511,-0.999437,0
0,0,0,0,0,2812,471,3283,10806,14089,-0.0332545,-0.00586131,-0.99943,0
0,0,0,0,0,5419,925,6344,18347,24691,-0.033296,-0.00569426,-0.999429,0
0,0,0,0,0,2379,364,2743,7552,10295,-0.0329595,-0.00577616,-0.99944,0
0,0,0,0,0,1393,238,1631,5354,6985,-0.0325543,-0.00542938,-0.999455,0
0,0,0,0,0,2268,388,2656,8834,11490,-0.0331063,-0.00546592,-0.999437,0
0,0,0,0,0,5163,798,5961,16220,22181,-0.0327572,-0.00493482,-0.999451,0
0,0,0,0,0,2634,451,3085,10382,13467,-0.033014,-0.00432529,-0.999445,0
0,0,0,0,0,6078,918,6996,19260,26256,-0.033082,-0.00412754,-0.999444,0
0,0,0,0,0,2703,386,3089,8344,11433,-0.0333138,-0.00466506,-0.999434,0
0,0,0,0,0,1557,243,1800,5335,7135,-0.0322032,-0.00414929,-0.999473,0
0,0,0,0,0,5282,910,6192,17345,23537,-0.0321806,-0.00434669,-0.999473,0
0,0,0,0,0,2256,380,2636,9226,11862,-0.0316016,-0.00420611,-0.999492,0
0,0,0,0,0,2964,497,3461,11341,14802,-0.0303963,-0.00488076,-0.999526,0
0,0,0,0,0,4890,846,5736,17681,23417,-0.0306155,-0.0044368,-0.999522,0
0,0,0,0,0,2636,455,3091,10632,13723,-0.0311405,-0.00416888,-0.999506,0
0,0,0,0,0,3958,691,4649,15014,19663,-0.031359,-0.00473696,-0.999497,0
0,0,0,0,0,2972,500,3472,11112,14584,-0.0318024,-0.00438455,-0.999485,0
