Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,7467,1343,8810,-1000,-1000,-1,-1,-1,0
0,0,0,0,0,1442,247,1689,3604,5293,-0.0392156,0.015225,-0.999115,0
0,0,0,0,0,1437,244,1681,3311,4992,-0.041474,0.012956,-0.999056,0
0,0,0,0,0,1640,274,1914,3720,5634,-0.0488814,0.00218947,-0.998802,0
0,0,0,0,0,3688,633,4321,8082,12403,-0.0403002,0.0150961,-0.999074,0
0,0,0,0,0,6859,1160,8019,13668,21687,-0.0468582,0.0147779,-0.998792,0
0,0,0,0,0,3463,604,4067,8324,12391,-0.0579542,0.0243081,-0.998024,0
0,0,0,0,0,3983,676,4659,10271,14930,-0.0697722,0.0499793,-0.99631,0
0,0,0,0,0,5272,876,6148,13915,20063,-0.00904927,0.000219502,-0.999959,0
0,0,0,0,0,2998,519,3517,6746,10263,-0.0336848,0.0227899,-0.999172,0
0,0,0,0,0,6667,1131,7798,13361,21159,-0.0346382,0.0232677,-0.999129,0
0,0,0,0,0,3213,484,3697,5833,9530,-0.0436968,0.0245523,-0.998743,0
0,0,0,0,0,1797,310,2107,4211,6318,-0.0463811,0.0226022,-0.998668,0
0,0,0,0,0,1686,293,1979,4268,6247,-0.0541241,0.0302459,-0.998076,0
0,0,0,0,0,5463,953,6416,15029,21445,-0.0557186,0.0205,-0.998236,0
0,0,0,0,0,3947,674,4621,9905,14526,-0.064143,0.00813028,-0.997908,0
0,0,0,0,0,3874,697,4571,9757,14328,-0.068827,-0.00523094,-0.997615,0
0,0,0,0,0,6063,1015,7078,14604,21682,-0.0516277,-0.0244379,-0.998367,0
0,0,0,0,0,3276,576,3852,7682,11534,-0.0678424,-0.00105899,-0.997695,0
0,0,0,0,0,5010,969,5979,12645,18624,-0.0840816,-0.00167506,-0.996457,0
0,0,0,0,0,3833,773,4606,10581,15187,-0.0312046,-0.0247442,-0.999207,0
0,0,0,0,0,2991,521,3512,6179,9691,-0.0325315,-0.00635876,-0.999451,0
0,0,0,0,0,7574,1178,8752,11238,19990,-0.0358247,0.0174256,-0.999206,0
0,0,0,0,0,3491,596,4087,8160,12247,-0.0411931,0.0188943,-0.998973,0
0,0,0,0,0,6800,1171,7971,12350,20321,-0.0411616,0.0260847,-0.998812,0
0,0,0,0,0,3495,597,4092,8610,12702,-0.0590971,0.0436429,-0.997298,0
0,0,0,0,0,3936,704,4640,12023,16663,-0.022836,-0.0043442,-0.99973,0
0,0,0,0,0,3940,684,4624,8019,12643,-0.0414217,0.0134536,-0.999051,0
0,0,0,0,0,6561,1128,7689,12729,20418,-0.0469329,0.00848811,-0.998862,0
0,0,0,0,0,3458,601,4059,7706,11765,-0.0637628,0.00742852,-0.997937,0
0,0,0,0,0,3938,675,4613,10072,14685,-0.0655681,0.0328877,-0.997306,0
0,0,0,0,0,6668,1172,7840,15767,23607,-0.0377742,0.0070255,-0.999262,0
0,0,0,0,0,2836,481,3317,6443,9760,-0.0448396,0.0146418,-0.998887,0
0,0,0,0,0,3764,632,4396,8881,13277,-0.041492,0.0144224,-0.999035,0
0,0,0,0,0,4686,784,5470,10723,16193,-0.045561,0.0103416,-0.998908,0
0,0,0,0,0,3492,596,4088,8131,12219,-0.0409195,0.0152515,-0.999046,0
0,0,0,0,0,2479,436,2915,5787,8702,-0.0437723,0.0131234,-0.998955,0
0,0,0,0,0,5078,868,5946,11970,17916,-0.0440646,0.0123073,-0.998953,0
0,0,0,0,0,5052,845,5897,10268,16165,-0.0573396,0.0249974,-0.998042,0
0,0,0,0,0,2952,525,3477,7416,10893,-0.0160378,-0.0373041,-0.999175,0
0,0,0,0,0,5684,942,6626,11303,17929,-0.0233184,-0.0400193,-0.998927,0
0,0,0,0,0,4047,713,4760,8576,13336,-0.0357981,-0.046366,-0.998283,0
0,0,0,0,0,7091,1130,8221,12891,21112,-0.0464142,-0.0417065,-0.998051,0
0,0,0,0,0,2830,497,3327,7007,10334,-0.0613029,-0.0577008,-0.99645,0
0,0,0,0,0,5074,903,5977,16587,22564,-0.0169479,-0.0384265,-0.999118,0
0,0,0,0,0,3690,631,4321,8506,12827,-0.0305523,-0.0326771,-0.998999,0
0,0,0,0,0,6010,1013,7023,11988,19011,-0.035533,-0.0286132,-0.998959,0
0,0,0,0,0,3304,562,3866,7087,10953,-0.0376884,-0.0300988,-0.998836,0
0,0,0,0,0,5093,1075,6168,10638,16806,-0.0365561,-0.0291288,-0.998907,0
0,0,0,0,0,3712,634,4346,7882,12228,-0.0496687,-0.0213896,-0.998537,0
0,0,0,0,0,6029,1016,7045,12128,19173,-0.0518387,-0.0236583,-0.998375,0
0,0,0,0,0,4281,723,5004,8781,13785,-0.0593223,-0.0236739,-0.997958,0
0,0,0,0,0,3754,641,4395,9213,13608,-0.0764512,-0.0308475,-0.996596,0
0,0,0,0,0,4613,780,5393,13399,18792,-0.0697525,-0.0274511,-0.997187,0
0,0,0,0,0,3501,610,4111,10462,14573,-0.068695,-0.0148074,-0.997528,0
0,0,0,0,0,4234,691,4925,11150,16075,-0.068832,0.000599792,-0.997628,0
0,0,0,0,0,4963,848,5811,13477,19288,-0.0645044,0.0115708,-0.997851,0
0,0,0,0,0,3789,647,4436,8630,13066,0.0248066,-0.0288522,-0.999276,0
0,0,0,0,0,3760,598,4358,11594,15952,0.0153622,-0.0248842,-0.999572,0
0,0,0,0,0,3466,606,4072,12079,16151,-0.00267369,-0.0185419,-0.999824,0
0,0,0,0,0,4235,759,4994,11895,16889,-0.0183211,-0.0118821,-0.999762,0
0,0,0,0,0,3287,564,3851,7374,11225,-0.0189575,-0.0143615,-0.999717,0
0,0,0,0,0,6584,1119,7703,12123,19826,-0.0205297,-0.0161742,-0.999658,0
0,0,0,0,0,3685,618,4303,7658,11961,-0.0314062,-0.0018912,-0.999505,0
0,0,0,0,0,6602,1189,7791,12048,19839,-0.0337459,-0.00366601,-0.999424,0
0,0,0,0,0,3476,598,4074,7346,11420,-0.0432424,0.011776,-0.998995,0
0,0,0,0,0,5429,922,6351,12145,18496,-0.0599411,0.0386328,-0.997454,0
0,0,0,0,0,3969,690,4659,11819,16478,-0.0685764,0.0335618,-0.997081,0
0,0,0,0,0,6687,1137,7824,14256,22080,-0.0334161,0.0223413,-0.999192,0
0,0,0,0,0,2814,485,3299,7021,10320,-0.0415063,0.0140589,-0.99904,0
0,0,0,0,0,6641,1127,7768,13775,21543,-0.0455458,0.0171326,-0.998815,0
0,0,0,0,0,3492,595,4087,8441,12528,-0.0477641,0.0211248,-0.998635,0
0,0,0,0,0,5461,937,6398,12374,18772,-0.0623054,0.0410208,-0.997214,0
0,0,0,0,0,3958,694,4652,11597,16249,-0.0587103,0.0353279,-0.99765,0
0,0,0,0,0,3739,646,4385,10712,15097,-0.0449018,0.0155197,-0.998871,0
0,0,0,0,0,4590,786,5376,10564,15940,-0.0495801,0.0245238,-0.998469,0
