Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,2427,476,2903,1941,4844,0.0189673,0.0318976,-0.999311,0
0,0,0,0,0,2460,448,2908,1962,4870,0.01853,0.0310485,-0.999346,0
0,0,0,0,0,2723,459,3182,2038,5220,0.0167086,0.0330437,-0.999314,0
0,0,0,0,0,2470,433,2903,1991,4894,0.00676025,0.0450867,-0.99896,0
0,0,0,0,0,2610,497,3107,2418,5525,0.0115021,0.0213065,-0.999707,0
0,0,0,0,0,2599,440,3039,1860,4899,0.0147561,0.01919,-0.999707,0
0,0,0,0,0,2525,562,3087,2004,5091,0.0149586,0.0289649,-0.999469,0
0,0,0,0,0,2470,458,2928,1976,4904,0.0168703,0.0328077,-0.999319,0
0,0,0,0,0,2689,453,3142,2012,5154,0.0180829,0.0251528,-0.99952,0
0,0,0,0,0,2482,432,2914,1779,4693,0.0148147,0.0321473,-0.999373,0
0,0,0,0,0,2556,462,3018,1774,4792,0.0163189,0.0317517,-0.999363,0
0,0,0,0,0,2496,623,3119,2219,5338,0.0197687,0.0293168,-0.999375,0
0,0,0,0,0,2660,444,3104,2045,5149,0.0184705,0.025506,-0.999504,0
0,0,0,0,0,2509,430,2939,1939,4878,0.0190686,0.0296742,-0.999378,0
0,0,0,0,0,2569,433,3002,1986,4988,0.00875381,0.0440188,-0.998992,0
0,0,0,0,0,2579,457,3036,2010,5046,0.00845413,0.0461247,-0.9989,0
0,0,0,0,0,2674,444,3118,2032,5150,0.00766268,0.0477922,-0.998828,0
0,0,0,0,0,2677,434,3111,2116,5227,0.0153651,0.0260873,-0.999542,0
0,0,0,0,0,2487,446,2933,1914,4847,0.0158409,0.0296991,-0.999433,0
0,0,0,0,0,2705,441,3146,2070,5216,0.0134767,0.0408268,-0.999075,0
0,0,0,0,0,2952,450,3402,2362,5764,0.0232516,0.02696,-0.999366,0
0,0,0,0,0,2396,448,2844,1875,4719,0.016054,0.0233049,-0.9996,0
0,0,0,0,0,2500,426,2926,1971,4897,0.00354508,0.0452357,-0.99897,0
0,0,0,0,0,2512,456,2968,1873,4841,0.00692352,0.0431131,-0.999046,0
0,0,0,0,0,2545,456,3001,2048,5049,0.00782685,0.0435622,-0.99902,0
0,0,0,0,0,2633,451,3084,2170,5254,0.0206328,0.0342945,-0.999199,0
0,0,0,0,0,2538,447,2985,2076,5061,0.00434755,0.0468821,-0.998891,0
0,0,0,0,0,2465,454,2919,2062,4981,0.00385698,0.0480021,-0.99884,0
0,0,0,0,0,2760,446,3206,2234,5440,-0.00161815,0.0603055,-0.998179,0
0,0,0,0,0,2607,495,3102,2257,5359,0.00411161,0.0385173,-0.999249,0
0,0,0,0,0,2475,427,2902,2059,4961,0.0159227,0.0311956,-0.999386,0
0,0,0,0,0,2423,460,2883,1858,4741,0.0120378,0.0308086,-0.999453,0
0,0,0,0,0,2553,436,2989,1853,4842,0.0137421,0.0321715,-0.999388,0
