Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,2435,419,2854,9826,12680,-0.0196067,0.0235451,-0.99953,0
0,0,0,0,0,2329,453,2782,10851,13633,-0.0195885,0.0266961,-0.999452,0
0,0,0,0,0,2488,441,2929,10020,12949,-0.0240222,0.0349126,-0.999102,0
0,0,0,0,0,2534,473,3007,10111,13118,-0.000125679,0.0537816,-0.998553,0
0,0,0,0,0,2489,435,2924,11499,14423,0.00230067,0.0541322,-0.998531,0
0,0,0,0,0,2384,457,2841,11122,13963,0.0110377,0.0443595,-0.998955,0
0,0,0,0,0,2376,442,2818,11803,14621,0.0217652,0.0226937,-0.999505,0
0,0,0,0,0,3649,625,4274,14204,18478,0.0120531,0.0420031,-0.999045,0
0,0,0,0,0,2280,424,2704,11548,14252,0.00366914,0.0183204,-0.999826,0
0,0,0,0,0,2370,452,2822,10974,13796,0.00401744,-0.00350192,-0.999986,0
0,0,0,0,0,2331,432,2763,10761,13524,-0.00475638,-0.00874291,-0.999951,0
0,0,0,0,0,2260,445,2705,9820,12525,-0.00147872,-0.00650511,-0.999978,0
0,0,0,0,0,2423,433,2856,9156,12012,0.020037,0.00647894,-0.999778,0
0,0,0,0,0,2316,451,2767,9872,12639,0.0167462,-0.00468082,-0.999849,0
0,0,0,0,0,2323,450,2773,10420,13193,0.00321016,0.00258183,-0.999992,0
0,0,0,0,0,2479,468,2947,10422,13369,-0.00904102,0.00906666,-0.999918,0
0,0,0,0,0,2453,428,2881,9961,12842,-0.00349418,0.00915238,-0.999952,0
0,0,0,0,0,2399,470,2869,10282,13151,-0.0155321,0.0311465,-0.999394,0
0,0,0,0,0,2417,446,2863,10274,13137,-0.028074,0.023542,-0.999329,0
0,0,0,0,0,2370,458,2828,10287,13115,-0.0216931,0.00475793,-0.999753,0
0,0,0,0,0,2310,449,2759,9654,12413,-0.0009512,-0.00506777,-0.999987,0
0,0,0,0,0,2343,429,2772,9992,12764,-0.00813243,-0.0155711,-0.999846,0
0,0,0,0,0,2520,428,2948,10025,12973,-0.00696118,-0.00454577,-0.999966,0
0,0,0,0,0,2444,456,2900,9884,12784,-0.00286276,-0.00537559,-0.999981,0
0,0,0,0,0,2513,476,2989,10814,13803,-0.00108612,-0.00669986,-0.999977,0
0,0,0,0,0,2418,470,2888,10157,13045,0.00660208,-0.00268543,-0.999975,0
0,0,0,0,0,2375,452,2827,11382,14209,0.00358707,-0.00982268,-0.999945,0
0,0,0,0,0,2262,420,2682,10655,13337,0.0121908,-0.0134034,-0.999836,0
0,0,0,0,0,3803,638,4441,14700,19141,0.009711,-0.0162684,-0.99982,0
0,0,0,0,0,2352,438,2790,10724,13514,0.0141162,-0.0201925,-0.999696,0
0,0,0,0,0,2344,441,2785,10808,13593,0.017808,-0.0203319,-0.999635,0
0,0,0,0,0,2282,455,2737,11027,13764,0.0179145,-0.0217297,-0.999603,0
0,0,0,0,0,2265,443,2708,11184,13892,0.017479,-0.023905,-0.999561,0
0,0,0,0,0,2404,484,2888,10231,13119,-0.0230842,-0.0359929,-0.999085,0
0,0,0,0,0,2436,439,2875,8479,11354,-0.0172472,-0.00523618,-0.999838,0
0,0,0,0,0,2390,429,2819,9547,12366,-0.0285053,0.0163499,-0.99946,0
0,0,0,0,0,2505,427,2932,10606,13538,-0.0223616,0.00906181,-0.999709,0
0,0,0,0,0,2474,421,2895,9919,12814,-0.0231828,0.0128492,-0.999649,0
0,0,0,0,0,3792,610,4402,12274,16676,-0.023041,0.0181206,-0.99957,0
0,0,0,0,0,2394,490,2884,9490,12374,-0.0296276,0.0105123,-0.999506,0
0,0,0,0,0,2525,435,2960,9363,12323,-0.0213242,0.0159763,-0.999645,0
0,0,0,0,0,2428,429,2857,9531,12388,0.00124284,0.00606475,-0.999981,0
0,0,0,0,0,2370,442,2812,11066,13878,0.00166715,-0.00283353,-0.999995,0
0,0,0,0,0,2352,448,2800,9700,12500,-0.0137274,0.00543936,-0.999891,0
0,0,0,0,0,2366,420,2786,9241,12027,0.00376067,-0.00214189,-0.999991,0
0,0,0,0,0,2312,425,2737,9789,12526,-0.00271472,0.000281877,-0.999996,0
0,0,0,0,0,2466,424,2890,9917,12807,0.00616702,-0.00398567,-0.999973,0
0,0,0,0,0,2735,441,3176,10136,13312,-0.0133179,0.013108,-0.999825,0
0,0,0,0,0,2394,443,2837,9202,12039,0.00859719,0.0326104,-0.999431,0
0,0,0,0,0,2400,442,2842,10875,13717,-0.0580694,-0.0327352,-0.997776,0
0,0,0,0,0,2467,420,2887,6007,8894,0.000503835,-0.015619,-0.999878,0
0,0,0,0,0,2347,441,2788,9489,12277,0.0104991,-0.0204826,-0.999735,0
0,0,0,0,0,2493,436,2929,9595,12524,0.00622693,-0.035013,-0.999367,0
0,0,0,0,0,2532,428,2960,9391,12351,-0.00802763,-0.0393556,-0.999193,0
0,0,0,0,0,2521,468,2989,8656,11645,-0.0220807,-0.0145486,-0.999651,0
0,0,0,0,0,2555,449,3004,7836,10840,-0.0283294,-0.00420483,-0.99959,0
0,0,0,0,0,2533,420,2953,7581,10534,-0.0324347,0.0222886,-0.999225,0
0,0,0,0,0,2505,470,2975,7965,10940,-0.0321362,0.0172068,-0.999335,0
0,0,0,0,0,3498,479,3977,8105,12082,-0.0290895,0.0255642,-0.99925,0
