Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,5604,1091,6695,44460,51155,-0.00440443,0.0245361,-0.999689,0
0,0,0,0,0,1692,301,1993,11280,13273,6.47353e-05,0.0295487,-0.999563,0
0,0,0,0,0,1364,254,1618,9453,11071,0.0082995,0.0502468,-0.998703,0
0,0,0,0,0,1568,296,1864,11982,13846,0.00444266,0.0300546,-0.999539,0
0,0,0,0,0,2499,485,2984,17814,20798,0.0016672,0.025269,-0.99968,0
0,0,0,0,0,2511,481,2992,19570,22562,0.0010294,0.0243903,-0.999702,0
0,0,0,0,0,1792,346,2138,16218,18356,0.00178419,0.0250377,-0.999685,0
0,0,0,0,0,2010,391,2401,16220,18621,-0.000665654,0.0231519,-0.999732,0
0,0,0,0,0,2282,442,2724,16174,18898,0.00744418,0.0435685,-0.999023,0
0,0,0,0,0,2642,508,3150,19386,22536,0.00261955,0.031969,-0.999486,0
0,0,0,0,0,1842,359,2201,15331,17532,0.00270938,0.0263634,-0.999649,0
0,0,0,0,0,2097,421,2518,17484,20002,0.00265952,0.0236706,-0.999716,0
0,0,0,0,0,2013,389,2402,16516,18918,0.000524681,0.0236832,-0.999719,0
0,0,0,0,0,2284,443,2727,18714,21441,0.000630821,0.0243495,-0.999704,0
0,0,0,0,0,1934,376,2310,15870,18180,0.000498961,0.0255663,-0.999673,0
0,0,0,0,0,1851,356,2207,14085,16292,-0.00332087,0.0260751,-0.999654,0
0,0,0,0,0,2379,470,2849,17549,20398,-0.0113101,0.0293662,-0.999505,0
0,0,0,0,0,2401,464,2865,19101,21966,-0.00799951,0.0267836,-0.999609,0
0,0,0,0,0,1737,332,2069,13391,15460,-0.00490779,0.0258168,-0.999654,0
0,0,0,0,0,5678,1110,6788,25271,32059,-0.00661978,0.0219039,-0.999738,0
0,0,0,0,0,1507,308,1815,10470,12285,-0.00148895,0.0191336,-0.999816,0
0,0,0,0,0,1731,342,2073,15573,17646,-0.00328702,0.00509734,-0.999982,0
0,0,0,0,0,1940,378,2318,16256,18574,-0.00729803,-0.0153555,-0.999855,0
0,0,0,0,0,2181,422,2603,18435,21038,-0.0130139,-0.0228736,-0.999654,0
0,0,0,0,0,5784,1073,6857,31550,38407,-0.0181689,-0.0667937,-0.997602,0
0,0,0,0,0,1817,344,2161,9874,12035,-0.0154884,-0.0461989,-0.998812,0
0,0,0,0,0,1324,239,1563,8786,10349,-0.0158564,-0.0193833,-0.999686,0
0,0,0,0,0,1283,251,1534,8439,9973,-0.0198076,-0.00563482,-0.999788,0
0,0,0,0,0,2103,432,2535,13639,16174,-0.0244129,-0.00890713,-0.999662,0
0,0,0,0,0,3116,589,3705,18838,22543,-0.0346482,0.0259331,-0.999063,0
0,0,0,0,0,2510,477,2987,16383,19370,-0.0613868,0.0387822,-0.99736,0
0,0,0,0,0,6018,1157,7175,23078,30253,-0.0923874,0.0413841,-0.994863,0
