Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,5987,1110,7097,22044,29141,-0.19508,0.143336,-0.970257,0
0,0,0,0,0,6694,1179,7873,24760,32633,0.00293207,0.0122958,-0.99992,0
0,0,0,0,0,1616,309,1925,8521,10446,0.00734323,0.0251119,-0.999658,0
0,0,0,0,0,1521,295,1816,9408,11224,0.0129658,0.0181451,-0.999751,0
0,0,0,0,0,4987,910,5897,27493,33390,0.00699347,0.0304992,-0.99951,0
0,0,0,0,0,2077,370,2447,11430,13877,0.00657299,0.0329994,-0.999434,0
0,0,0,0,0,5413,1003,6416,23711,30127,0.00652266,0.0355857,-0.999345,0
0,0,0,0,0,1775,330,2105,12223,14328,0.00819049,0.0354748,-0.999337,0
0,0,0,0,0,1713,321,2034,12274,14308,0.00854798,0.0375744,-0.999257,0
0,0,0,0,0,2822,527,3349,20993,24342,0.00819995,0.0404988,-0.999146,0
0,0,0,0,0,2332,439,2771,15537,18308,0.010027,0.043568,-0.999,0
0,0,0,0,0,2218,419,2637,15569,18206,0.00723492,0.0484111,-0.998801,0
0,0,0,0,0,2527,475,3002,17287,20289,0.0103329,0.0529431,-0.998544,0
0,0,0,0,0,2437,453,2890,14522,17412,0.0095077,0.0589505,-0.998216,0
0,0,0,0,0,2835,528,3363,16485,19848,0.00984793,0.0645325,-0.997867,0
0,0,0,0,0,2858,529,3387,17355,20742,0.00899016,0.0617292,-0.998052,0
0,0,0,0,0,2003,373,2376,12609,14985,0.00906418,0.0645888,-0.997871,0
0,0,0,0,0,2186,400,2586,13124,15710,0.00671287,0.0688348,-0.997605,0
0,0,0,0,0,3429,636,4065,18433,22498,0.0090849,0.0876871,-0.996107,0
0,0,0,0,0,2762,502,3264,15634,18898,0.012304,0.0950073,-0.995401,0
0,0,0,0,0,2335,416,2751,13412,16163,0.00959218,0.0952302,-0.995409,0
0,0,0,0,0,2796,486,3282,15735,19017,0.0107359,0.126689,-0.991885,0
0,0,0,0,0,2698,478,3176,15674,18850,0.0119162,0.152305,-0.988262,0
0,0,0,0,0,3046,533,3579,17143,20722,0.00669186,0.157953,-0.987424,0
0,0,0,0,0,2486,500,2986,13365,16351,0.0184796,0.173264,-0.984702,0
0,0,0,0,0,2876,505,3381,16412,19793,0.0188377,0.179234,-0.983626,0
0,0,0,0,0,2425,430,2855,14003,16858,0.00840208,0.207785,-0.978139,0
0,0,0,0,0,3897,677,4574,19712,24286,0.0167696,0.252891,-0.967349,0
0,0,0,0,0,3096,579,3675,16435,20110,0.0146597,0.267554,-0.963431,0
0,0,0,0,0,2169,384,2553,11410,13963,0.0268201,0.315199,-0.948646,0
0,0,0,0,0,3233,557,3790,16438,20228,0.0206855,0.353683,-0.935137,0
0,0,0,0,0,3239,560,3799,16502,20301,0.0277946,0.38329,-0.923209,0
0,0,0,0,0,2645,454,3099,12929,16028,0.0222895,0.432684,-0.90127,0
0,0,0,0,0,2853,498,3351,13845,17196,0.0202316,0.451698,-0.891941,0
0,0,0,0,0,3334,593,3927,16261,20188,-0.0129016,0.476766,-0.878936,0
0,0,0,0,0,2661,458,3119,14869,17988,-0.011403,0.500435,-0.865699,0
0,0,0,0,0,5562,970,6532,21616,28148,-0.0315166,0.57155,-0.819962,0
0,0,0,0,0,2094,354,2448,11325,13773,-0.0503776,0.571234,-0.81924,0
0,0,0,0,0,1918,334,2252,10482,12734,-0.0936152,0.617637,-0.780872,0
0,0,0,0,0,4172,726,4898,22880,27778,-0.0912146,0.657545,-0.747874,0
