Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,7469,1739,9208,19072,28280,-0.14775,0.159318,-0.976109,0
0,0,0,0,0,2207,414,2621,21064,23685,-0.0141652,0.00642983,-0.999879,0
0,0,0,0,0,1564,297,1861,18519,20380,0.00301433,-0.0091921,-0.999953,0
0,0,0,0,0,1837,349,2186,20434,22620,0.0120784,0.00732915,-0.9999,0
0,0,0,0,0,1663,310,1973,22046,24019,0.00788517,0.00096163,-0.999968,0
0,0,0,0,0,1517,292,1809,17937,19746,0.00256237,-0.0157274,-0.999873,0
0,0,0,0,0,1740,321,2061,21846,23907,0.0012948,-0.0128279,-0.999917,0
0,0,0,0,0,1905,316,2221,21180,23401,0.000318215,-0.00486297,-0.999988,0
0,0,0,0,0,1527,288,1815,19798,21613,0.00469463,-0.0140606,-0.99989,0
0,0,0,0,0,6688,1161,7849,31547,39396,0.000811604,-0.00410248,-0.999991,0
0,0,0,0,0,1386,251,1637,17502,19139,0.00154863,0.00120048,-0.999998,0
0,0,0,0,0,6298,1192,7490,32888,40378,0.0151837,-0.00779701,-0.999854,0
0,0,0,0,0,1481,277,1758,17812,19570,0.0123618,-0.00796491,-0.999892,0
0,0,0,0,0,1343,292,1635,17216,18851,0.00281885,-0.0047945,-0.999985,0
0,0,0,0,0,1569,301,1870,18866,20736,-0.00689913,0.0160699,-0.999847,0
0,0,0,0,0,1906,363,2269,23381,25650,-0.00173336,0.00536092,-0.999984,0
0,0,0,0,0,1488,277,1765,17746,19511,-0.00325244,-0.00258649,-0.999991,0
0,0,0,0,0,1568,292,1860,17862,19722,0.00249319,-0.0247987,-0.999689,0
0,0,0,0,0,1622,305,1927,19746,21673,-0.00257182,-0.0213107,-0.99977,0
0,0,0,0,0,1960,364,2324,23085,25409,0.00101095,-0.0301532,-0.999545,0
0,0,0,0,0,1613,302,1915,18814,20729,0.00704283,-0.0323901,-0.999451,0
0,0,0,0,0,1828,339,2167,21075,23242,0.0142677,-0.0325886,-0.999367,0
0,0,0,0,0,1615,300,1915,19162,21077,0.0095647,-0.0185315,-0.999783,0
0,0,0,0,0,1600,299,1899,19859,21758,0.00244974,-0.0151218,-0.999883,0
0,0,0,0,0,1519,286,1805,19853,21658,0.00120984,-0.018245,-0.999833,0
0,0,0,0,0,1616,302,1918,19768,21686,0.00278136,-0.0213094,-0.999769,0
0,0,0,0,0,1571,291,1862,19842,21704,0.00273897,-0.0265832,-0.999643,0
0,0,0,0,0,1951,361,2312,22209,24521,0.0139853,-0.0143249,-0.9998,0
0,0,0,0,0,1647,301,1948,18721,20669,0.00963968,-0.0115844,-0.999886,0
0,0,0,0,0,1563,293,1856,17159,19015,0.0196535,0.00964537,-0.999761,0
0,0,0,0,0,1657,304,1961,19293,21254,0.00721855,0.0297941,-0.99953,0
0,0,0,0,0,1966,389,2355,22400,24755,0.0172563,0.0171059,-0.999705,0
0,0,0,0,0,1533,284,1817,17741,19558,0.0182718,0.0149679,-0.999721,0
0,0,0,0,0,1774,330,2104,19539,21643,0.00434144,0.0502416,-0.998728,0
0,0,0,0,0,1561,294,1855,18580,20435,0.00815722,0.00639959,-0.999946,0
0,0,0,0,0,1835,358,2193,23020,25213,0.0140909,-0.00131516,-0.9999,0
0,0,0,0,0,1623,302,1925,19174,21099,0.00837481,-0.0121311,-0.999891,0
0,0,0,0,0,1538,292,1830,16418,18248,0.00266624,0.0317802,-0.999491,0
0,0,0,0,0,1786,333,2119,22064,24183,-0.00338405,0.0331426,-0.999445,0
0,0,0,0,0,1670,403,2073,17649,19722,-0.00949174,0.0449836,-0.998943,0
