Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,7947,811,8758,16201,24959,-0.0604513,-0.0524213,-0.996794,0
0,0,0,0,0,2322,457,2779,119087,121866,-0.10472,-0.0431113,-0.993567,0
0,0,0,0,0,1712,246,1958,117,2075,-0.107937,-0.0473299,-0.99303,0
0,0,0,0,0,1665,241,1906,79,1985,-0.100969,-0.0522972,-0.993514,0
0,0,0,0,0,4310,504,4814,181,4995,-0.0954452,-0.0474457,-0.994303,0
0,0,0,0,0,4956,983,5939,134078,140017,-0.0593722,-0.0801777,-0.995011,0
0,0,0,0,0,1657,246,1903,269,2172,-0.0546998,-0.0684821,-0.996152,0
0,0,0,0,0,1696,352,2048,140,2188,-0.0582984,-0.0631449,-0.9963,0
0,0,0,0,0,1747,286,2033,77,2110,-0.0481289,-0.0852874,-0.995193,0
0,0,0,0,0,5844,875,6719,1433,8152,-0.0483254,-0.0764061,-0.995905,0
0,0,0,0,0,7020,1046,8066,949,9015,-0.0534062,-0.0675977,-0.996282,0
0,0,0,0,0,7844,1052,8896,418,9314,-0.0535707,-0.0673812,-0.996288,0
0,0,0,0,0,5018,742,5760,278,6038,-0.052462,-0.0767429,-0.99567,0
0,0,0,0,0,6978,1054,8032,752,8784,-0.0562601,-0.0666081,-0.996192,0
0,0,0,0,0,6999,1043,8042,398,8440,-0.0706434,-0.0433891,-0.996558,0
0,0,0,0,0,7110,1403,8513,126225,134738,-0.076419,-0.0270577,-0.996709,0
0,0,0,0,0,1653,338,1991,125770,127761,-0.0516578,0.0123159,-0.998589,0
0,0,0,0,0,1660,244,1904,746,2650,-0.055139,0.00136485,-0.998478,0
0,0,0,0,0,1663,245,1908,338,2246,-0.0606831,-0.0089723,-0.998117,0
0,0,0,0,0,1649,285,1934,89,2023,-0.068651,-0.0251059,-0.997325,0
0,0,0,0,0,1644,327,1971,123748,125719,-0.0772324,0.0277712,-0.996626,0
0,0,0,0,0,1707,247,1954,1189,3143,-0.0765494,-0.00975709,-0.997018,0
0,0,0,0,0,1656,261,1917,77,1994,-0.0730995,-0.0122665,-0.997249,0
0,0,0,0,0,1704,242,1946,82,2028,-0.0689332,-0.0130154,-0.997537,0
0,0,0,0,0,1641,243,1884,86,1970,-0.0746321,-0.212005,-0.974415,0
0,0,0,0,0,2966,454,3420,12622,16042,-0.0609935,-0.222607,-0.972999,0
0,0,0,0,0,6315,1055,7370,23447,30817,-0.0532722,-0.22853,-0.972078,0
