Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,6472,1214,7686,-1000,-1000,-1,-1,-1,0
0,0,0,0,0,1559,272,1831,4035,5866,0.0111357,-0.00440917,-0.999928,0
0,0,0,0,0,1615,286,1901,3747,5648,0.0310465,0.0258601,-0.999184,0
0,0,0,0,0,5744,1005,6749,16091,22840,0.0409257,0.0115798,-0.999095,0
0,0,0,0,0,4237,759,4996,10058,15054,0.0492398,0.00955722,-0.998741,0
0,0,0,0,0,2538,470,3008,7308,10316,0.0248639,-0.0100336,-0.99964,0
0,0,0,0,0,5993,1040,7033,12990,20023,0.0268846,-0.00873903,-0.9996,0
0,0,0,0,0,4117,722,4839,8848,13687,0.046574,0.00261847,-0.998911,0
0,0,0,0,0,3757,694,4451,10288,14739,-0.00576043,-0.0464511,-0.998904,0
0,0,0,0,0,6365,1127,7492,11607,19099,0.00437972,-0.011171,-0.999928,0
0,0,0,0,0,3353,571,3924,7806,11730,0.0067649,-0.00514249,-0.999964,0
0,0,0,0,0,3142,586,3728,7756,11484,0.0111888,-0.00401421,-0.99993,0
0,0,0,0,0,4794,865,5659,11186,16845,0.0174248,0.0156878,-0.999725,0
0,0,0,0,0,3542,661,4203,10333,14536,0.024402,0.0148578,-0.999592,0
0,0,0,0,0,4642,875,5517,12941,18458,0.0339346,0.0163659,-0.99929,0
0,0,0,0,0,3345,604,3949,8931,12880,0.0351673,0.0278997,-0.998992,0
0,0,0,0,0,6221,1079,7300,14194,21494,0.019961,0.0176294,-0.999645,0
0,0,0,0,0,2578,458,3036,6306,9342,0.0314322,0.0316109,-0.999006,0
0,0,0,0,0,1690,297,1987,4807,6794,0.0323369,0.0184665,-0.999306,0
0,0,0,0,0,2035,359,2394,5606,8000,0.0386388,0.0147005,-0.999145,0
0,0,0,0,0,6412,1131,7543,15632,23175,-0.00202519,-0.0357891,-0.999357,0
0,0,0,0,0,4091,727,4818,8857,13675,0.00492777,-0.0189667,-0.999808,0
0,0,0,0,0,3831,677,4508,8499,13007,0.0073742,-0.0192253,-0.999788,0
0,0,0,0,0,6757,1442,8199,12978,21177,0.00774529,-0.0172628,-0.999821,0
0,0,0,0,0,3396,595,3991,7922,11913,0.00970511,-0.00904398,-0.999912,0
0,0,0,0,0,5335,926,6261,11031,17292,0.0162779,0.0112776,-0.999804,0
0,0,0,0,0,3923,670,4593,10294,14887,-0.00659361,0.0491144,-0.998772,0
0,0,0,0,0,3639,634,4273,12376,16649,-0.0194337,0.075997,-0.996919,0
0,0,0,0,0,3416,602,4018,14486,18504,-0.0194407,0.0494401,-0.998588,0
0,0,0,0,0,2772,484,3256,11700,14956,-0.0218686,0.0581386,-0.998069,0
0,0,0,0,0,3901,694,4595,16129,20724,-0.0186485,0.0681745,-0.997499,0
0,0,0,0,0,3058,538,3596,12928,16524,-0.0173902,0.0505631,-0.99857,0
0,0,0,0,0,2914,505,3419,11368,14787,-0.0016454,0.0327729,-0.999461,0
0,0,0,0,0,4212,742,4954,13825,18779,-8.85411e-05,0.038331,-0.999265,0
0,0,0,0,0,4165,744,4909,12912,17821,0.00592782,0.0575196,-0.998327,0
0,0,0,0,0,2649,465,3114,9145,12259,0.0104364,0.0548118,-0.998442,0
0,0,0,0,0,6436,1123,7559,19906,27465,0.00685393,0.0559933,-0.998408,0
0,0,0,0,0,2908,483,3391,8041,11432,0.0229248,0.0400894,-0.998933,0
0,0,0,0,0,1938,305,2243,4905,7148,0.0352761,0.0483299,-0.998209,0
0,0,0,0,0,1601,275,1876,4507,6383,0.040922,0.061841,-0.997247,0
0,0,0,0,0,6559,1112,7671,18241,25912,0.0278792,0.0156861,-0.999488,0
0,0,0,0,0,3266,570,3836,7090,10926,0.0292495,0.0263456,-0.999225,0
0,0,0,0,0,2918,505,3423,8212,11635,0.0339409,0.0345063,-0.998828,0
0,0,0,0,0,6468,1121,7589,11737,19326,0.0388822,0.0482507,-0.998078,0
0,0,0,0,0,2611,454,3065,5527,8592,0.0427011,0.0628395,-0.99711,0
0,0,0,0,0,4528,773,5301,12980,18281,0.0459057,0.0587282,-0.997218,0
0,0,0,0,0,3496,624,4120,17648,21768,-0.059903,0.00222394,-0.998202,0
0,0,0,0,0,5911,1134,7045,27099,34144,-0.0545732,-0.010838,-0.998451,0
0,0,0,0,0,1521,288,1809,15367,17176,-0.0490448,-0.00713351,-0.998771,0
0,0,0,0,0,1636,309,1945,20038,21983,-0.0496373,0.0170087,-0.998622,0
0,0,0,0,0,1655,311,1966,23590,25556,-0.0627967,0.00291935,-0.998022,0
0,0,0,0,0,1622,306,1928,24506,26434,-0.0637487,-0.0133857,-0.997876,0
0,0,0,0,0,1630,310,1940,26239,28179,-0.0717664,-0.0242793,-0.997126,0
0,0,0,0,0,1385,270,1655,21636,23291,-0.0434996,-0.0156831,-0.99893,0
0,0,0,0,0,1494,300,1794,20822,22616,-0.0516214,-0.0145438,-0.998561,0
0,0,0,0,0,1429,265,1694,22198,23892,-0.05195,0.00674491,-0.998627,0
0,0,0,0,0,1581,307,1888,23608,25496,-0.0583069,0.00714062,-0.998273,0
0,0,0,0,0,1621,297,1918,22346,24264,-0.0651626,0.00553131,-0.997859,0
0,0,0,0,0,1457,271,1728,21801,23529,-0.0462049,-0.00428409,-0.998923,0
0,0,0,0,0,1490,280,1770,19099,20869,-0.0545865,0.00256842,-0.998506,0
0,0,0,0,0,1745,328,2073,20316,22389,-0.0652634,0.00630537,-0.997848,0
0,0,0,0,0,1703,315,2018,18422,20440,-0.0577158,-0.00609049,-0.998315,0
0,0,0,0,0,6172,1081,7253,36099,43352,-0.00126816,-0.00316618,-0.999994,0
0,0,0,0,0,1935,364,2299,13911,16210,-0.00443149,-0.0361221,-0.999337,0
0,0,0,0,0,1415,259,1674,13297,14971,-0.0132817,-0.0441506,-0.998937,0
0,0,0,0,0,1609,288,1897,14235,16132,-0.0148553,-0.0416529,-0.999022,0
0,0,0,0,0,1606,281,1887,14430,16317,-0.000508144,-0.0440504,-0.999029,0
0,0,0,0,0,6483,1178,7661,35913,43574,-0.000718011,-0.0305311,-0.999534,0
0,0,0,0,0,2242,378,2620,13656,16276,0.00124704,-0.0374141,-0.999299,0
0,0,0,0,0,1417,256,1673,11828,13501,0.00284982,0.00312351,-0.999991,0
0,0,0,0,0,1429,257,1686,13572,15258,0.00323462,0.0214544,-0.999765,0
0,0,0,0,0,2052,370,2422,17949,20371,0.00631134,0.0150994,-0.999866,0
0,0,0,0,0,2306,417,2723,19993,22716,0.00885424,-0.00132474,-0.99996,0
0,0,0,0,0,1741,311,2052,15820,17872,0.00335011,0.00837441,-0.999959,0
0,0,0,0,0,1935,345,2280,18425,20705,0.0111274,0.00574128,-0.999922,0
0,0,0,0,0,1709,306,2015,15213,17228,0.010963,0.0563841,-0.998349,0
0,0,0,0,0,5875,1078,6953,30008,36961,0.00545953,0.0158256,-0.99986,0
0,0,0,0,0,1698,304,2002,13533,15535,0.00830779,0.0475513,-0.998835,0
0,0,0,0,0,1661,303,1964,15115,17079,0.00329564,-0.0141508,-0.999895,0
0,0,0,0,0,1985,359,2344,18048,20392,0.00915185,-0.0167887,-0.999817,0
0,0,0,0,0,2214,397,2611,19725,22336,0.00145318,0.00158032,-0.999998,0
0,0,0,0,0,1912,342,2254,16706,18960,0.00990801,0.0274458,-0.999574,0
0,0,0,0,0,1860,331,2191,16886,19077,0.00584942,0.00346795,-0.999977,0
0,0,0,0,0,2310,421,2731,13571,16302,0.00278719,-0.0109828,-0.999936,0
0,0,0,0,0,2110,395,2505,19855,22360,0.00634222,0.0188921,-0.999801,0
0,0,0,0,0,2223,396,2619,20577,23196,-0.000818477,-0.00198549,-0.999998,0
0,0,0,0,0,6515,1196,7711,31798,39509,0.0252996,0.0105993,-0.999624,0
0,0,0,0,0,1929,344,2273,13902,16175,0.0117569,-0.0214222,-0.999701,0
0,0,0,0,0,1438,281,1719,12238,13957,0.0047687,0.00457177,-0.999978,0
0,0,0,0,0,1401,253,1654,13164,14818,-0.00122946,0.0122215,-0.999925,0
0,0,0,0,0,1860,332,2192,17586,19778,0.00990943,0.0383613,-0.999215,0
0,0,0,0,0,1694,345,2039,16343,18382,0.00769043,0.0260655,-0.999631,0
0,0,0,0,0,2309,414,2723,20700,23423,0.0103229,-0.0143783,-0.999844,0
0,0,0,0,0,1992,358,2350,16663,19013,0.000754093,-0.0234678,-0.999725,0
0,0,0,0,0,5946,1062,7008,28455,35463,0.00886633,0.0381817,-0.999231,0
0,0,0,0,0,1689,307,1996,13596,15592,0.0110359,0.0609119,-0.998082,0
0,0,0,0,0,1809,325,2134,17378,19512,0.0136872,0.0483441,-0.998737,0
0,0,0,0,0,1763,313,2076,16053,18129,0.0150064,0.0626372,-0.997924,0
0,0,0,0,0,2052,376,2428,18876,21304,0.0210293,0.0431748,-0.998846,0
0,0,0,0,0,2315,425,2740,21875,24615,0.0076511,0.0240407,-0.999682,0
0,0,0,0,0,1758,313,2071,15441,17512,0.013092,0.0597466,-0.998128,0
0,0,0,0,0,2051,375,2426,19475,21901,0.0165372,0.0444918,-0.998873,0
0,0,0,0,0,1980,356,2336,19358,21694,0.0114713,0.0386578,-0.999187,0
0,0,0,0,0,1939,344,2283,18494,20777,0.0080815,0.0456963,-0.998923,0
0,0,0,0,0,5899,1059,6958,27534,34492,0.0185496,0.0292429,-0.9994,0
0,0,0,0,0,1525,272,1797,13650,15447,0.00980158,0.0159265,-0.999825,0
0,0,0,0,0,1614,287,1901,15805,17706,0.0104233,0.00778608,-0.999915,0
0,0,0,0,0,1951,379,2330,17178,19508,0.00924411,0.00776827,-0.999927,0
0,0,0,0,0,2138,387,2525,19359,21884,0.00259971,-0.0189969,-0.999816,0
0,0,0,0,0,1869,351,2220,15947,18167,0.015542,-0.00663461,-0.999858,0
0,0,0,0,0,2071,367,2438,18092,20530,0.0153554,0.0316063,-0.999383,0
0,0,0,0,0,2077,370,2447,19510,21957,0.00809974,0.0193131,-0.99978,0
0,0,0,0,0,1842,324,2166,17763,19929,0.00749228,0.0236503,-0.999692,0
0,0,0,0,0,1723,304,2027,15800,17827,0.00329416,0.0372302,-0.999301,0
0,0,0,0,0,1923,353,2276,18466,20742,0.00892642,0.0261466,-0.999618,0
0,0,0,0,0,6251,1044,7295,34375,41670,0.00318822,0.046552,-0.998911,0
0,0,0,0,0,1950,318,2268,14277,16545,0.0033817,0.0161841,-0.999863,0
0,0,0,0,0,1415,251,1666,12909,14575,0.0126854,0.0194812,-0.99973,0
0,0,0,0,0,1457,254,1711,12298,14009,0.0142684,0.0546979,-0.998401,0
0,0,0,0,0,2083,373,2456,18175,20631,0.0240728,0.072771,-0.997058,0
0,0,0,0,0,2335,418,2753,19215,21968,0.0312644,0.0974661,-0.994748,0
0,0,0,0,0,1762,313,2075,14061,16136,0.0506399,0.108055,-0.992855,0
0,0,0,0,0,1929,354,2283,13705,15988,0.0395263,0.0959154,-0.994605,0
0,0,0,0,0,2768,493,3261,20054,23315,0.0609731,0.126193,-0.99013,0
0,0,0,0,0,2294,413,2707,14750,17457,0.0830883,0.17027,-0.981888,0
0,0,0,0,0,6872,1141,8013,21714,29727,0.131745,0.214877,-0.967714,0
0,0,0,0,0,1963,321,2284,9646,11930,0.128497,0.227217,-0.96533,0
