Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,18532,204,687,19423,11477,30900,-0.102155,0.136592,-0.985346,0
0,0,0,0,9547,271,498,10316,1013,11329,-0.289896,-0.0342645,-0.956444,0
0,0,0,0,13920,399,764,15083,1485,16568,0.077406,0.452811,-0.88824,0
0,0,0,0,14167,127,577,14871,1169,16040,-0.226026,-0.121363,-0.966532,0
0,0,0,0,8837,160,482,9479,875,10354,-0.0515906,0.290498,-0.955484,0
0,0,0,0,12557,176,638,13371,1347,14718,-0.207354,-0.100868,-0.973052,0
0,0,0,0,11860,134,629,12623,1285,13908,-0.059595,0.256019,-0.964833,0
0,0,0,0,12085,202,632,12919,1319,14238,-0.132726,-0.0489216,-0.989945,0
0,0,0,0,15382,187,782,16351,1639,17990,-0.0713898,0.20839,-0.975437,0
0,0,0,0,14135,226,739,15100,1488,16588,-0.104184,0.00796484,-0.994526,0
0,0,0,0,13898,198,551,14647,1179,15826,-0.079672,0.0517356,-0.995478,0
0,0,0,0,10830,224,594,11648,1124,12772,-0.0875937,0.0562311,-0.994568,0
0,0,0,0,10949,235,543,11727,1109,12836,-0.113934,0.069285,-0.991069,0
0,0,0,0,17028,344,902,18274,1682,19956,-0.0702609,0.0494365,-0.996303,0
0,0,0,0,12144,186,642,12972,1177,14149,-0.0680844,0.0467399,-0.996584,0
0,0,0,0,17728,244,645,18617,1306,19923,-0.107167,0.070344,-0.99175,0
0,0,0,0,9690,148,509,10347,1022,11369,-0.0767065,0.0453628,-0.996021,0
0,0,0,0,14438,228,752,15418,1484,16902,-0.117533,0.0922206,-0.988778,0
0,0,0,0,21151,271,709,22131,1416,23547,-0.0846467,0.0405295,-0.995586,0
0,0,0,0,8941,114,361,9416,719,10135,-0.094368,0.0704159,-0.993044,0
0,0,0,0,5571,71,268,5910,543,6453,-0.092389,0.0512775,-0.994402,0
0,0,0,0,5449,79,265,5793,539,6332,-0.0800694,0.0533486,-0.995361,0
0,0,0,0,11825,232,600,12657,1219,13876,-0.106572,0.0597625,-0.992508,0
0,0,0,0,18279,265,712,19256,1239,20495,-0.0817931,0.0545976,-0.995153,0
0,0,0,0,8382,192,431,9005,857,9862,-0.0867351,0.0571576,-0.994591,0
0,0,0,0,19627,299,697,20623,1296,21919,-0.213731,0.152276,-0.964951,0
0,0,0,0,8631,156,364,9151,666,9817,-0.0445645,0.018162,-0.998841,0
0,0,0,0,4987,70,248,5305,492,5797,-0.138046,0.0874203,-0.98656,0
0,0,0,0,6738,99,347,7184,721,7905,-0.0657099,0.0388911,-0.997081,0
0,0,0,0,19607,385,1068,21060,2081,23141,-0.0949289,0.0619846,-0.993552,0
0,0,0,0,13590,124,533,14247,1081,15328,-0.0673616,0.0369854,-0.997043,0
0,0,0,0,15519,262,842,16623,1683,18306,-0.101334,0.0720015,-0.992244,0
0,0,0,0,15481,230,597,16308,1212,17520,-0.0799758,0.043941,-0.995828,0
0,0,0,0,10620,260,588,11468,1061,12529,-0.0848736,0.0539873,-0.994928,0
0,0,0,0,16837,280,925,18042,1411,19453,-0.0946634,0.0593657,-0.993738,0
0,0,0,0,11969,270,646,12885,1306,14191,-0.0603421,0.0321782,-0.997659,0
0,0,0,0,20463,288,722,21473,1386,22859,-0.112298,0.0763072,-0.99074,0
0,0,0,0,7921,107,367,8395,723,9118,-0.0759709,0.0448106,-0.996103,0
0,0,0,0,5113,89,242,5444,478,5922,-0.165957,0.113037,-0.979633,0
0,0,0,0,19369,360,1001,20730,1355,22085,-0.0553734,0.0268805,-0.998104,0
0,0,0,0,8666,95,351,9112,717,9829,-0.143687,0.10136,-0.984418,0
0,0,0,0,5834,134,301,6269,610,6879,-0.0453581,0.0143995,-0.998867,0
0,0,0,0,12083,299,676,13058,1310,14368,-0.17883,0.126093,-0.975766,0
0,0,0,0,18297,266,671,19234,1338,20572,-0.0550032,0.0262779,-0.998141,0
0,0,0,0,10236,159,522,10917,1171,12088,-0.157132,0.108021,-0.981652,0
0,0,0,0,10491,151,537,11179,1053,12232,-0.0621376,0.0348531,-0.997459,0
0,0,0,0,18891,211,696,19798,1167,20965,-0.107575,0.0707284,-0.991678,0
0,0,0,0,9718,158,563,10439,1057,11496,-0.0804193,0.0426152,-0.99585,0
0,0,0,0,18404,192,641,19237,1299,20536,-0.122699,0.0822872,-0.989027,0
0,0,0,0,15874,219,534,16627,1037,17664,-0.0720584,0.044207,-0.99642,0
0,0,0,0,8311,180,438,8929,868,9797,-0.08419,0.05302,-0.995038,0
0,0,0,0,18935,193,705,19833,1430,21263,-0.0957126,0.0517813,-0.994061,0
0,0,0,0,12477,202,531,13210,1066,14276,-0.0903361,0.0584167,-0.994197,0
0,0,0,0,6917,141,377,7435,734,8169,-0.088515,0.0526395,-0.994683,0
0,0,0,0,13361,291,715,14367,1376,15743,-0.105603,0.0716982,-0.99182,0
0,0,0,0,17246,305,648,18199,1308,19507,-0.0900637,0.0527844,-0.994536,0
0,0,0,0,9454,145,500,10099,1013,11112,-0.084501,0.057761,-0.994748,0
0,0,0,0,14151,323,735,15209,1337,16546,-0.206232,0.113664,-0.971879,0
0,0,0,0,11363,218,547,12128,1044,13172,-0.0597598,0.0297177,-0.99777,0
0,0,0,0,18083,406,896,19385,1833,21218,-0.0963877,0.0634136,-0.993322,0
0,0,0,0,15393,169,587,16149,995,17144,-0.0804313,0.0501139,-0.995499,0
0,0,0,0,9419,184,511,10114,991,11105,-0.128058,0.0822901,-0.988347,0
0,0,0,0,17975,192,647,18814,1296,20110,-0.0686611,0.0360509,-0.996988,0
0,0,0,0,16614,127,541,17282,1100,18382,-0.113433,0.0780685,-0.990474,0
0,0,0,0,8271,131,428,8830,913,9743,-0.0663065,0.0337679,-0.997228,0
0,0,0,0,19185,388,997,20570,1899,22469,-0.172056,0.126147,-0.976977,0
0,0,0,0,13582,295,563,14440,1114,15554,-0.0511822,0.0231518,-0.998421,0
0,0,0,0,9954,194,529,10677,1079,11756,-0.114792,0.0706145,-0.990877,0
0,0,0,0,18953,185,681,19819,1356,21175,-0.078608,0.0489328,-0.995704,0
0,0,0,0,9984,215,537,10736,1139,11875,-0.131028,0.0763655,-0.988433,0
0,0,0,0,15452,269,878,16599,1706,18305,-0.0697785,0.0435446,-0.996612,0
0,0,0,0,12010,139,481,12630,991,13621,-0.121795,0.0770346,-0.989561,0
0,0,0,0,9173,133,496,9802,938,10740,-0.0723678,0.0450143,-0.996362,0
0,0,0,0,18456,211,621,19288,1278,20566,-0.0673327,0.0498931,-0.996482,0
0,0,0,0,12630,232,623,13485,1169,14654,-0.165167,0.02935,-0.985829,0
0,0,0,0,19767,359,929,21055,1396,22451,-0.0702535,0.277424,-0.958175,0
0,0,0,0,9900,128,511,10539,1075,11614,-0.144361,-0.0549243,-0.987999,0
0,0,0,0,17450,177,643,18270,1298,19568,-0.0868291,0.290936,-0.952794,0
0,0,0,0,9695,137,500,10332,1008,11340,-0.100241,-0.0392801,-0.994188,0
0,0,0,0,17791,345,873,19009,1771,20780,-0.0741964,0.0713298,-0.994689,0
0,0,0,0,14218,353,647,15218,1275,16493,-0.0758966,0.0392819,-0.996342,0
0,0,0,0,9420,158,497,10075,1022,11097,-0.120156,0.0815704,-0.989398,0
0,0,0,0,14217,280,739,15236,1528,16764,-0.0732394,0.0325015,-0.996784,0
0,0,0,0,14983,253,839,16075,1266,17341,-0.147068,0.098287,-0.984231,0
0,0,0,0,13100,185,717,14002,1354,15356,-0.0598192,0.0295703,-0.997771,0
0,0,0,0,16723,221,870,17814,1446,19260,-0.104558,0.0656403,-0.99235,0
0,0,0,0,12417,290,628,13335,1294,14629,-0.0827967,0.053736,-0.995117,0
0,0,0,0,16104,221,862,17187,1149,18336,-0.117178,0.073147,-0.990414,0
0,0,0,0,11661,271,603,12535,1189,13724,-0.0903965,0.0555529,-0.994355,0
0,0,0,0,18726,286,699,19711,1369,21080,-0.100444,0.051697,-0.993599,0
0,0,0,0,10321,166,533,11020,973,11993,-0.082882,0.0531347,-0.995142,0
0,0,0,0,14787,321,903,16011,1643,17654,-0.0868507,0.0430826,-0.99529,0
0,0,0,0,18132,239,652,19023,1276,20299,-0.0821262,0.0394864,-0.99584,0
0,0,0,0,19531,300,858,20689,1343,22032,-0.204193,0.140793,-0.968753,0
0,0,0,0,8103,138,362,8603,725,9328,0.284273,-0.531734,-0.797777,0
0,0,0,0,5176,72,328,5576,509,6085,-0.261755,0.35751,-0.896477,0
0,0,0,0,17915,231,671,18817,1310,20127,0.28383,-0.501495,-0.817278,0
