Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,16486,227,594,17307,1109,18416,-0.0334253,-0.0054997,-0.999426,0
0,0,0,0,10642,152,561,11355,1239,12594,-0.0352195,-0.023874,-0.999095,0
0,0,0,0,17202,288,815,18305,1282,19587,-0.0351311,-0.0157271,-0.999259,0
0,0,0,0,8797,148,464,9409,1007,10416,-0.0271915,-0.0211443,-0.999407,0
0,0,0,0,15325,296,838,16459,1721,18180,-0.0321638,-0.0206159,-0.99927,0
0,0,0,0,15697,202,866,16765,1740,18505,-0.0348184,-0.017487,-0.999241,0
0,0,0,0,14068,241,600,14909,1194,16103,-0.0272756,-0.019684,-0.999434,0
0,0,0,0,8024,120,446,8590,971,9561,-0.0359731,-0.0153746,-0.999235,0
0,0,0,0,15169,212,831,16212,1725,17937,-0.0313116,-0.016735,-0.99937,0
0,0,0,0,14790,168,561,15519,1201,16720,-0.0346015,-0.0193432,-0.999214,0
0,0,0,0,15955,268,787,17010,1853,18863,-0.0435532,-0.0179697,-0.998889,0
0,0,0,0,11118,175,597,11890,1172,13062,-0.0394088,-0.0121399,-0.999149,0
0,0,0,0,8402,125,438,8965,956,9921,-0.0354526,-0.0181125,-0.999207,0
0,0,0,0,12723,173,658,13554,1425,14979,-0.0264741,-0.0244525,-0.99935,0
0,0,0,0,18588,281,626,19495,1291,20786,-0.037544,-0.0135262,-0.999203,0
0,0,0,0,10662,151,480,11293,838,12131,-0.0361404,-0.0184604,-0.999176,0
0,0,0,0,5518,84,270,5872,597,6469,-0.0298685,-0.022921,-0.999291,0
0,0,0,0,15900,156,578,16634,1138,17772,-0.0384725,-0.0201919,-0.999055,0
0,0,0,0,8849,132,469,9450,985,10435,-0.0325376,-0.0236743,-0.99919,0
0,0,0,0,12373,225,661,13259,1394,14653,-0.0331116,-0.0205178,-0.999241,0
0,0,0,0,15633,232,861,16726,1208,17934,-0.0315369,-0.0219542,-0.999261,0
0,0,0,0,10516,172,565,11253,1200,12453,-0.0369224,-0.0164988,-0.999182,0
0,0,0,0,6782,105,301,7188,634,7822,-0.0320956,-0.0221058,-0.99924,0
0,0,0,0,5461,109,380,5950,672,6622,-0.0330418,-0.0193355,-0.999267,0
0,0,0,0,16370,233,810,17413,1752,19165,-0.0373402,-0.0132305,-0.999215,0
0,0,0,0,13976,166,562,14704,1221,15925,-0.0231487,-0.0252662,-0.999413,0
0,0,0,0,8219,132,435,8786,950,9736,-0.0342437,-0.0211839,-0.999189,0
0,0,0,0,12526,186,653,13365,1421,14786,-0.0290149,-0.0178305,-0.99942,0
0,0,0,0,12981,188,661,13830,1394,15224,-0.0277566,-0.0223424,-0.999365,0
0,0,0,0,12280,175,651,13106,1412,14518,-0.0356291,-0.0144708,-0.99926,0
0,0,0,0,15254,204,783,16241,1313,17554,-0.0342002,-0.0139315,-0.999318,0
0,0,0,0,10979,182,642,11803,1201,13004,-0.0375951,-0.0162589,-0.999161,0
0,0,0,0,15129,159,591,15879,1211,17090,-0.0295844,-0.0208182,-0.999345,0
0,0,0,0,11031,147,559,11737,1201,12938,-0.0244055,-0.0239898,-0.999414,0
0,0,0,0,17228,265,878,18371,1893,20264,-0.0358934,-0.0169386,-0.999212,0
0,0,0,0,8302,110,377,8789,800,9589,-0.036045,-0.0147381,-0.999242,0
0,0,0,0,5394,77,269,5740,556,6296,-0.0350238,-0.0195585,-0.999195,0
0,0,0,0,6109,99,330,6538,705,7243,-0.0384861,-0.0142284,-0.999158,0
0,0,0,0,15393,213,785,16391,1690,18081,-0.0472838,-0.0100368,-0.998831,0
0,0,0,0,14194,190,560,14944,1211,16155,-0.0332136,-0.01912,-0.999265,0
0,0,0,0,8253,137,438,8828,936,9764,-0.0395735,-0.0160675,-0.999088,0
0,0,0,0,17293,256,888,18437,1893,20330,-0.0359215,-0.0159695,-0.999227,0
0,0,0,0,10798,154,563,11515,1188,12703,-0.0412304,-0.0171169,-0.999003,0
0,0,0,0,14183,262,715,15160,1561,16721,-0.031533,-0.0195105,-0.999313,0
0,0,0,0,15328,221,826,16375,1717,18092,-0.0391257,-0.0118896,-0.999164,0
0,0,0,0,10811,163,564,11538,1195,12733,-0.033504,-0.0198403,-0.999242,0
0,0,0,0,13558,214,716,14488,1506,15994,-0.0355936,-0.0184202,-0.999197,0
0,0,0,0,12506,183,667,13356,1419,14775,-0.0394149,-0.0153619,-0.999105,0
0,0,0,0,16649,179,562,17390,1243,18633,-0.0375782,-0.0149248,-0.999182,0
0,0,0,0,17649,234,608,18491,1312,19803,-0.0445099,-0.0153435,-0.998891,0
0,0,0,0,9275,131,375,9781,796,10577,-0.0406294,-0.0168148,-0.999033,0
0,0,0,0,5795,121,327,6243,594,6837,-0.0363528,-0.0191226,-0.999156,0
0,0,0,0,7381,104,391,7876,854,8730,-0.0319514,-0.0190525,-0.999308,0
0,0,0,0,17124,281,875,18280,1935,20215,-0.0395568,-0.0129995,-0.999133,0
0,0,0,0,15277,229,463,15969,988,16957,-0.0372913,-0.0224804,-0.999052,0
0,0,0,0,17555,328,882,18765,1834,20599,-0.0400242,-0.0192499,-0.999013,0
0,0,0,0,7924,107,370,8401,799,9200,-0.035272,-0.0199944,-0.999178,0
0,0,0,0,4178,84,213,4475,462,4937,-0.034214,-0.016955,-0.999271,0
