Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,19135,280,790,20205,11331,31536,-0.00195998,-0.0336037,-0.999433,0
0,0,0,0,9359,152,479,9990,710,10700,0.0157198,-0.0311376,-0.999392,0
0,0,0,0,8024,144,463,8631,750,9381,0.000199285,-0.0290279,-0.999579,0
0,0,0,0,17411,307,999,18717,1538,20255,-0.0763978,-0.0982938,-0.992221,0
0,0,0,0,18533,173,767,19473,1279,20752,0.0403074,-0.0184155,-0.999018,0
0,0,0,0,12673,113,594,13380,954,14334,-0.0689429,-0.0751848,-0.994783,0
0,0,0,0,17913,199,779,18891,981,19872,0.055888,-0.0267221,-0.998079,0
0,0,0,0,8213,156,478,8847,806,9653,-0.0736273,-0.0851268,-0.993646,0
0,0,0,0,19657,264,1112,21033,1345,22378,0.0377653,-0.0198282,-0.99909,0
0,0,0,0,13850,196,588,14634,880,15514,-0.0139497,-0.0171832,-0.999755,0
0,0,0,0,21476,309,850,22635,1209,23844,0.0589535,0.0597433,-0.996472,0
0,0,0,0,8727,151,417,9295,625,9920,-0.147069,-0.341242,-0.928399,0
0,0,0,0,5328,49,289,5666,465,6131,0.0501606,0.0541621,-0.997272,0
0,0,0,0,5639,117,321,6077,523,6600,-0.0495779,-0.0934821,-0.994386,0
0,0,0,0,19828,327,1107,21262,1273,22535,0.0352752,-0.00936492,-0.999334,0
0,0,0,0,13543,253,798,14594,1186,15780,-0.0809609,-0.121795,-0.989248,0
0,0,0,0,18611,191,665,19467,993,20460,0.0376552,-0.00741668,-0.999263,0
0,0,0,0,10197,211,580,10988,994,11982,-0.0469208,-0.0712156,-0.996357,0
0,0,0,0,11610,183,679,12472,972,13444,0.0369252,-0.00191217,-0.999317,0
0,0,0,0,18527,201,765,19493,1282,20775,-0.0304179,-0.0724166,-0.996911,0
0,0,0,0,13055,153,585,13793,925,14718,0.0121535,-0.00183947,-0.999925,0
0,0,0,0,12384,155,708,13247,1206,14453,-0.00292856,-0.0397943,-0.999204,0
0,0,0,0,16078,204,899,17181,1382,18563,0.0074075,0.0102074,-0.999921,0
0,0,0,0,11636,212,662,12510,1049,13559,0.0075845,-0.0400851,-0.999167,0
0,0,0,0,14841,315,854,16010,1292,17302,0.00534128,-0.0342757,-0.999398,0
0,0,0,0,10885,186,621,11692,868,12560,-0.165138,-0.262443,-0.950712,0
0,0,0,0,18335,202,785,19322,1244,20566,0.0506988,0.0285212,-0.998307,0
0,0,0,0,17649,245,669,18563,913,19476,-0.153116,-0.239179,-0.958827,0
0,0,0,0,10101,132,586,10819,967,11786,0.0721869,0.037709,-0.996678,0
0,0,0,0,16218,334,907,17459,1245,18704,-0.0931474,-0.105581,-0.990039,0
0,0,0,0,11582,219,730,12531,1143,13674,0.0468612,-0.0133915,-0.998812,0
0,0,0,0,10988,213,622,11823,1021,12844,-0.0591371,-0.0794279,-0.995085,0
0,0,0,0,17348,185,710,18243,1181,19424,0.0366879,-0.0179063,-0.999166,0
0,0,0,0,9621,185,551,10357,875,11232,-0.086946,-0.0912613,-0.992024,0
0,0,0,0,19229,263,1121,20613,1866,22479,0.0433148,-0.0120403,-0.998989,0
0,0,0,0,13056,196,584,13836,871,14707,-0.0205449,-0.0511121,-0.998481,0
0,0,0,0,19432,253,767,20452,1206,21658,0.0189334,-0.019702,-0.999627,0
0,0,0,0,10226,186,593,11005,990,11995,0.00675348,-0.012614,-0.999898,0
0,0,0,0,18454,252,787,19493,1225,20718,-0.00140903,-0.0500032,-0.998748,0
0,0,0,0,10298,175,585,11058,845,11903,0.0136898,-0.030683,-0.999435,0
0,0,0,0,19345,384,929,20658,1236,21894,-0.00358262,-0.0301795,-0.999538,0
0,0,0,0,12853,187,584,13624,958,14582,0.00883203,-0.0231235,-0.999693,0
0,0,0,0,11647,209,670,12526,1025,13551,-0.107905,-0.125981,-0.986147,0
0,0,0,0,18444,183,772,19399,1318,20717,0.0471021,-0.00324103,-0.998885,0
0,0,0,0,10113,180,586,10879,952,11831,-0.0942975,-0.111285,-0.989305,0
0,0,0,0,19091,172,774,20037,1317,21354,0.0452283,-0.0086587,-0.998939,0
0,0,0,0,13411,250,613,14274,961,15235,-0.0583654,-0.0764802,-0.995361,0
0,0,0,0,12463,175,709,13347,1104,14451,0.069412,-0.0317205,-0.997084,0
0,0,0,0,19728,352,793,20873,1156,22029,-0.0898491,-0.123865,-0.988223,0
0,0,0,0,13168,134,581,13883,937,14820,0.0252451,-0.0165364,-0.999544,0
0,0,0,0,9758,178,557,10493,884,11377,-0.0507677,-0.0701789,-0.996242,0
0,0,0,0,19112,216,795,20123,1180,21303,0.0283963,-0.0246817,-0.999292,0
