Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,19286,233,961,20480,1374,21854,-0.0992723,-0.520053,-0.848345,0
0,0,0,0,12411,61,539,13011,1023,14034,0.0436548,0.427164,-0.90312,0
0,0,0,0,11807,87,654,12548,1132,13680,-0.0559706,-0.10383,-0.993019,0
0,0,0,0,15245,133,834,16212,1367,17579,0.0195773,0.642146,-0.766332,0
0,0,0,0,11410,60,609,12079,1008,13087,-0.032292,-0.0710007,-0.996953,0
0,0,0,0,11040,89,613,11742,1369,13111,0.172708,0.386772,-0.905858,0
0,0,0,0,13830,88,786,14704,1370,16074,-0.0255206,-0.181625,-0.983037,0
0,0,0,0,13827,103,768,14698,1393,16091,0.0565076,0.484825,-0.872784,0
0,0,0,0,12716,84,716,13516,1097,14613,-0.0425081,-0.0386751,-0.998347,0
0,0,0,0,16580,150,661,17391,-1000,-1000,-1,-1,-1,0
0,0,0,0,9247,104,510,9861,863,10724,-0.0948148,-0.519386,-0.849264,0
0,0,0,0,11308,80,628,12016,1150,13166,0.0289073,0.449221,-0.892953,0
0,0,0,0,14044,99,764,14907,1230,16137,-0.0213703,0.0075417,-0.999743,0
0,0,0,0,10338,124,581,11043,-1000,-1000,-1,-1,-1,0
0,0,0,0,18670,93,840,19603,1315,20918,-0.313366,-0.38226,-0.869299,0
0,0,0,0,12648,102,707,13457,1330,14787,0.124373,0.334173,-0.93427,0
0,0,0,0,18122,182,714,19018,1225,20243,-0.0748396,-0.315551,-0.945953,0
0,0,0,0,9673,65,545,10283,1000,11283,0.023905,0.56159,-0.827071,0
0,0,0,0,18407,144,1030,19581,1245,20826,-0.0686233,-0.125706,-0.989691,0
0,0,0,0,12860,196,716,13772,1014,14786,0.0432675,0.651715,-0.757229,0
0,0,0,0,11872,60,650,12582,1080,13662,-0.047309,-0.171991,-0.983962,0
0,0,0,0,18072,136,705,18913,1311,20224,0.0355801,0.656336,-0.75363,0
0,0,0,0,9681,69,531,10281,913,11194,-0.0308084,-0.668623,-0.742963,0
0,0,0,0,17690,107,717,18514,1326,19840,0.0355984,0.432359,-0.900999,0
0,0,0,0,18916,179,839,19934,1277,21211,-0.0539706,-0.133498,-0.989578,0
0,0,0,0,8246,51,378,8675,668,9343,0.0208798,0.587723,-0.808793,0
0,0,0,0,4999,25,288,5312,491,5803,-0.0676182,-0.228219,-0.971259,0
0,0,0,0,6580,51,380,7011,668,7679,0.0305457,0.303164,-0.952449,0
0,0,0,0,18647,222,1098,19967,1774,21741,-0.0783858,-0.168849,-0.98252,0
0,0,0,0,12929,154,567,13650,984,14634,-0.0560378,0.605742,-0.793686,0
0,0,0,0,12099,78,685,12862,1222,14084,-0.0447618,-0.232981,-0.971451,0
0,0,0,0,15364,187,876,16427,1546,17973,-0.0957392,0.493004,-0.864743,0
0,0,0,0,11173,68,640,11881,1209,13090,-0.138517,-0.153702,-0.97836,0
0,0,0,0,14080,116,809,15005,1386,16391,-0.120728,0.357778,-0.92597,0
0,0,0,0,10618,166,605,11389,1186,12575,-0.242962,-0.27575,-0.930017,0
0,0,0,0,16963,122,691,17776,1188,18964,-0.101105,0.247853,-0.963507,0
0,0,0,0,9550,69,538,10157,964,11121,-0.222687,-0.5838,-0.780761,0
0,0,0,0,14468,112,796,15376,1407,16783,-0.083305,0.184888,-0.979222,0
0,0,0,0,14391,105,672,15168,-1000,-1000,-1,-1,-1,0
0,0,0,0,10313,85,559,10957,946,11903,-0.00366144,0.0766858,-0.997049,0
0,0,0,0,17344,100,931,18375,-1000,-1000,-1,-1,-1,0
0,0,0,0,12904,136,534,13574,887,14461,0.129108,-0.27776,-0.951935,0
0,0,0,0,7347,50,410,7807,-1000,-1000,-1,-1,-1,0
0,0,0,0,17735,72,954,18761,1579,20340,0.290279,0.0789474,-0.95368,0
0,0,0,0,12449,86,667,13202,-1000,-1000,-1,-1,-1,0
0,0,0,0,12217,97,665,12979,-1000,-1000,-1,-1,-1,0
0,0,0,0,16740,166,697,17603,-1000,-1000,-1,-1,-1,0
0,0,0,0,12365,114,638,13117,-1000,-1000,-1,-1,-1,0
0,0,0,0,12539,86,641,13266,1575,14841,0.499482,-0.314388,-0.807266,0
0,0,0,0,18696,66,721,19483,-1000,-1000,-1,-1,-1,0
0,0,0,0,9012,58,459,9529,-1000,-1000,-1,-1,-1,0
0,0,0,0,20224,118,771,21113,1245,22358,-0.103467,0.402031,-0.909761,0
0,0,0,0,9013,39,398,9450,-1000,-1000,-1,-1,-1,0
0,0,0,0,6161,34,294,6489,444,6933,0.0470927,0.223728,-0.973513,0
0,0,0,0,4863,30,242,5135,-1000,-1000,-1,-1,-1,0
0,0,0,0,8563,94,492,9149,852,10001,0.191863,0.112161,-0.974992,0
0,0,0,0,18788,156,695,19639,958,20597,-0.0684947,-0.413188,-0.908066,0
0,0,0,0,9764,72,581,10417,-1000,-1000,-1,-1,-1,0
0,0,0,0,19360,80,1044,20484,-1000,-1000,-1,-1,-1,0
0,0,0,0,10428,48,456,10932,756,11688,0.147089,-0.304672,-0.941031,0
0,0,0,0,11502,121,629,12252,976,13228,-0.130443,-0.321264,-0.937963,0
0,0,0,0,12136,140,651,12927,955,13882,0.0915627,0.257646,-0.961891,0
0,0,0,0,13117,55,730,13902,-1000,-1000,-1,-1,-1,0
0,0,0,0,11580,93,668,12341,1136,13477,0.110181,-0.32112,-0.940607,0
0,0,0,0,9095,60,522,9677,-1000,-1000,-1,-1,-1,0
0,0,0,0,18508,62,994,19564,-1000,-1000,-1,-1,-1,0
0,0,0,0,9491,73,547,10111,939,11050,0.404493,0.519062,-0.752968,0
0,0,0,0,8350,77,497,8924,-1000,-1000,-1,-1,-1,0
0,0,0,0,15494,118,912,16524,1771,18295,0.376495,0.146709,-0.914729,0
0,0,0,0,11008,126,638,11772,-1000,-1000,-1,-1,-1,0
0,0,0,0,11448,58,697,12203,1037,13240,0.0694873,0.451255,-0.889686,0
0,0,0,0,12326,111,676,13113,1022,14135,0.360915,-0.269149,-0.892917,0
0,0,0,0,16311,108,673,17092,950,18042,0.190322,-0.613957,-0.766051,0
0,0,0,0,7592,96,462,8150,655,8805,0.173624,-0.664738,-0.726621,0
0,0,0,0,18647,145,1024,19816,-1000,-1000,-1,-1,-1,0
0,0,0,0,11316,67,539,11922,761,12683,-0.115893,-0.295851,-0.948178,0
0,0,0,0,9586,79,525,10190,-1000,-1000,-1,-1,-1,0
0,0,0,0,20103,285,1082,21470,-1000,-1000,-1,-1,-1,0
0,0,0,0,12718,68,584,13370,-1000,-1000,-1,-1,-1,0
0,0,0,0,9749,114,480,10343,1078,11421,-0.220822,0.559107,-0.799148,0
0,0,0,0,16067,122,902,17091,-1000,-1000,-1,-1,-1,0
0,0,0,0,15196,81,678,15955,968,16923,-0.124813,0.19726,-0.972373,0
0,0,0,0,11985,127,603,12715,1066,13781,0.320928,-0.595581,-0.736402,0
0,0,0,0,10286,85,567,10938,852,11790,-0.310676,0.136383,-0.94068,0
0,0,0,0,18897,77,758,19732,1322,21054,0.013868,-0.545829,-0.837782,0
0,0,0,0,11042,197,591,11830,1024,12854,-0.0547572,0.129297,-0.990093,0
0,0,0,0,11667,84,654,12405,1286,13691,0.429553,0.349063,-0.832851,0
0,0,0,0,14034,71,819,14924,973,15897,0.314334,-0.336009,-0.887858,0
