Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,19686,169,714,20569,-1000,-1000,-1,-1,-1,0
0,0,0,0,6863,60,392,7315,529,7844,-0.265536,-0.196243,-0.943917,0
0,0,0,0,11297,162,598,12057,952,13009,0.558316,0.307267,-0.77063,0
0,0,0,0,18863,91,732,19686,1310,20996,-0.131714,-0.0738458,-0.988533,0
0,0,0,0,10210,158,573,10941,1144,12085,0.081204,0.273862,-0.958335,0
0,0,0,0,16066,147,639,16852,1022,17874,-0.0253522,-0.0528449,-0.998281,0
0,0,0,0,11552,171,647,12370,879,13249,-0.0726134,0.195911,-0.977929,0
0,0,0,0,18124,194,729,19047,1305,20352,0.0416159,-0.668618,-0.742441,0
0,0,0,0,10191,140,569,10900,996,11896,-0.0294849,0.472209,-0.880994,0
0,0,0,0,17993,93,743,18829,1132,19961,0.0426863,-0.569732,-0.820722,0
0,0,0,0,10084,57,562,10703,960,11663,-0.0302441,0.2673,-0.963139,0
0,0,0,0,12486,156,678,13320,1184,14504,0.0047343,-0.110946,-0.993815,0
0,0,0,0,16006,284,897,17187,1128,18315,-0.00509447,0.0684602,-0.997641,0
0,0,0,0,11641,149,633,12423,960,13383,-0.0685406,-0.151411,-0.986092,0
0,0,0,0,11560,80,606,12246,906,13152,0.0189784,0.115302,-0.993149,0
0,0,0,0,13709,168,754,14631,1155,15786,0.0364073,-0.690113,-0.722786,0
0,0,0,0,13600,55,567,14222,1005,15227,-0.00853341,0.27811,-0.960511,0
0,0,0,0,10569,73,580,11222,1009,12231,0.0188083,-0.151285,-0.988311,0
0,0,0,0,12950,165,690,13805,1194,14999,-0.0115047,0.26942,-0.962954,0
0,0,0,0,13016,153,694,13863,1040,14903,0.0374362,-0.454556,-0.889931,0
0,0,0,0,12016,122,677,12815,1130,13945,-0.0233587,0.427343,-0.903788,0
0,0,0,0,15314,187,828,16329,1438,17767,0.0242096,-0.529179,-0.848165,0
0,0,0,0,14926,57,614,15597,1098,16695,-0.00543401,0.482671,-0.875785,0
0,0,0,0,13891,87,756,14734,1228,15962,0.0532961,-0.109735,-0.992531,0
0,0,0,0,20387,128,774,21289,1009,22298,-0.0318732,0.582685,-0.812073,0
0,0,0,0,8932,62,466,9460,808,10268,0.0405262,-0.124117,-0.99144,0
0,0,0,0,11199,87,562,11848,925,12773,-0.0133675,0.60819,-0.793679,0
0,0,0,0,21465,155,807,22427,1201,23628,0.177683,-0.132974,-0.975062,0
0,0,0,0,15037,72,531,15640,-1000,-1000,-1,-1,-1,0
0,0,0,0,17627,101,577,18305,1009,19314,0.0133798,-0.0354843,-0.999281,0
0,0,0,0,8922,92,479,9493,783,10276,0.027689,0.691593,-0.721757,0
0,0,0,0,20106,175,743,21024,1172,22196,0.0637149,0.431953,-0.899643,0
0,0,0,0,10513,118,563,11194,1169,12363,-0.078668,0.530122,-0.844264,0
0,0,0,0,16433,284,859,17576,1612,19188,-0.121262,0.495364,-0.86018,0
0,0,0,0,12538,208,623,13369,1048,14417,0.0528749,0.649753,-0.758304,0
0,0,0,0,18210,139,728,19077,1209,20286,-0.535908,0.193793,-0.821734,0
0,0,0,0,10118,88,528,10734,-1000,-1000,-1,-1,-1,0
0,0,0,0,19364,122,980,20466,1829,22295,-0.567236,0.358456,-0.741454,0
0,0,0,0,13353,173,723,14249,-1000,-1000,-1,-1,-1,0
0,0,0,0,13814,98,636,14548,-1000,-1000,-1,-1,-1,0
0,0,0,0,10071,119,514,10704,-1000,-1000,-1,-1,-1,0
0,0,0,0,16241,197,795,17233,-1000,-1000,-1,-1,-1,0
0,0,0,0,11610,128,589,12327,1534,13861,0.456086,0.50847,-0.730373,0
0,0,0,0,18739,116,700,19555,-1000,-1000,-1,-1,-1,0
0,0,0,0,9652,83,430,10165,721,10886,-0.00408992,0.519639,-0.854376,0
0,0,0,0,18921,110,893,19924,-1000,-1000,-1,-1,-1,0
0,0,0,0,17265,111,887,18263,1651,19914,0.13609,0.676851,-0.723431,0
0,0,0,0,20142,160,1006,21308,-1000,-1000,-1,-1,-1,0
0,0,0,0,12866,107,548,13521,-1000,-1000,-1,-1,-1,0
0,0,0,0,8520,197,439,9156,-1000,-1000,-1,-1,-1,0
0,0,0,0,19195,109,932,20236,-1000,-1000,-1,-1,-1,0
0,0,0,0,16681,164,595,17440,-1000,-1000,-1,-1,-1,0
0,0,0,0,8256,88,439,8783,-1000,-1000,-1,-1,-1,0
0,0,0,0,14496,99,758,15353,-1000,-1000,-1,-1,-1,0
0,0,0,0,13442,177,717,14336,-1000,-1000,-1,-1,-1,0
0,0,0,0,13634,132,699,14465,-1000,-1000,-1,-1,-1,0
0,0,0,0,18163,99,691,18953,-1000,-1000,-1,-1,-1,0
0,0,0,0,8784,72,448,9304,-1000,-1000,-1,-1,-1,0
0,0,0,0,14483,129,779,15391,-1000,-1000,-1,-1,-1,0
0,0,0,0,14683,84,571,15338,-1000,-1000,-1,-1,-1,0
0,0,0,0,8895,98,476,9469,-1000,-1000,-1,-1,-1,0
