Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,18983,121,753,19857,11212,31069,0.0210159,-0.105629,-0.994184,0
0,0,0,0,9864,86,551,10501,976,11477,0.0400806,-0.172024,-0.984277,0
0,0,0,0,11373,107,666,12146,1126,13272,-0.00162922,0.0538288,-0.998549,0
0,0,0,0,14410,211,811,15432,1405,16837,0.0159741,-0.141019,-0.989878,0
0,0,0,0,14036,144,684,14864,995,15859,0.0671609,-0.161377,-0.984605,0
0,0,0,0,10757,121,647,11525,994,12519,-0.0296547,0.0678403,-0.997256,0
0,0,0,0,18875,307,1070,20252,1299,21551,0.0204213,-0.139709,-0.989982,0
0,0,0,0,13079,194,725,13998,1094,15092,-0.00720307,0.0740488,-0.997229,0
0,0,0,0,13060,108,718,13886,1230,15116,0.0187817,-0.123745,-0.992136,0
0,0,0,0,18648,185,746,19579,1227,20806,0.0132691,-0.171571,-0.985082,0
0,0,0,0,10367,83,573,11023,994,12017,-0.00787707,0.04538,-0.998939,0
0,0,0,0,15595,254,867,16716,1495,18211,0.0171576,-0.152389,-0.988172,0
0,0,0,0,11287,88,624,11999,1083,13082,0.000761879,0.0630333,-0.998011,0
0,0,0,0,19357,270,1061,20688,1282,21970,0.014608,-0.229017,-0.973313,0
0,0,0,0,12966,155,719,13840,1251,15091,0.0172448,0.0573948,-0.998203,0
0,0,0,0,15421,247,849,16517,1553,18070,0.0150933,-0.160087,-0.986987,0
0,0,0,0,11326,150,623,12099,1047,13146,0.00862663,0.180988,-0.983448,0
0,0,0,0,14437,154,850,15441,1402,16843,0.0136338,-0.195787,-0.980552,0
0,0,0,0,18671,98,734,19503,1246,20749,-0.0829141,0.322355,-0.942981,0
0,0,0,0,9863,59,553,10475,989,11464,0.040326,-0.206118,-0.977696,0
0,0,0,0,15605,202,854,16661,1453,18114,-0.00724604,0.235597,-0.971824,0
0,0,0,0,17729,130,736,18595,1236,19831,0.0235017,-0.170219,-0.985126,0
0,0,0,0,9913,171,550,10634,906,11540,0.00170219,-0.180172,-0.983634,0
0,0,0,0,19031,172,1071,20274,1240,21514,-0.0068899,0.340159,-0.940343,0
0,0,0,0,13004,70,718,13792,1365,15157,0.0156384,-0.21522,-0.976441,0
0,0,0,0,12108,169,665,12942,1135,14077,-0.108065,0.472366,-0.874753,0
0,0,0,0,18435,70,719,19224,1337,20561,0.0408187,-0.217823,-0.975134,0
0,0,0,0,9901,133,549,10583,950,11533,-0.0879556,0.539794,-0.837189,0
0,0,0,0,19022,97,719,19838,1296,21134,0.0354378,-0.230475,-0.972433,0
0,0,0,0,17506,164,716,18386,1056,19442,-0.080673,0.476344,-0.87555,0
0,0,0,0,9856,67,554,10477,1016,11493,0.0465654,-0.262887,-0.963703,0
0,0,0,0,19249,266,803,20318,1258,21576,-0.134705,0.442951,-0.886369,0
0,0,0,0,13233,166,548,13947,937,14884,0.0624366,-0.276539,-0.958972,0
0,0,0,0,9329,72,521,9922,964,10886,-0.0779658,0.452246,-0.888479,0
0,0,0,0,18284,110,1039,19433,1508,20941,0.0412819,-0.236836,-0.970672,0
