Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,18988,166,789,19943,1178,21121,-0.015442,0.0599426,-0.998083,0
0,0,0,0,9938,79,470,10487,726,11213,-0.158533,-0.52058,-0.838966,0
0,0,0,0,19331,154,893,20378,1144,21522,0.107273,0.564403,-0.8185,0
0,0,0,0,12772,110,760,13642,1318,14960,-0.105658,-0.420638,-0.901055,0
0,0,0,0,17722,88,722,18532,1064,19596,-0.0624375,0.686877,-0.724087,0
0,0,0,0,12131,74,703,12908,1178,14086,-0.025737,-0.472364,-0.881028,0
0,0,0,0,18915,144,1092,20151,1659,21810,-0.176469,0.573964,-0.79964,0
0,0,0,0,12870,104,600,13574,1000,14574,0.0685984,-0.386625,-0.919682,0
0,0,0,0,11929,109,721,12759,1077,13836,-0.264606,0.482261,-0.83511,0
0,0,0,0,18811,163,1097,20071,1593,21664,0.0718436,-0.304944,-0.949657,0
0,0,0,0,13321,123,779,14223,892,15115,-0.110638,0.0550615,-0.992334,0
0,0,0,0,10056,98,583,10737,993,11730,0.126796,-0.440773,-0.888618,0
0,0,0,0,18947,158,1099,20204,1533,21737,-0.248116,0.555756,-0.793457,0
0,0,0,0,11799,88,580,12467,813,13280,0.0740742,-0.337853,-0.93828,0
0,0,0,0,9440,85,553,10078,833,10911,-0.285083,0.473946,-0.833129,0
0,0,0,0,18340,118,768,19226,1292,20518,0.0715341,-0.293381,-0.953315,0
0,0,0,0,9954,107,581,10642,833,11475,-0.0573585,-0.00316583,-0.998348,0
0,0,0,0,19091,214,961,20266,1218,21484,0.113387,-0.487438,-0.865764,0
0,0,0,0,19444,149,802,20395,1185,21580,-0.296098,0.458032,-0.838172,0
0,0,0,0,8432,65,395,8892,667,9559,0.0739986,-0.294612,-0.952748,0
0,0,0,0,5745,62,301,6108,447,6555,-0.33089,0.15216,-0.931322,0
0,0,0,0,5320,43,310,5673,529,6202,0.31345,-0.376543,-0.871759,0
0,0,0,0,15666,133,913,16712,1525,18237,-0.31855,0.10833,-0.941696,0
0,0,0,0,15723,112,678,16513,1188,17701,0.26232,-0.307519,-0.91467,0
0,0,0,0,9034,88,522,9644,876,10520,-0.114502,0.00552076,-0.993407,0
0,0,0,0,19938,283,1102,21323,1356,22679,0.119481,-0.27141,-0.955019,0
0,0,0,0,13035,142,601,13778,1020,14798,-0.261094,0.0344379,-0.964699,0
0,0,0,0,8213,65,472,8750,800,9550,0.0987106,-0.14838,-0.983992,0
0,0,0,0,18510,243,762,19515,1258,20773,-0.534839,-0.0940947,-0.839698,0
0,0,0,0,9966,51,472,10489,806,11295,0.230108,-0.0589728,-0.971377,0
0,0,0,0,14381,165,833,15379,1400,16779,-0.295153,-0.0879063,-0.951397,0
0,0,0,0,14230,110,832,15172,1117,16289,0.133461,-0.0981747,-0.986179,0
0,0,0,0,13192,190,771,14153,1295,15448,-0.232305,-0.06705,-0.97033,0
0,0,0,0,16584,199,714,17497,1266,18763,0.0668947,-0.0819501,-0.994389,0
0,0,0,0,15536,256,599,16391,980,17371,-0.613464,-0.157061,-0.773947,0
0,0,0,0,8097,39,472,8608,816,9424,0.266337,-0.0330263,-0.963314,0
0,0,0,0,19364,253,768,20385,1299,21684,-0.492894,-0.0984467,-0.864502,0
0,0,0,0,10059,64,582,10705,999,11704,0.171668,-0.0507816,-0.983846,0
0,0,0,0,19901,175,1167,21243,1631,22874,-0.379816,-0.162572,-0.910665,0
0,0,0,0,9213,58,469,9740,732,10472,0.135179,-0.0151924,-0.990705,0
0,0,0,0,5290,71,268,5629,454,6083,-0.265873,-0.146284,-0.952844,0
0,0,0,0,5578,51,317,5946,501,6447,0.0698726,-0.0368824,-0.996874,0
0,0,0,0,16753,245,983,17981,1580,19561,-0.103999,-0.0646201,-0.992476,0
0,0,0,0,18146,177,704,19027,1197,20224,0.050394,-0.0993851,-0.993772,0
0,0,0,0,9594,150,549,10293,841,11134,-0.0625286,-0.0213761,-0.997814,0
0,0,0,0,18169,180,758,19107,1222,20329,0.000175793,-0.0428128,-0.999083,0
0,0,0,0,10311,130,612,11053,987,12040,-0.0159841,0.0169537,-0.999729,0
0,0,0,0,15486,312,1223,17021,1404,18425,-0.0497117,-0.0463292,-0.997688,0
0,0,0,0,15207,143,657,16007,1150,17157,-0.0054792,-0.00462844,-0.999974,0
0,0,0,0,11006,68,671,11745,1106,12851,-0.0554465,-0.380416,-0.923152,0
0,0,0,0,13817,69,839,14725,1369,16094,-0.0578134,0.387591,-0.920017,0
0,0,0,0,18714,59,759,19532,1031,20563,-0.0117379,-0.121974,-0.992464,0
0,0,0,0,9651,73,600,10324,977,11301,-0.0892282,0.32474,-0.941585,0
0,0,0,0,18471,142,1011,19624,1108,20732,-0.0715766,-0.242424,-0.967527,0
0,0,0,0,12640,57,755,13452,1292,14744,-0.0772218,0.489417,-0.868624,0
0,0,0,0,11495,56,702,12253,981,13234,0.149078,-0.245044,-0.957982,0
0,0,0,0,18060,168,1104,19332,1781,21113,-0.0502173,0.19349,-0.979817,0
0,0,0,0,12637,151,761,13549,1057,14606,0.141073,-0.549897,-0.823232,0
0,0,0,0,17914,69,760,18743,1383,20126,-0.0868969,0.339699,-0.936512,0
0,0,0,0,9770,102,580,10452,973,11425,-0.0424837,-0.471385,-0.880904,0
0,0,0,0,15086,116,895,16097,1576,17673,-0.0178878,0.400321,-0.916201,0
0,0,0,0,15151,73,657,15881,1067,16948,-0.0232647,-0.235646,-0.97156,0
0,0,0,0,13883,110,820,14813,1338,16151,-0.00479693,0.250541,-0.968094,0
0,0,0,0,18786,68,755,19609,1523,21132,-0.00608927,-0.666576,-0.745413,0
0,0,0,0,18586,127,1103,19816,1908,21724,-0.00827772,0.304444,-0.952494,0
0,0,0,0,12303,95,575,12973,980,13953,-0.0320342,-0.537268,-0.842803,0
0,0,0,0,6906,44,337,7287,587,7874,-0.0305275,0.458525,-0.888157,0
0,0,0,0,6964,37,406,7407,703,8110,-0.0296309,-0.588797,-0.807738,0
0,0,0,0,13659,57,824,14540,1420,15960,-0.0378855,0.353647,-0.934611,0
0,0,0,0,19224,99,967,20290,1269,21559,-0.0415261,-0.619568,-0.783843,0
0,0,0,0,8659,106,464,9229,655,9884,-0.042861,0.32598,-0.944405,0
0,0,0,0,5701,32,333,6066,587,6653,-0.0377299,-0.601896,-0.797683,0
0,0,0,0,14930,222,875,16027,1490,17517,-0.0318725,0.249881,-0.967752,0
0,0,0,0,17512,112,975,18599,1359,19958,-0.073018,-0.614598,-0.785454,0
0,0,0,0,11730,100,688,12518,1190,13708,-0.065266,0.266412,-0.961647,0
0,0,0,0,13624,186,820,14630,1400,16030,-0.0676533,-0.64425,-0.761817,0
0,0,0,0,21801,117,747,22665,1269,23934,-0.026778,0.312968,-0.949386,0
0,0,0,0,9810,155,477,10442,826,11268,-0.0274498,-0.546808,-0.836808,0
