Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5191,0,0,0,0,990,266,6447,2307,8754,0.060698,-0.018959,-0.997976,0
2947,0,0,0,0,516,129,3592,1089,4681,0.0368677,-0.00560758,-0.999304,0
5135,0,0,0,0,1001,242,6378,2613,8991,0.0224544,-0.0136661,-0.999654,0
8049,0,0,0,0,1351,335,9735,2531,12266,0.0324121,-0.00221109,-0.999472,0
5105,0,0,0,0,936,251,6292,2395,8687,0.026876,-0.00966157,-0.999592,0
5240,0,0,0,0,965,273,6478,2402,8880,0.0193431,-0.0113185,-0.999749,0
5503,0,0,0,0,1109,306,6918,2573,9491,0.00628001,-0.00342681,-0.999974,0
6081,0,0,0,0,978,246,7305,2591,9896,0.0450774,-0.00894423,-0.998943,0
5437,0,0,0,0,940,237,6614,2673,9287,0.00681474,0.00805219,-0.999944,0
5113,0,0,0,0,928,244,6285,2846,9131,0.0242593,-0.0124659,-0.999628,0
4728,0,0,0,0,880,220,5828,2390,8218,0.0136249,-0.0118378,-0.999837,0
5148,0,0,0,0,970,242,6360,2375,8735,0.0059296,-0.00100164,-0.999982,0
5495,0,0,0,0,914,234,6643,2238,8881,0.0287306,-0.00496796,-0.999575,0
5147,0,0,0,0,850,240,6237,2268,8505,0.0210129,0.00623987,-0.99976,0
4838,0,0,0,0,828,211,5877,2660,8537,0.0315477,0.0146557,-0.999395,0
5536,0,0,0,0,971,237,6744,1840,8584,0.0285142,-0.0143042,-0.999491,0
3653,0,0,0,0,692,168,4513,2077,6590,0.042478,-0.0153544,-0.998979,0
5311,0,0,0,0,1005,273,6589,2625,9214,0.0304376,-0.0122497,-0.999462,0
5505,0,0,0,0,917,257,6679,2599,9278,0.0144799,0.0149492,-0.999783,0
4046,0,0,0,0,679,174,4899,1420,6319,0.0311587,0.0131674,-0.999428,0
1907,0,0,0,0,357,84,2348,1017,3365,0.0288717,0.00174347,-0.999582,0
2922,0,0,0,0,518,142,3582,1399,4981,0.0346103,-0.00288098,-0.999397,0
5398,0,0,0,0,1033,240,6671,2747,9418,0.0405131,0.00922648,-0.999136,0
5488,0,0,0,0,958,277,6723,1934,8657,0.0233621,-0.0170552,-0.999582,0
3324,0,0,0,0,640,161,4125,1679,5804,-0.00148067,-0.0427548,-0.999084,0
5653,0,0,0,0,924,254,6831,2566,9397,-0.000867573,-0.0318859,-0.999491,0
3650,0,0,0,0,494,146,4290,1443,5733,0.0174661,0.0090432,-0.999807,0
1923,0,0,0,0,332,87,2342,1036,3378,0.0276023,0.0186247,-0.999445,0
