Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
4772,0,0,0,0,891,230,5893,5054,10947,4.39604e-05,0.320332,-0.947306,0
4646,0,0,0,0,1119,294,6059,4313,10372,-0.0172986,0.0928509,-0.99553,0
4863,0,0,0,0,893,219,5975,2405,8380,-0.0473426,0.042002,-0.997995,0
5201,0,0,0,0,1001,224,6426,3076,9502,-0.015676,0.0235213,-0.9996,0
4992,0,0,0,0,869,221,6082,3117,9199,0.0114489,0.0221578,-0.999689,0
4192,0,0,0,0,774,193,5159,1880,7039,-0.0128657,0.0185906,-0.999744,0
4691,0,0,0,0,856,220,5767,2828,8595,-0.0177081,-0.00508659,-0.99983,0
4856,0,0,0,0,923,221,6000,3325,9325,0.00995895,0.0228293,-0.99969,0
5385,0,0,0,0,865,230,6480,1806,8286,-0.0126078,0.0174996,-0.999767,0
3514,0,0,0,0,596,155,4265,1836,6101,-0.0162517,0.0155008,-0.999748,0
1795,0,0,0,0,309,80,2184,1160,3344,-0.010118,0.0398653,-0.999154,0
1441,0,0,0,0,250,64,1755,885,2640,-0.0153934,0.020872,-0.999664,0
2043,0,0,0,0,511,97,2651,1258,3909,-0.00458453,0.0309037,-0.999512,0
5428,0,0,0,0,961,218,6607,2788,9395,-0.0266026,0.0156584,-0.999523,0
4768,0,0,0,0,917,251,5936,3664,9600,-0.0143212,0.0178976,-0.999737,0
4916,0,0,0,0,714,153,5783,2027,7810,-0.0340294,0.00938915,-0.999377,0
5752,0,0,0,0,893,223,6868,3206,10074,-0.0140674,0.0176278,-0.999746,0
4860,0,0,0,0,949,251,6060,2854,8914,0.00650579,0.0279341,-0.999589,0
4342,0,0,0,0,798,198,5338,2036,7374,-0.0030939,0.0136965,-0.999901,0
5585,0,0,0,0,992,287,6864,3742,10606,-0.0182785,0.0207058,-0.999619,0
4998,0,0,0,0,932,221,6151,2485,8636,-0.0133258,0.020942,-0.999692,0
2514,0,0,0,0,466,117,3097,1446,4543,0.00345373,0.0310958,-0.99951,0
1686,0,0,0,0,310,78,2074,839,2913,0.0103384,0.024618,-0.999643,0
4832,0,0,0,0,884,218,5934,2085,8019,-0.000401983,0.00736988,-0.999973,0
4786,0,0,0,0,875,223,5884,-1000,-1000,-1,-1,-1,0
5468,0,0,0,0,861,218,6547,4255,10802,0.0269188,-0.0204928,-0.999428,0
5562,0,0,0,0,933,221,6716,2429,9145,0.017383,-0.0303573,-0.999388,0
4899,0,0,0,0,900,243,6042,2081,8123,0.0193636,-0.0164298,-0.999678,0
3317,0,0,0,0,600,156,4073,1471,5544,0.0173785,-0.0215806,-0.999616,0
4827,0,0,0,0,894,219,5940,2138,8078,0.000913535,-0.0316498,-0.999499,0
4933,0,0,0,0,886,219,6038,2284,8322,-0.00440735,-0.0200274,-0.99979,0
4785,0,0,0,0,869,254,5908,2864,8772,-0.0224944,0.0114327,-0.999682,0
4714,0,0,0,0,897,242,5853,3172,9025,-0.0378146,0.0209431,-0.999065,0
4982,0,0,0,0,926,222,6130,3926,10056,-0.0309141,-0.00147197,-0.999521,0
4365,0,0,0,0,600,173,5138,1905,7043,-0.0234028,0.018338,-0.999558,0
2052,0,0,0,0,366,93,2511,1555,4066,-0.0254539,0.0233183,-0.999404,0
2295,0,0,0,0,404,103,2802,1196,3998,-0.0106074,0.0377973,-0.999229,0
4825,0,0,0,0,886,217,5928,2110,8038,-0.0801561,-0.541873,-0.836629,0
4958,0,0,0,0,915,287,6160,2848,9008,-0.0212964,-0.0627157,-0.997804,0
4730,0,0,0,0,867,218,5815,2349,8164,-0.0192085,-0.0640916,-0.997759,0
4726,0,0,0,0,863,215,5804,2281,8085,-0.00504597,-0.061762,-0.998078,0
4836,0,0,0,0,855,219,5910,2198,8108,-0.00996322,-0.0569766,-0.998326,0
4732,0,0,0,0,854,215,5801,2387,8188,-0.00831069,-0.0463101,-0.998893,0
5060,0,0,0,0,882,220,6162,2040,8202,-0.01202,-0.0283281,-0.999526,0
4663,0,0,0,0,851,217,5731,2936,8667,-0.033422,0.0194572,-0.999252,0
4831,0,0,0,0,855,221,5907,3373,9280,-0.0154518,0.02114,-0.999657,0
4807,0,0,0,0,863,222,5892,3501,9393,-0.00215189,-0.00969647,-0.999951,0
1993,0,0,0,0,374,93,2460,1394,3854,-0.0139616,0.01197,-0.999831,0
4770,0,0,0,0,893,225,5888,3402,9290,-0.0185285,0.0151835,-0.999713,0
4845,0,0,0,0,856,218,5919,2134,8053,-0.0434927,0.0322395,-0.998533,0
3265,0,0,0,0,593,153,4011,1724,5735,-0.00989322,0.000377969,-0.999951,0
1998,0,0,0,0,370,93,2461,1278,3739,-0.0275663,0.00300376,-0.999615,0
4734,0,0,0,0,870,227,5831,3114,8945,-0.0202604,0.000439459,-0.999795,0
4684,0,0,0,0,867,217,5768,3130,8898,-0.0088724,0.0243317,-0.999665,0
4752,0,0,0,0,879,219,5850,3399,9249,-0.0538663,0.00273956,-0.998544,0
3696,0,0,0,0,598,151,4445,1577,6022,-0.0092343,0.0246703,-0.999653,0
2016,0,0,0,0,370,93,2479,1074,3553,-0.00711048,0.0234559,-0.9997,0
4741,0,0,0,0,869,232,5842,2853,8695,-0.00734321,0.0261014,-0.999632,0
4693,0,0,0,0,928,223,5844,2965,8809,-0.011156,-0.0132091,-0.999851,0
4841,0,0,0,0,884,222,5947,2955,8902,-0.0122695,0.00794088,-0.999893,0
4776,0,0,0,0,864,238,5878,3183,9061,-0.00101182,0.0126105,-0.99992,0
4709,0,0,0,0,898,219,5826,2695,8521,-0.0272676,0.00893092,-0.999588,0
4702,0,0,0,0,883,220,5805,3118,8923,0.000768591,0.0326567,-0.999466,0
4749,0,0,0,0,873,220,5842,2181,8023,-0.0114633,0.0596237,-0.998155,0
4806,0,0,0,0,863,257,5926,2091,8017,-0.00536673,0.0668481,-0.997749,0
5065,0,0,0,0,883,222,6170,2234,8404,-0.00329504,0.0820745,-0.996621,0
4711,0,0,0,0,875,219,5805,2635,8440,0.00318088,0.0996767,-0.995015,0
4740,0,0,0,0,882,217,5839,2181,8020,0.00219634,0.0940879,-0.995561,0
5043,0,0,0,0,870,219,6132,2798,8930,0.00266107,0.0828659,-0.996557,0
4844,0,0,0,0,932,227,6003,2288,8291,-0.0104883,0.0852011,-0.996309,0
4804,0,0,0,0,886,219,5909,2248,8157,-0.00170064,0.0672432,-0.997735,0
5518,0,0,0,0,1024,250,6792,2170,8962,-0.00208713,0.0816754,-0.996657,0
5004,0,0,0,0,937,248,6189,2610,8799,0.0135883,0.110492,-0.993784,0
4900,0,0,0,0,945,221,6066,2314,8380,-0.016535,0.0714143,-0.99731,0
3508,0,0,0,0,635,187,4330,1491,5821,-0.00790962,0.0538671,-0.998517,0
4695,0,0,0,0,865,216,5776,2169,7945,-0.0209191,0.0820668,-0.996407,0
4797,0,0,0,0,906,227,5930,2185,8115,-0.0108702,0.0700173,-0.997487,0
4700,0,0,0,0,919,222,5841,2132,7973,-0.0183342,0.0697344,-0.997397,0
4760,0,0,0,0,896,221,5877,2190,8067,-0.0266363,0.0630083,-0.997657,0
5399,0,0,0,0,892,222,6513,2335,8848,-0.00323281,0.0824272,-0.996592,0
4822,0,0,0,0,896,263,5981,2475,8456,-0.00428033,0.0435868,-0.99904,0
5250,0,0,0,0,1006,255,6511,2018,8529,-0.00360073,0.0219709,-0.999752,0
4705,0,0,0,0,859,220,5784,3318,9102,-0.0244571,-0.00081622,-0.999701,0
4821,0,0,0,0,933,222,5976,2041,8017,-0.0115592,0.00761314,-0.999904,0
3280,0,0,0,0,616,153,4049,1839,5888,-0.0209096,0.0138489,-0.999685,0
4912,0,0,0,0,856,218,5986,2979,8965,-0.00364254,0.00946502,-0.999949,0
2699,0,0,0,0,463,120,3282,1531,4813,0.00843643,0.0389557,-0.999205,0
1228,0,0,0,0,229,57,1514,642,2156,0.00167196,0.0436847,-0.999044,0
5812,0,0,0,0,1336,270,7418,1899,9317,-0.00794688,0.0776952,-0.996945,0
2644,0,0,0,0,486,122,3252,1319,4571,-0.00924107,0.0624032,-0.998008,0
5338,0,0,0,0,981,248,6567,2233,8800,-0.0102429,0.0511726,-0.998637,0
4793,0,0,0,0,963,223,5979,2031,8010,-0.022564,0.0415497,-0.998882,0
3284,0,0,0,0,640,159,4083,2460,6543,-0.0027051,0.0164841,-0.99986,0
4761,0,0,0,0,890,226,5877,3089,8966,-0.0212795,-0.0132031,-0.999686,0
4861,0,0,0,0,908,231,6000,3189,9189,-0.0270908,0.0517712,-0.998291,0
3305,0,0,0,0,647,162,4114,1359,5473,0.0058146,0.0470739,-0.998874,0
4901,0,0,0,0,931,252,6084,2473,8557,0.0036602,0.0920057,-0.995752,0
5546,0,0,0,0,969,236,6751,2586,9337,0.0094273,0.0824236,-0.996553,0
3462,0,0,0,0,636,161,4259,1632,5891,-0.00163113,0.052125,-0.998639,0
5108,0,0,0,0,912,284,6304,2207,8511,-0.00833241,0.0516728,-0.998629,0
4834,0,0,0,0,911,229,5974,2106,8080,-0.012251,0.0473992,-0.998801,0
4768,0,0,0,0,958,231,5957,2323,8280,-0.0451567,0.0645559,-0.996892,0
4824,0,0,0,0,937,234,5995,2066,8061,-0.0690021,0.0412817,-0.996762,0
4800,0,0,0,0,923,235,5958,2578,8536,-0.0263725,0.0128463,-0.99957,0
2275,0,0,0,0,390,106,2771,1051,3822,-0.0176069,0.0356306,-0.99921,0
1063,0,0,0,0,201,51,1315,617,1932,-0.0184667,-0.00242977,-0.999827,0
1750,0,0,0,0,341,102,2193,1048,3241,-0.0334789,-0.00836598,-0.999404,0
4848,0,0,0,0,926,231,6005,3086,9091,-0.0178003,0.0338798,-0.999267,0
5296,0,0,0,0,974,238,6508,2650,9158,-0.0271089,0.00823782,-0.999599,0
3470,0,0,0,0,635,163,4268,2180,6448,0.00302897,0.0354944,-0.999365,0
4840,0,0,0,0,960,260,6060,2229,8289,0.00315242,0.0333012,-0.99944,0
4864,0,0,0,0,960,233,6057,2336,8393,0.00147173,0.0182747,-0.999832,0
4803,0,0,0,0,914,262,5979,3130,9109,-0.022145,0.0472151,-0.998639,0
4719,0,0,0,0,955,234,5908,3231,9139,-0.0177234,0.00030856,-0.999843,0
4768,0,0,0,0,938,234,5940,3109,9049,-0.0127849,-0.013947,-0.999821,0
4799,0,0,0,0,897,227,5923,3071,8994,-0.0179404,0.0106024,-0.999783,0
5042,0,0,0,0,1010,270,6322,3106,9428,0.0279942,0.0108288,-0.999549,0
4462,0,0,0,0,683,158,5303,1251,6554,0.0145339,-0.00619059,-0.999875,0
2081,0,0,0,0,411,98,2590,932,3522,-0.00877699,-0.00985154,-0.999913,0
1944,0,0,0,0,314,81,2339,939,3278,-0.0333755,0.0156985,-0.99932,0
4847,0,0,0,0,916,268,6031,2750,8781,-0.0199288,0.00182553,-0.9998,0
5097,0,0,0,0,954,246,6297,2620,8917,-0.0417007,0.0444923,-0.998139,0
3914,0,0,0,0,591,152,4657,2165,6822,-0.0316107,0.00403882,-0.999492,0
4756,0,0,0,0,922,217,5895,3065,8960,-0.035698,0.0301732,-0.998907,0
4805,0,0,0,0,872,323,6000,3078,9078,-0.0417687,0.0132752,-0.999039,0
3371,0,0,0,0,594,147,4112,2209,6321,-0.0263117,0.011963,-0.999582,0
5051,0,0,0,0,855,266,6172,3412,9584,0.0134307,0.0371039,-0.999221,0
5015,0,0,0,0,771,197,5983,2874,8857,-0.00788579,0.0442559,-0.998989,0
4985,0,0,0,0,815,193,5993,2190,8183,-0.00992611,0.0372509,-0.999257,0
2767,0,0,0,0,386,97,3250,1148,4398,-0.0483926,0.0919811,-0.994584,0
5199,0,0,0,0,750,186,6135,2569,8704,-0.018264,0.086297,-0.996102,0
5148,0,0,0,0,712,186,6046,2201,8247,-0.030019,0.0969962,-0.994832,0
5352,0,0,0,0,723,181,6256,2367,8623,-0.0155524,0.109284,-0.993889,0
5120,0,0,0,0,707,180,6007,3030,9037,-0.031499,0.0866239,-0.995743,0
4843,0,0,0,0,628,161,5632,2013,7645,-0.0453909,0.0836471,-0.995461,0
5199,0,0,0,0,664,212,6075,2061,8136,-0.0764869,0.108326,-0.991169,0
5439,0,0,0,0,634,163,6236,1667,7903,-0.0433835,0.0926112,-0.994757,0
3577,0,0,0,0,411,104,4092,1676,5768,-0.0382414,0.0906149,-0.995152,0
5886,0,0,0,0,577,150,6613,2313,8926,-0.0404319,0.134737,-0.990056,0
5219,0,0,0,0,501,135,5855,2246,8101,-0.027374,0.0600995,-0.997817,0
5265,0,0,0,0,452,116,5833,2260,8093,-0.0289079,0.0811952,-0.996279,0
5188,0,0,0,0,445,111,5744,2442,8186,-0.0419931,0.144678,-0.988587,0
5359,0,0,0,0,387,103,5849,2644,8493,0.00615356,0.0497947,-0.998741,0
3730,0,0,0,0,247,67,4044,2141,6185,0.0315105,0.0620933,-0.997573,0
5186,0,0,0,0,343,91,5620,2384,8004,0.0148097,0.12683,-0.991814,0
5115,0,0,0,0,327,88,5530,2564,8094,0.0267529,0.0666073,-0.997421,0
