Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6028,0,0,0,0,708,168,6904,2462,9366,0.00966438,-0.0408775,-0.999117,0
4296,0,0,0,0,504,110,4910,1580,6490,0.0198845,0.00779768,-0.999772,0
6020,0,0,0,0,667,156,6843,2214,9057,0.00375765,0.000612758,-0.999993,0
6004,0,0,0,0,645,152,6801,2340,9141,-0.00855303,0.0158838,-0.999837,0
6010,0,0,0,0,642,153,6805,2271,9076,0.00384314,0.0248358,-0.999684,0
6387,0,0,0,0,670,156,7213,3058,10271,0.0175694,0.0150272,-0.999733,0
6783,0,0,0,0,652,153,7588,2849,10437,0.00672328,0.0275929,-0.999597,0
6919,0,0,0,0,653,157,7729,2735,10464,-0.00137445,0.0206118,-0.999787,0
5842,0,0,0,0,662,152,6656,2526,9182,-0.0204087,0.034275,-0.999204,0
6052,0,0,0,0,661,152,6865,2568,9433,0.00297997,0.0545285,-0.998508,0
5980,0,0,0,0,949,239,7168,2918,10086,-3.46328e-05,0.0283598,-0.999598,0
6156,0,0,0,0,656,153,6965,2208,9173,-0.00120894,0.00505252,-0.999987,0
5755,0,0,0,0,450,108,6313,1468,7781,-0.00303834,0.0119137,-0.999924,0
2515,0,0,0,0,233,65,2813,1000,3813,6.50216e-05,0.028056,-0.999606,0
2070,0,0,0,0,226,53,2349,852,3201,-0.0107293,0.0197432,-0.999748,0
5924,0,0,0,0,652,155,6731,2519,9250,0.00250301,0.00581866,-0.99998,0
5971,0,0,0,0,654,155,6780,2443,9223,-0.000162416,0.0188495,-0.999822,0
6072,0,0,0,0,656,158,6886,2481,9367,-0.018972,-0.00625856,-0.9998,0
6049,0,0,0,0,651,154,6854,3264,10118,-0.0349735,-0.0122799,-0.999313,0
4152,0,0,0,0,456,135,4743,1731,6474,-0.0313124,-0.00309992,-0.999505,0
6182,0,0,0,0,951,229,7362,2523,9885,-0.026638,0.035217,-0.999025,0
6048,0,0,0,0,647,151,6846,2280,9126,-0.00824745,0.0458081,-0.998916,0
5992,0,0,0,0,652,152,6796,2364,9160,-0.0102033,0.0290429,-0.999526,0
4120,0,0,0,0,448,105,4673,1725,6398,-0.00591355,0.00656811,-0.999961,0
6165,0,0,0,0,648,155,6968,2605,9573,-0.00359328,0.00813952,-0.99996,0
6948,0,0,0,0,686,161,7795,2342,10137,-0.0129482,0.02931,-0.999487,0
5945,0,0,0,0,640,176,6761,2292,9053,-0.0230095,-0.00627238,-0.999716,0
5674,0,0,0,0,627,142,6443,2165,8608,-0.0103805,0.011436,-0.999881,0
5919,0,0,0,0,648,152,6719,1985,8704,-0.0433294,-0.00491156,-0.999049,0
6207,0,0,0,0,651,154,7012,2363,9375,-0.0392583,-0.00476943,-0.999218,0
5977,0,0,0,0,692,155,6824,2263,9087,-0.0110392,0.00525145,-0.999925,0
5755,0,0,0,0,587,141,6483,2314,8797,-0.0160425,-0.000374839,-0.999871,0
5387,0,0,0,0,586,140,6113,2917,9030,-0.00883327,0.0143847,-0.999858,0
3809,0,0,0,0,418,99,4326,1539,5865,-0.0108413,0.0180779,-0.999778,0
6098,0,0,0,0,652,150,6900,2257,9157,-0.0100643,0.0115038,-0.999883,0
6059,0,0,0,0,659,152,6870,2635,9505,0.00282261,0.0496206,-0.998764,0
5921,0,0,0,0,660,153,6734,2510,9244,0.0148545,0.00909124,-0.999848,0
5835,0,0,0,0,650,152,6637,2798,9435,0.0198547,0.00982715,-0.999755,0
5865,0,0,0,0,648,160,6673,3046,9719,-0.0106706,0.0186171,-0.99977,0
5489,0,0,0,0,586,139,6214,2253,8467,-0.000552872,-0.000259279,-1,0
6303,0,0,0,0,727,191,7221,2272,9493,-0.00490889,0.0124858,-0.99991,0
5876,0,0,0,0,653,151,6680,2718,9398,0.00139842,0.0127379,-0.999918,0
6058,0,0,0,0,645,154,6857,2670,9527,0.00242936,0.00160574,-0.999996,0
5903,0,0,0,0,647,151,6701,2638,9339,0.0154904,0.0218826,-0.999641,0
6157,0,0,0,0,647,154,6958,2586,9544,-0.0125285,0.0265176,-0.99957,0
6274,0,0,0,0,642,154,7070,2449,9519,-0.0125021,0.0342845,-0.999334,0
6013,0,0,0,0,650,152,6815,2125,8940,0.00206094,0.0417279,-0.999127,0
6400,0,0,0,0,649,156,7205,2549,9754,-0.00255733,0.0361233,-0.999344,0
4097,0,0,0,0,442,104,4643,1632,6275,-0.00295746,0.0547622,-0.998495,0
6343,0,0,0,0,672,156,7171,2305,9476,-0.015476,0.0318699,-0.999372,0
