Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6145,0,0,0,0,1118,280,7543,2945,10488,-0.00394474,0.0317822,-0.999487,0
5785,0,0,0,0,1126,285,7196,1729,8925,-0.0119731,0.0182593,-0.999762,0
5842,0,0,0,0,1015,248,7105,1731,8836,-0.0104367,0.0190719,-0.999764,0
5943,0,0,0,0,1242,275,7460,2050,9510,-0.0181472,0.00757742,-0.999807,0
6086,0,0,0,0,1255,278,7619,2119,9738,-0.00362524,0.0220222,-0.999751,0
6264,0,0,0,0,1164,278,7706,1994,9700,-0.0222435,0.0279586,-0.999362,0
5899,0,0,0,0,1131,270,7300,1685,8985,-0.023911,0.0272218,-0.999343,0
4042,0,0,0,0,780,190,5012,1363,6375,-0.00419812,0.0211906,-0.999767,0
5813,0,0,0,0,1163,293,7269,1943,9212,-0.0112139,0.0221467,-0.999692,0
6534,0,0,0,0,1179,290,8003,1982,9985,-0.00133823,0.0141069,-0.9999,0
5898,0,0,0,0,1193,276,7367,1981,9348,-0.00334922,0.012981,-0.99991,0
5434,0,0,0,0,1145,251,6830,1893,8723,-0.00325311,0.0128377,-0.999912,0
5248,0,0,0,0,1027,248,6523,1819,8342,-0.0077151,0.0307197,-0.999498,0
5510,0,0,0,0,1083,249,6842,1863,8705,-0.00556273,0.0297177,-0.999543,0
5303,0,0,0,0,1051,248,6602,1714,8316,-0.00744037,0.019976,-0.999773,0
5223,0,0,0,0,1021,249,6493,1759,8252,-0.00163094,0.0309316,-0.99952,0
5898,0,0,0,0,1034,252,7184,1871,9055,-0.00191098,0.02692,-0.999636,0
5327,0,0,0,0,1048,262,6637,1701,8338,-0.00506737,0.0273386,-0.999613,0
3816,0,0,0,0,725,178,4719,1253,5972,-0.00307022,0.0251154,-0.99968,0
6461,0,0,0,0,1177,190,7828,1357,9185,-0.00226763,0.0240667,-0.999708,0
3167,0,0,0,0,588,143,3898,1025,4923,-0.0277607,0.0226967,-0.999357,0
5953,0,0,0,0,1168,273,7394,1992,9386,-0.00104819,0.00375548,-0.999992,0
6031,0,0,0,0,1731,308,8070,1584,9654,-0.00771692,-0.0182601,-0.999803,0
4052,0,0,0,0,797,184,5033,1361,6394,-0.0140259,-0.0229241,-0.999639,0
5928,0,0,0,0,1160,278,7366,2139,9505,-0.014441,-0.041412,-0.999038,0
3763,0,0,0,0,584,141,4488,1060,5548,-0.0164215,-0.0307992,-0.999391,0
2601,0,0,0,0,480,113,3194,1125,4319,-0.0167894,-0.0310245,-0.999378,0
4138,0,0,0,0,763,184,5085,1375,6460,-0.0204266,-0.00521127,-0.999778,0
6930,0,0,0,0,1129,268,8327,1911,10238,-0.0135201,0.00652249,-0.999887,0
6911,0,0,0,0,1166,283,8360,1327,9687,-0.0406414,0.0090555,-0.999133,0
4169,0,0,0,0,823,198,5190,1377,6567,-0.0288002,0.0340336,-0.999006,0
6487,0,0,0,0,1277,297,8061,2024,10085,-0.0433571,0.0516196,-0.997725,0
6089,0,0,0,0,1259,306,7654,2030,9684,-0.040163,0.0339557,-0.998616,0
4607,0,0,0,0,899,234,5740,1418,7158,-0.0117592,0.00368888,-0.999924,0
7011,0,0,0,0,1320,321,8652,1987,10639,-0.0209459,-0.0318629,-0.999273,0
6280,0,0,0,0,1414,349,8043,1391,9434,-0.0181897,-0.0299296,-0.999386,0
3781,0,0,0,0,771,180,4732,1037,5769,0.0210864,-0.0314145,-0.999284,0
6424,0,0,0,0,1375,330,8129,2096,10225,0.0525155,-0.0558967,-0.997055,0
4232,0,0,0,0,922,221,5375,1411,6786,0.0653891,-0.046956,-0.996754,0
6052,0,0,0,0,1267,289,7608,2016,9624,0.0543621,-0.0742638,-0.995756,0
5767,0,0,0,0,1080,282,7129,1990,9119,0.0530703,-0.0862077,-0.994863,0
3741,0,0,0,0,609,150,4500,1351,5851,0.0243214,-0.0871995,-0.995894,0
5315,0,0,0,0,787,191,6293,2074,8367,-0.00207607,-0.112143,-0.99369,0
5343,0,0,0,0,837,209,6389,2172,8561,0.00518203,-0.112977,-0.993584,0
5378,0,0,0,0,847,217,6442,1992,8434,-0.0141614,-0.0984569,-0.995041,0
5755,0,0,0,0,843,211,6809,2034,8843,-0.0272569,-0.0862843,-0.995898,0
5379,0,0,0,0,851,211,6441,2126,8567,-0.0209041,-0.113211,-0.993351,0
5224,0,0,0,0,861,211,6296,2054,8350,-0.0118702,-0.132396,-0.991126,0
6713,0,0,0,0,950,239,7902,2035,9937,-0.0112453,-0.12889,-0.991595,0
5579,0,0,0,0,784,196,6559,2082,8641,-0.0137446,-0.130586,-0.991342,0
5778,0,0,0,0,734,187,6699,2052,8751,-0.00290529,-0.198905,-0.980015,0
6272,0,0,0,0,617,166,7055,2114,9169,0.0619142,-0.358529,-0.931463,0
3311,0,0,0,0,303,78,3692,1029,4721,0.0422902,-0.272702,-0.961169,0
2354,0,0,0,0,238,49,2641,761,3402,0.0337379,-0.192188,-0.980778,0
2794,0,0,0,0,340,83,3217,983,4200,0.0255458,-0.150676,-0.988253,0
6347,0,0,0,0,1041,251,7639,2120,9759,0.00524719,-0.213564,-0.976915,0
6151,0,0,0,0,1109,266,7526,2242,9768,0.0170911,-0.219546,-0.975452,0
4404,0,0,0,0,848,204,5456,1553,7009,0.00262715,-0.231241,-0.972893,0
5496,0,0,0,0,1082,265,6843,1893,8736,0.0237324,-0.262159,-0.964733,0
4791,0,0,0,0,893,190,5874,1117,6991,0.0246013,-0.275417,-0.96101,0
3052,0,0,0,0,627,147,3826,1155,4981,0.00557853,-0.285727,-0.958295,0
6447,0,0,0,0,1319,309,8075,1951,10026,0.0153931,-0.373036,-0.927689,0
4389,0,0,0,0,760,172,5321,1665,6986,-0.0146768,-0.367696,-0.92983,0
5461,0,0,0,0,774,205,6440,2005,8445,0.00700494,-0.424338,-0.905477,0
6280,0,0,0,0,1074,239,7593,1958,9551,0.0203599,-0.473298,-0.880667,0
4967,0,0,0,0,765,184,5916,1542,7458,0.000930493,-0.467514,-0.883985,0
6285,0,0,0,0,1240,305,7830,2381,10211,-0.030344,-0.520647,-0.853233,0
6169,0,0,0,0,1341,327,7837,2431,10268,-0.0293007,-0.45484,-0.890091,0
5838,0,0,0,0,1392,334,7564,2256,9820,-0.0428288,-0.44927,-0.892369,0
5856,0,0,0,0,1312,318,7486,2165,9651,-0.0714493,-0.41686,-0.906158,0
6732,0,0,0,0,1165,282,8179,2264,10443,-0.0419035,-0.414122,-0.909256,0
6173,0,0,0,0,1020,241,7434,1645,9079,-0.050998,-0.359957,-0.931574,0
6735,0,0,0,0,1004,231,7970,2721,10691,-0.0749642,-0.370007,-0.925999,0
5686,0,0,0,0,871,205,6762,2081,8843,-0.0564737,-0.360493,-0.931051,0
3807,0,0,0,0,689,174,4670,1322,5992,-0.0560296,-0.286022,-0.956584,0
5621,0,0,0,0,922,236,6779,2358,9137,-0.0328345,-0.350484,-0.935993,0
5585,0,0,0,0,799,188,6572,2099,8671,-0.0134447,-0.337978,-0.941058,0
6815,0,0,0,0,648,196,7659,2255,9914,0.000862045,-0.36962,-0.929183,0
5663,0,0,0,0,616,148,6427,1527,7954,-0.00147187,-0.306403,-0.951901,0
5268,0,0,0,0,602,140,6010,1870,7880,0.00283412,-0.369118,-0.929378,0
6088,0,0,0,0,970,242,7300,2624,9924,-0.020577,-0.391239,-0.920059,0
4483,0,0,0,0,750,186,5419,1836,7255,-0.012616,-0.421694,-0.906651,0
4314,0,0,0,0,777,187,5278,1524,6802,-0.00597704,-0.358518,-0.933504,0
6504,0,0,0,0,1060,246,7810,1525,9335,-0.00667018,-0.416225,-0.909237,0
4424,0,0,0,0,719,163,5306,1745,7051,-0.00771747,-0.409671,-0.912201,0
5470,0,0,0,0,630,153,6253,2491,8744,-0.0116379,-0.456318,-0.889741,0
5507,0,0,0,0,678,165,6350,1987,8337,-0.029264,-0.465225,-0.884709,0
6670,0,0,0,0,975,231,7876,2383,10259,-0.0182821,-0.509748,-0.860129,0
4157,0,0,0,0,743,180,5080,1517,6597,-0.0270987,-0.486432,-0.873298,0
6672,0,0,0,0,1298,317,8287,2325,10612,-0.0275365,-0.552925,-0.832776,0
4213,0,0,0,0,951,231,5395,1681,7076,-0.0199531,-0.473753,-0.880432,0
3152,0,0,0,0,635,156,3943,1337,5280,-0.00960489,-0.411574,-0.911326,0
6678,0,0,0,0,1024,232,7934,2733,10667,0.019833,-0.390591,-0.920351,0
6058,0,0,0,0,956,220,7234,1727,8961,0.0221524,-0.40372,-0.914614,0
6136,0,0,0,0,949,234,7319,4088,11407,-0.00395406,-0.343612,-0.939103,0
5796,0,0,0,0,824,195,6815,2569,9384,-0.0465724,-0.289495,-0.956046,0
5971,0,0,0,0,854,207,7032,2414,9446,-0.0880865,-0.30135,-0.949436,0
5764,0,0,0,0,888,210,6862,2208,9070,-0.104201,-0.296907,-0.949204,0
5596,0,0,0,0,822,199,6617,2080,8697,-0.0579413,-0.232302,-0.970916,0
5779,0,0,0,0,868,208,6855,2124,8979,-0.0245871,-0.180272,-0.983309,0
5628,0,0,0,0,828,212,6668,2334,9002,0.00197731,-0.182812,-0.983146,0
