Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6107,0,0,0,0,1203,309,7619,5237,12856,-0.00255127,0.168558,-0.985688,0
2606,0,0,0,0,469,118,3193,873,4066,0.00746974,0.0186414,-0.999798,0
6362,0,0,0,0,1098,303,7763,1893,9656,0.0167157,0.0435721,-0.99891,0
4454,0,0,0,0,856,199,5509,1481,6990,0.0289527,0.0348332,-0.998974,0
4845,0,0,0,0,759,194,5798,1494,7292,0.008084,0.0346815,-0.999366,0
4627,0,0,0,0,942,195,5764,2178,7942,0.0121305,0.0314366,-0.999432,0
4101,0,0,0,0,797,191,5089,1379,6468,0.0237843,0.0375297,-0.999012,0
6221,0,0,0,0,1137,296,7654,2029,9683,0.00402754,0.0430735,-0.999064,0
5696,0,0,0,0,808,287,6791,1208,7999,0.0150015,0.0377134,-0.999176,0
3318,0,0,0,0,596,155,4069,1045,5114,0.0139631,0.0360961,-0.999251,0
4111,0,0,0,0,891,226,5228,1779,7007,0.00834124,0.0365527,-0.999297,0
5352,0,0,0,0,970,229,6551,1577,8128,0.0037735,0.0464562,-0.998913,0
6202,0,0,0,0,1088,295,7585,2023,9608,0.00220765,0.0546982,-0.9985,0
6041,0,0,0,0,1087,316,7444,2056,9500,0.0230115,0.0525997,-0.998351,0
3108,0,0,0,0,539,135,3782,835,4617,0.0134079,0.0528302,-0.998513,0
1682,0,0,0,0,291,76,2049,542,2591,0.0220729,0.0555654,-0.998211,0
6861,0,0,0,0,1123,278,8262,2019,10281,0.00876995,0.0567943,-0.998347,0
6733,0,0,0,0,1552,287,8572,1413,9985,0.00345753,0.0695188,-0.997575,0
2579,0,0,0,0,484,121,3184,858,4042,0.00927673,0.0673809,-0.997684,0
3634,0,0,0,0,710,183,4527,1219,5746,0.00952085,0.0622043,-0.998018,0
6523,0,0,0,0,1310,293,8126,2013,10139,0.0347383,0.0770171,-0.996424,0
6192,0,0,0,0,1171,273,7636,1507,9143,0.0109049,0.0707771,-0.997433,0
3317,0,0,0,0,570,146,4033,1204,5237,0.0129293,0.0675422,-0.997633,0
4536,0,0,0,0,873,176,5585,1419,7004,0.00295782,0.0832135,-0.996527,0
5166,0,0,0,0,937,228,6331,1648,7979,0.0102252,0.0768167,-0.996993,0
5072,0,0,0,0,985,230,6287,1658,7945,0.00123635,0.0822407,-0.996612,0
