Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6046,0,0,0,0,1039,255,7340,3253,10593,-0.00475381,0.0319489,-0.999478,0
5928,0,0,0,0,1056,249,7233,1981,9214,-0.00262433,0.0265607,-0.999644,0
4190,0,0,0,0,732,170,5092,1374,6466,0.00595017,0.0212755,-0.999756,0
5983,0,0,0,0,1079,251,7313,1975,9288,-0.00276447,0.0253219,-0.999676,0
6512,0,0,0,0,1041,251,7804,2004,9808,-0.000272477,0.0269079,-0.999638,0
6529,0,0,0,0,1542,366,8437,2035,10472,0.00275238,0.0211947,-0.999772,0
4334,0,0,0,0,735,176,5245,1339,6584,-0.00307771,0.0244222,-0.999697,0
6119,0,0,0,0,1113,263,7495,1939,9434,-0.00272644,0.0188252,-0.999819,0
5944,0,0,0,0,1053,269,7266,1991,9257,-0.00656769,0.0204892,-0.999769,0
6194,0,0,0,0,1062,254,7510,2018,9528,-0.00615123,0.0392534,-0.99921,0
6026,0,0,0,0,1062,248,7336,1967,9303,0.010466,0.0331981,-0.999394,0
6137,0,0,0,0,1044,245,7426,1957,9383,-0.00844787,0.0290015,-0.999544,0
6855,0,0,0,0,1223,281,8359,2015,10374,-0.00137247,0.0271444,-0.999631,0
6135,0,0,0,0,1052,247,7434,1974,9408,0.00987884,0.0242948,-0.999656,0
5947,0,0,0,0,1055,250,7252,2061,9313,-0.00515807,0.0267082,-0.99963,0
6594,0,0,0,0,1080,254,7928,1926,9854,-0.00547304,0.0263295,-0.999638,0
5937,0,0,0,0,1080,271,7288,2039,9327,-0.0145904,0.0318964,-0.999385,0
6111,0,0,0,0,1104,265,7480,1969,9449,0.00813501,0.0489918,-0.998766,0
5944,0,0,0,0,1094,252,7290,2059,9349,-0.00223275,0.0272691,-0.999626,0
6861,0,0,0,0,1246,285,8392,1970,10362,-0.0142248,0.0236092,-0.99962,0
6037,0,0,0,0,1092,253,7382,2052,9434,-0.0119868,0.039113,-0.999163,0
6142,0,0,0,0,1075,253,7470,1936,9406,-0.00743681,0.028688,-0.999561,0
6114,0,0,0,0,1067,253,7434,2001,9435,-0.00556541,0.0236359,-0.999705,0
6093,0,0,0,0,1323,339,7755,1947,9702,-0.0153297,0.0328942,-0.999341,0
6208,0,0,0,0,1105,255,7568,1975,9543,-0.00287996,0.0276055,-0.999615,0
6763,0,0,0,0,1191,333,8287,2029,10316,-0.00271375,0.0274784,-0.999619,0
4225,0,0,0,0,739,174,5138,1327,6465,-0.00342682,0.0378799,-0.999276,0
5909,0,0,0,0,1069,249,7227,1998,9225,-0.00732681,0.030231,-0.999516,0
6598,0,0,0,0,1071,255,7924,2074,9998,-0.00764541,0.0287538,-0.999557,0
6353,0,0,0,0,1104,255,7712,2324,10036,-0.00628054,0.0288871,-0.999563,0
6080,0,0,0,0,1073,293,7446,1714,9160,-0.0133052,0.0258288,-0.999578,0
6059,0,0,0,0,1072,263,7394,1976,9370,-0.0216644,0.0321942,-0.999247,0
6074,0,0,0,0,1074,252,7400,2029,9429,0.00913756,0.0261782,-0.999616,0
6881,0,0,0,0,1230,293,8404,2006,10410,-0.0139206,0.00216992,-0.999901,0
5997,0,0,0,0,1071,259,7327,2001,9328,-0.0107834,0.00262025,-0.999938,0
6221,0,0,0,0,1088,256,7565,2178,9743,-0.0120636,0.0299744,-0.999478,0
6137,0,0,0,0,1550,377,8064,2019,10083,0.00295821,0.0159243,-0.999869,0
6171,0,0,0,0,1112,259,7542,2016,9558,-0.006738,0.0278093,-0.999591,0
6707,0,0,0,0,1120,258,8085,2021,10106,-0.00553805,0.022929,-0.999722,0
5421,0,0,0,0,978,228,6627,1782,8409,-0.0144758,0.0272393,-0.999524,0
6275,0,0,0,0,1073,253,7601,1981,9582,-0.0135769,0.0323772,-0.999384,0
6772,0,0,0,0,1253,286,8311,1963,10274,-0.0147767,0.0320718,-0.999376,0
6870,0,0,0,0,1210,304,8384,1956,10340,-0.00782434,0.0313636,-0.999477,0
6997,0,0,0,0,1265,288,8550,2113,10663,-0.00277418,0.0325465,-0.999466,0
6665,0,0,0,0,1222,252,8139,1943,10082,0.0036839,0.0237905,-0.99971,0
6956,0,0,0,0,1239,310,8505,2168,10673,-0.00763846,0.0288221,-0.999555,0
6875,0,0,0,0,1237,288,8400,2022,10422,0.00753076,0.0385947,-0.999227,0
6920,0,0,0,0,1174,290,8384,2005,10389,0.0094439,0.0236564,-0.999676,0
6058,0,0,0,0,1152,266,7476,2122,9598,0.00289393,0.0258519,-0.999662,0
6108,0,0,0,0,1148,276,7532,1978,9510,-0.0061662,0.0259868,-0.999643,0
