Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5059,0,0,0,0,94,41,5194,4973,10167,-0.0837016,-0.0797711,-0.993293,0
3400,0,0,0,0,65,20,3485,4865,8350,0.0601455,-0.250236,-0.966315,0
5051,0,0,0,0,94,32,5177,4807,9984,0.0802121,-0.303764,-0.949365,0
4997,0,0,0,0,92,29,5118,6180,11298,0.086529,-0.425386,-0.900866,0
3401,0,0,0,0,64,20,3485,3226,6711,0.0344832,-0.352018,-0.935358,0
4930,0,0,0,0,88,29,5047,3705,8752,-0.0354442,-0.328242,-0.943928,0
5006,0,0,0,0,87,28,5121,3226,8347,-0.0446922,-0.301367,-0.95246,0
4970,0,0,0,0,93,29,5092,3445,8537,-0.0371119,-0.314847,-0.948417,0
4986,0,0,0,0,88,33,5107,3237,8344,-0.0546411,-0.297294,-0.953221,0
4406,0,0,0,0,77,24,4507,4369,8876,-0.0408988,-0.276726,-0.960078,0
4178,0,0,0,0,56,17,4251,2244,6495,-0.0568947,-0.275639,-0.959576,0
2776,0,0,0,0,49,15,2840,1683,4523,-0.0492566,-0.272311,-0.960948,0
5025,0,0,0,0,84,28,5137,3398,8535,-0.0347821,-0.223473,-0.974089,0
4983,0,0,0,0,85,31,5099,2594,7693,-0.432077,-0.236677,-0.870226,0
5038,0,0,0,0,91,28,5157,4617,9774,-0.34826,-0.176934,-0.920548,0
4924,0,0,0,0,88,27,5039,8400,13439,-0.243922,-0.268714,-0.931823,0
3559,0,0,0,0,64,20,3643,7438,11081,-0.230529,-0.212961,-0.949476,0
2721,0,0,0,0,50,15,2786,2205,4991,-0.2244,-0.324402,-0.918917,0
5138,0,0,0,0,91,31,5260,5317,10577,-0.146434,-0.249187,-0.957321,0
3445,0,0,0,0,60,19,3524,3718,7242,-0.0732742,-0.23519,-0.969184,0
5245,0,0,0,0,89,30,5364,3577,8941,-0.228902,-0.266351,-0.936302,0
5196,0,0,0,0,110,37,5343,7608,12951,-0.160822,-0.239348,-0.957522,0
3197,0,0,0,0,45,15,3257,2785,6042,-0.210306,-0.337381,-0.917576,0
4166,0,0,0,0,72,24,4262,5691,9953,-0.147634,-0.298277,-0.942993,0
4213,0,0,0,0,95,26,4334,7400,11734,-0.233053,-0.253316,-0.938891,0
3188,0,0,0,0,99,26,3313,5546,8859,-0.255687,-0.451719,-0.854736,0
4931,0,0,0,0,85,26,5042,3736,8778,-0.166996,-0.397705,-0.902188,0
3545,0,0,0,0,62,21,3628,2238,5866,-0.118398,-0.34795,-0.930007,0
5046,0,0,0,0,119,30,5195,6333,11528,-0.0663145,-0.295693,-0.952979,0
3520,0,0,0,0,59,20,3599,4615,8214,-0.0712245,-0.297312,-0.95212,0
3306,0,0,0,0,92,26,3424,2693,6117,-0.0538898,-0.2969,-0.953387,0
