Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6035,0,0,0,0,635,174,6844,3656,10500,-0.0524131,-0.0788727,-0.995506,0
5708,0,0,0,0,637,156,6501,2096,8597,-0.0503629,-0.00210815,-0.998729,0
4249,0,0,0,0,580,114,4943,2193,7136,-0.0070335,0.0240738,-0.999685,0
5789,0,0,0,0,634,157,6580,2111,8691,-0.00790205,0.0293062,-0.999539,0
5777,0,0,0,0,676,161,6614,2079,8693,-0.0155462,0.0225197,-0.999626,0
5844,0,0,0,0,657,161,6662,1945,8607,-0.017158,0.0126133,-0.999773,0
5709,0,0,0,0,647,154,6510,2112,8622,-0.0112488,0.0168966,-0.999794,0
5852,0,0,0,0,611,150,6613,2019,8632,-0.010027,0.0274773,-0.999572,0
5734,0,0,0,0,598,162,6494,2038,8532,-0.0229172,0.0244784,-0.999438,0
5924,0,0,0,0,612,164,6700,2218,8918,-0.00164055,0.0227347,-0.99974,0
6736,0,0,0,0,684,182,7602,2056,9658,-0.00843625,0.0238493,-0.99968,0
5729,0,0,0,0,629,154,6512,2039,8551,-0.0258036,0.0250042,-0.999354,0
6633,0,0,0,0,622,156,7411,2098,9509,-0.00932147,0.027466,-0.999579,0
5827,0,0,0,0,615,153,6595,2066,8661,0.00748628,0.0225547,-0.999718,0
5832,0,0,0,0,640,153,6625,2093,8718,-0.016495,0.0144628,-0.999759,0
5866,0,0,0,0,628,152,6646,2104,8750,-0.00889084,0.0215559,-0.999728,0
5967,0,0,0,0,599,152,6718,2009,8727,-0.0205009,0.0220434,-0.999547,0
5826,0,0,0,0,588,148,6562,1398,7960,-0.00174014,0.0213427,-0.999771,0
2735,0,0,0,0,252,65,3052,851,3903,-0.0222087,0.0277345,-0.999369,0
2264,0,0,0,0,245,57,2566,804,3370,-0.00226896,0.0190291,-0.999816,0
5975,0,0,0,0,587,148,6710,2061,8771,-0.00733972,0.0234683,-0.999698,0
5732,0,0,0,0,583,157,6472,2137,8609,-0.0251716,0.0255415,-0.999357,0
5900,0,0,0,0,586,150,6636,2200,8836,-0.0141229,0.00663708,-0.999878,0
5833,0,0,0,0,572,145,6550,2170,8720,-0.00790307,0.0244878,-0.999669,0
5706,0,0,0,0,591,148,6445,2040,8485,-0.0196008,0.0243532,-0.999511,0
5872,0,0,0,0,604,217,6693,2067,8760,-0.0262266,0.0227064,-0.999398,0
5659,0,0,0,0,547,139,6345,2137,8482,-0.02581,0.0433361,-0.998727,0
5163,0,0,0,0,490,126,5779,2073,7852,-0.036392,0.0581527,-0.997644,0
5745,0,0,0,0,548,140,6433,3095,9528,-0.0181115,0.0416292,-0.998969,0
5705,0,0,0,0,572,142,6419,2439,8858,-0.0113825,0.0387288,-0.999185,0
5176,0,0,0,0,571,129,5876,1895,7771,-0.00456001,0.0170962,-0.999843,0
5639,0,0,0,0,552,139,6330,2216,8546,-0.011805,0.00615045,-0.999911,0
5675,0,0,0,0,616,150,6441,1956,8397,0.000524933,0.022915,-0.999737,0
5129,0,0,0,0,497,127,5753,1977,7730,-0.0117331,0.0209486,-0.999712,0
5716,0,0,0,0,560,143,6419,2203,8622,-0.00393654,0.0209566,-0.999773,0
5659,0,0,0,0,560,141,6360,2207,8567,-0.0108982,0.0298268,-0.999496,0
6432,0,0,0,0,649,160,7241,2594,9835,-0.021859,0.0175908,-0.999606,0
5737,0,0,0,0,575,142,6454,1431,7885,-0.0198216,0.0280515,-0.99941,0
2441,0,0,0,0,238,61,2740,828,3568,-0.0181152,0.0309005,-0.999358,0
2286,0,0,0,0,225,56,2567,844,3411,-0.0222432,0.0216862,-0.999517,0
5743,0,0,0,0,572,141,6456,2087,8543,-0.00310098,0.0277948,-0.999609,0
6103,0,0,0,0,558,168,6829,2235,9064,-0.01042,0.0256539,-0.999617,0
6280,0,0,0,0,602,143,7025,2208,9233,-0.00954539,0.0312654,-0.999466,0
6518,0,0,0,0,630,160,7308,2280,9588,-0.0090588,0.0454736,-0.998924,0
6148,0,0,0,0,597,146,6891,2208,9099,-0.00245685,0.0730502,-0.997325,0
6770,0,0,0,0,647,166,7583,2260,9843,0.00168173,0.0342434,-0.999412,0
6815,0,0,0,0,722,226,7763,2167,9930,-0.0163412,0.00666303,-0.999844,0
6180,0,0,0,0,605,151,6936,1944,8880,-0.0199083,0.000685201,-0.999802,0
4025,0,0,0,0,445,109,4579,1478,6057,-0.00442943,0.0155437,-0.999869,0
6436,0,0,0,0,646,161,7243,2120,9363,-0.0116049,0.00402887,-0.999925,0
6305,0,0,0,0,727,169,7201,2095,9296,-0.0331364,0.00885716,-0.999412,0
6822,0,0,0,0,810,192,7824,2296,10120,-0.0194729,0.000102586,-0.99981,0
6947,0,0,0,0,718,190,7855,2224,10079,-0.0149616,-0.00189103,-0.999886,0
6924,0,0,0,0,730,173,7827,2278,10105,-0.0353425,-0.0138838,-0.999279,0
6079,0,0,0,0,721,176,6976,2324,9300,0.00878206,0.0142852,-0.999859,0
6116,0,0,0,0,716,194,7026,2073,9099,0.00319753,0.0236025,-0.999716,0
6084,0,0,0,0,765,178,7027,2077,9104,-0.0169659,0.0234379,-0.999581,0
6096,0,0,0,0,706,170,6972,2176,9148,-0.031463,0.00831926,-0.99947,0
6262,0,0,0,0,728,170,7160,2147,9307,-0.0167645,0.0103109,-0.999806,0
4099,0,0,0,0,481,115,4695,1452,6147,-0.0210861,0.0391284,-0.999012,0
6120,0,0,0,0,684,164,6968,2082,9050,-0.0143301,0.0208832,-0.999679,0
5859,0,0,0,0,628,157,6644,1979,8623,0.00232336,0.0398701,-0.999202,0
6674,0,0,0,0,695,187,7556,2269,9825,-0.0157586,0.0270019,-0.999511,0
6576,0,0,0,0,745,172,7493,2364,9857,-0.0132926,0.0423372,-0.999015,0
3048,0,0,0,0,309,75,3432,862,4294,-0.0265667,0.030571,-0.999179,0
3200,0,0,0,0,325,80,3605,1174,4779,-0.0190447,0.0318393,-0.999312,0
5636,0,0,0,0,567,142,6345,2167,8512,-0.0381915,0.0297417,-0.998828,0
6551,0,0,0,0,622,156,7329,4525,11854,-0.0341869,0.0456579,-0.998372,0
3721,0,0,0,0,289,71,4081,2007,6088,0.0188196,0.0507427,-0.998534,0
2333,0,0,0,0,227,56,2616,888,3504,0.0389687,0.0654499,-0.997095,0
6321,0,0,0,0,515,132,6968,2301,9269,0.00461927,0.0408458,-0.999155,0
6061,0,0,0,0,554,132,6747,2095,8842,-0.00214954,0.0183177,-0.99983,0
5810,0,0,0,0,509,128,6447,2169,8616,0.0141238,0.0141817,-0.9998,0
6424,0,0,0,0,611,143,7178,2186,9364,0.00947751,0.0168403,-0.999813,0
6016,0,0,0,0,539,148,6703,1899,8602,0.0187985,0.0279646,-0.999432,0
3798,0,0,0,0,349,86,4233,1575,5808,0.020527,0.0246025,-0.999487,0
6367,0,0,0,0,610,144,7121,2404,9525,0.00678894,0.0212173,-0.999752,0
6299,0,0,0,0,568,139,7006,2481,9487,0.005204,0.0225737,-0.999732,0
6378,0,0,0,0,598,148,7124,2313,9437,0.00134441,0.0147528,-0.99989,0
6270,0,0,0,0,591,143,7004,2333,9337,0.00948752,0.0209165,-0.999736,0
6808,0,0,0,0,612,148,7568,2271,9839,0.0166831,0.0149114,-0.99975,0
6530,0,0,0,0,613,144,7287,1607,8894,0.0106722,0.0284221,-0.999539,0
4300,0,0,0,0,563,129,4992,1789,6781,0.0126865,0.0320477,-0.999406,0
6400,0,0,0,0,572,145,7117,2367,9484,0.012808,0.0162687,-0.999786,0
6445,0,0,0,0,846,207,7498,1612,9110,0.00958785,0.028503,-0.999548,0
4187,0,0,0,0,400,115,4702,1630,6332,0.0193577,0.0647813,-0.997712,0
7162,0,0,0,0,877,200,8239,3887,12126,0.0119309,0.0533845,-0.998503,0
3270,0,0,0,0,284,69,3623,1010,4633,0.0303662,0.0297351,-0.999096,0
2160,0,0,0,0,192,50,2402,660,3062,0.0108917,0.0264056,-0.999592,0
2165,0,0,0,0,200,50,2415,814,3229,0.0124647,0.0242782,-0.999628,0
6045,0,0,0,0,558,131,6734,2115,8849,0.00912255,0.0053721,-0.999944,0
5628,0,0,0,0,516,131,6275,2022,8297,0.0178519,0.031019,-0.999359,0
5458,0,0,0,0,531,146,6135,2141,8276,0.0225619,0.0475371,-0.998615,0
5616,0,0,0,0,517,130,6263,2052,8315,0.016406,0.00685568,-0.999842,0
5564,0,0,0,0,516,130,6210,2158,8368,0.00708496,0.0198602,-0.999778,0
5671,0,0,0,0,520,130,6321,2148,8469,0.0170624,0.0144833,-0.99975,0
6146,0,0,0,0,564,150,6860,2073,8933,0.00695466,0.0277272,-0.999591,0
3924,0,0,0,0,356,89,4369,1493,5862,0.0169365,0.0193126,-0.99967,0
5690,0,0,0,0,516,129,6335,2109,8444,0.0194099,0.0476225,-0.998677,0
6305,0,0,0,0,533,130,6968,2067,9035,0.0202632,0.0394111,-0.999018,0
5436,0,0,0,0,517,127,6080,2216,8296,0.014821,0.0232665,-0.999619,0
5176,0,0,0,0,460,116,5752,1836,7588,0.00369055,0.0189613,-0.999813,0
5885,0,0,0,0,551,140,6576,1986,8562,0.00187622,0.0247084,-0.999693,0
