Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5259,0,338,463,3766,114,287,10227,2815,13042,0.0275012,0.0155553,-0.999501,0
5716,0,333,465,3621,84,251,10470,1981,12451,0.0547368,-0.00494667,-0.998489,0
3525,0,256,329,2469,35,181,6795,2719,9514,0.0256811,-0.00154185,-0.999669,0
2903,0,177,214,2042,30,134,5500,1418,6918,0.00975598,0.0168634,-0.99981,0
5259,0,315,452,3527,65,276,9894,2244,12138,0.0170436,0.00446647,-0.999845,0
3704,0,356,381,2444,43,172,7100,1850,8950,0.0306544,-0.00491226,-0.999518,0
3496,0,265,316,2501,49,163,6790,1951,8741,0.0456823,-0.00142815,-0.998955,0
3629,0,250,425,2522,47,168,7041,1937,8978,0.0296456,-0.00824868,-0.999526,0
3953,0,248,372,2467,51,166,7257,1923,9180,0.0229361,-0.00160195,-0.999736,0
4601,0,288,393,3216,60,218,8776,2391,11167,0.0159889,-0.000580134,-0.999872,0
3965,0,231,321,2308,32,148,7005,1599,8604,0.0217381,0.0197965,-0.999568,0
3315,0,237,269,2233,46,155,6255,1841,8096,0.0317304,0.00231194,-0.999494,0
3415,0,235,278,2277,39,172,6416,1729,8145,0.0288536,0.00687781,-0.99956,0
5516,0,317,477,3579,56,265,10210,1945,12155,0.0496467,0.00256962,-0.998764,0
3552,0,217,294,2375,43,165,6646,1813,8459,0.0184279,0.00300953,-0.999826,0
5039,0,282,365,3153,48,207,9094,2413,11507,0.0201848,0.0104586,-0.999742,0
4714,0,283,368,3072,47,234,8718,2143,10861,0.0512113,0.00855095,-0.998651,0
2636,0,160,201,1984,31,140,5152,1472,6624,0.0195679,-0.0103841,-0.999755,0
3700,0,340,424,2596,54,167,7281,1943,9224,0.057311,0.00763694,-0.998327,0
3901,0,247,319,2547,46,181,7241,1717,8958,0.018248,0.0103075,-0.99978,0
2439,0,152,187,1466,25,114,4383,856,5239,0.0321311,-0.00714638,-0.999458,0
2063,0,123,156,1388,19,89,3838,1001,4839,0.0289202,0.0108195,-0.999523,0
5558,0,491,633,3453,52,231,10418,2607,13025,0.0255829,-0.00566092,-0.999657,0
5344,0,315,404,3479,79,241,9862,1868,11730,0.0246046,0.00293108,-0.999693,0
5426,0,347,475,3500,64,241,10053,1787,11840,0.0251399,0.0036262,-0.999677,0
5248,0,322,427,3461,91,240,9789,2838,12627,0.0146533,0.0207065,-0.999678,0
3325,0,166,220,1824,28,101,5664,1171,6835,0.0383382,0.00112811,-0.999264,0
1800,0,100,129,1057,21,72,3179,803,3982,0.0210567,0.0115953,-0.999711,0
5428,0,314,412,3487,99,279,10019,2783,12802,0.00531578,0.0104032,-0.999932,0
5418,0,370,477,3571,57,266,10159,2084,12243,0.0024203,0.00583467,-0.99998,0
3629,0,251,314,2449,46,185,6874,1761,8635,0.00648505,0.000679376,-0.999979,0
5506,0,317,419,3417,70,227,9956,2498,12454,0.0101403,0.00892103,-0.999909,0
5536,0,317,492,2631,37,184,9197,1636,10833,0.0381555,0.00848134,-0.999236,0
2246,0,136,182,1497,31,99,4191,1187,5378,0.034697,0.00331665,-0.999392,0
5505,0,381,523,3635,88,251,10383,3006,13389,0.068369,-0.0163633,-0.997526,0
5359,0,312,413,2410,34,158,8686,1362,10048,0.00133771,0.00257582,-0.999996,0
5748,0,310,407,3437,103,227,10232,1793,12025,0.0262706,0.00836592,-0.99962,0
2840,0,165,214,1832,28,118,5197,1163,6360,0.0377258,0.0132867,-0.9992,0
1864,0,131,157,1255,18,106,3531,836,4367,0.0135247,0.000251598,-0.999909,0
6029,0,313,422,3569,73,239,10645,2533,13178,0.00767003,-0.00752127,-0.999942,0
3189,0,163,241,1815,33,129,5570,1254,6824,0.0211225,0.00852914,-0.999741,0
1887,0,110,147,1235,24,83,3486,975,4461,0.0450337,-0.00455091,-0.998975,0
4784,0,379,422,3199,53,247,9084,2381,11465,0.0115246,0.0117028,-0.999865,0
4710,0,337,445,3064,78,231,8865,2438,11303,0.0158763,0.00925885,-0.999831,0
4896,0,328,400,3080,50,239,8993,2202,11195,0.00694372,0.0154534,-0.999856,0
3366,0,233,280,2191,35,170,6275,1735,8010,0.0221428,0.00558254,-0.999739,0
5229,0,366,448,3508,49,268,9868,2593,12461,0.0381947,0.012501,-0.999192,0
3626,0,252,301,2432,36,183,6830,1916,8746,0.0239365,-0.0133994,-0.999624,0
