Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
4955,0,344,402,3467,64,228,9460,3085,12545,-0.0444806,0.0311618,-0.998524,0
3819,0,239,265,2368,26,152,6869,1965,8834,-0.0141067,0.0282742,-0.999501,0
4220,0,282,340,2967,34,194,8037,2874,10911,-0.00861079,0.017245,-0.999814,0
4727,0,299,409,3360,41,218,9054,3197,12251,-0.0144166,-0.00890361,-0.999856,0
4915,0,300,377,3632,48,289,9561,2122,11683,-0.01304,0.00925186,-0.999872,0
2537,0,160,225,1728,21,129,4800,1405,6205,-0.0165994,0.0306168,-0.999393,0
4704,0,299,377,3267,37,214,8898,2732,11630,-0.0173398,0.0339652,-0.999273,0
4708,0,312,377,3179,37,233,8846,2888,11734,-0.01767,-0.00347511,-0.999838,0
4767,0,345,376,3183,36,212,8919,2533,11452,0.0056956,0.0372487,-0.99929,0
4322,0,421,491,3472,35,209,8950,2935,11885,-0.0303228,0.0472669,-0.998422,0
4422,0,270,345,2945,33,195,8210,1832,10042,-0.00894583,0.0309006,-0.999482,0
3100,0,192,241,2107,24,139,5803,1801,7604,-0.0035652,0.0215776,-0.999761,0
4645,0,303,364,3204,43,213,8772,3235,12007,-0.0185597,0.0195179,-0.999637,0
3676,0,208,263,2276,25,149,6597,1887,8484,-0.0267107,-0.0083336,-0.999608,0
5895,0,337,465,3822,43,244,10806,3179,13985,-0.0291193,0.00726618,-0.99955,0
3849,0,206,258,2297,27,151,6788,1783,8571,-0.0310094,-0.00234614,-0.999516,0
1941,0,170,213,1616,18,90,4048,1062,5110,0.0159141,-0.00346076,-0.999867,0
2145,0,135,169,1463,16,96,4024,1382,5406,-0.0335191,0.00576668,-0.999421,0
5025,0,303,381,3313,38,224,9284,3166,12450,-0.0177523,0.0280788,-0.999448,0
4691,0,337,378,3287,40,217,8950,2227,11177,-0.0185881,0.000186617,-0.999827,0
4942,0,300,383,3355,37,258,9275,3131,12406,0.00503075,0.0425791,-0.99908,0
4795,0,348,413,3266,37,216,9075,2249,11324,-0.027608,0.00425089,-0.99961,0
2500,0,127,158,1613,21,100,4519,1208,5727,-0.021969,0.0149099,-0.999647,0
1446,0,93,115,995,11,66,2726,900,3626,-0.0164405,-0.0018991,-0.999863,0
4700,0,310,377,3728,40,233,9388,3004,12392,0.00989995,0.00370584,-0.999944,0
4709,0,299,376,3189,38,214,8825,2671,11496,-0.0165754,0.0277595,-0.999477,0
3601,0,283,353,2254,26,149,6666,2089,8755,-0.0260871,0.00307091,-0.999655,0
4651,0,298,375,3208,46,211,8789,2678,11467,-0.0176426,0.0189145,-0.999665,0
5523,0,302,380,3193,37,215,9650,2215,11865,0.00272379,0.0387453,-0.999245,0
2481,0,162,197,1657,20,111,4628,1997,6625,-0.0263949,0.000854123,-0.999651,0
4701,0,299,374,3302,37,217,8930,3030,11960,-0.0180332,0.00489136,-0.999825,0
4788,0,299,384,3275,59,218,9023,3477,12500,-0.01611,0.0325224,-0.999341,0
3241,0,158,217,1663,21,114,5414,1259,6673,-0.0329928,0.0547823,-0.997953,0
2882,0,179,224,1917,23,128,5353,1736,7089,0.00669375,0.0189228,-0.999799,0
4984,0,349,382,3234,37,214,9200,3418,12618,-0.013488,-0.00238632,-0.999906,0
4465,0,215,259,2258,26,148,7371,1710,9081,-0.0325045,0.00591528,-0.999454,0
2017,0,128,163,1394,16,90,3808,1327,5135,-0.0293914,0.00895014,-0.999528,0
4670,0,296,373,3228,46,271,8884,2699,11583,-0.0124843,0.000245319,-0.999922,0
4722,0,296,377,3182,40,211,8828,2546,11374,-0.00263185,0.0393725,-0.999221,0
4380,0,268,338,2885,33,189,8093,2715,10808,-0.0135977,0.0186055,-0.999734,0
5280,0,302,398,3497,39,219,9735,2582,12317,-0.0197476,0.0190491,-0.999624,0
4318,0,292,340,2843,32,190,8015,2547,10562,-0.00732835,0.0309211,-0.999495,0
4724,0,300,421,3668,39,219,9371,4020,13391,-0.0271494,-0.00708814,-0.999606,0
4673,0,298,370,3197,39,213,8790,3113,11903,-0.00743267,0.020048,-0.999771,0
4353,0,269,339,2961,35,190,8147,3190,11337,0.00391706,0.0301095,-0.999539,0
4158,0,267,334,2928,35,193,7915,2730,10645,-0.002098,-0.0034567,-0.999992,0
4396,0,328,346,2876,46,204,8196,2579,10775,-0.00472408,0.0468154,-0.998892,0
4835,0,317,435,3230,39,259,9115,3129,12244,-0.0162592,0.0355859,-0.999234,0
4826,0,336,385,3375,37,238,9197,2662,11859,-0.0153267,0.0203055,-0.999676,0
4904,0,300,388,3503,39,220,9354,2895,12249,0.00588915,0.0247645,-0.999676,0
5203,0,299,385,3036,28,150,9101,1997,11098,-0.0228286,0.0201105,-0.999537,0
2284,0,127,160,1345,16,89,4021,1180,5201,0.00075656,0.0340601,-0.99942,0
1912,0,118,158,1251,15,83,3537,1297,4834,-0.0190585,0.00543821,-0.999804,0
4842,0,300,402,3565,38,219,9366,2897,12263,-0.0236596,0.0228586,-0.999459,0
4778,0,299,375,3317,39,220,9028,2722,11750,0.00106562,0.029728,-0.999557,0
4705,0,320,379,3250,38,252,8944,2679,11623,-0.0160327,0.0128178,-0.999789,0
4489,0,210,260,2241,26,148,7374,1632,9006,-0.019066,0.0294756,-0.999384,0
2048,0,129,160,1753,17,95,4202,1192,5394,-0.0249884,0.0327679,-0.999151,0
4878,0,299,432,3379,45,243,9276,3540,12816,-0.0063057,0.0176194,-0.999825,0
7546,0,475,618,3656,39,222,12556,2199,14755,-0.0273582,0.0121376,-0.999552,0
2539,0,160,201,1741,21,115,4777,1720,6497,-0.0179936,0.00945087,-0.999793,0
4680,0,301,378,3274,37,218,8888,2651,11539,-0.0206485,0.0260587,-0.999447,0
5615,0,299,375,3223,39,211,9762,2913,12675,-0.0209919,0.0202071,-0.999575,0
4717,0,301,374,3269,36,217,8914,2929,11843,0.0109599,0.0284879,-0.999534,0
3581,0,305,337,2284,26,150,6683,1904,8587,-0.020354,0.0162539,-0.999661,0
4681,0,300,428,3873,40,221,9543,3196,12739,0.00286036,0.0323604,-0.999472,0
4745,0,301,375,3302,37,217,8977,3049,12026,-0.0332962,0.00666631,-0.999423,0
4671,0,298,396,3213,36,210,8824,3549,12373,0.0286403,0.049241,-0.998376,0
4777,0,300,381,3331,41,217,9047,2747,11794,-0.00741889,0.0320349,-0.999459,0
2497,0,159,197,1875,28,138,4894,1814,6708,-0.00872048,0.0454266,-0.99893,0
4724,0,300,378,3193,44,214,8853,2777,11630,-0.0187423,0.0197786,-0.999629,0
4674,0,301,375,3243,37,215,8845,3243,12088,-0.023052,0.0124782,-0.999656,0
5628,0,302,384,3281,38,216,9849,3050,12899,-0.0200962,-0.00767942,-0.999769,0
3390,0,209,261,2298,26,151,6335,2286,8621,-0.009381,0.0155078,-0.999836,0
4888,0,302,380,3254,37,216,9077,2495,11572,-0.0182091,0.0222873,-0.999586,0
5071,0,302,422,3323,38,219,9375,2986,12361,0.00369303,0.0291931,-0.999567,0
3269,0,208,258,2200,26,147,6108,2124,8232,-0.0262875,0.0221801,-0.999408,0
5855,0,318,383,3164,40,213,9973,3234,13207,0.0151652,0.0258375,-0.999551,0
7018,0,468,392,3388,38,221,11525,2381,13906,-0.011068,0.0128532,-0.999856,0
2479,0,160,199,2031,21,116,5006,1573,6579,-0.0172991,0.0119563,-0.999779,0
5008,0,470,492,3474,40,222,9706,2867,12573,-0.0296248,0.00230092,-0.999558,0
4905,0,303,379,3382,37,219,9225,3190,12415,-0.013385,0.0156652,-0.999788,0
3225,0,211,264,2375,27,154,6256,2341,8597,-0.0248939,0.00784925,-0.999659,0
4868,0,299,375,3262,39,236,9079,3216,12295,-0.0252268,0.041708,-0.998811,0
3767,0,208,307,2226,28,183,6719,2099,8818,-0.0148652,0.0425767,-0.998983,0
4799,0,298,408,3134,40,212,8891,2628,11519,-0.0110136,0.0377805,-0.999225,0
4741,0,298,424,3292,38,215,9008,3031,12039,-0.0180806,0.0296586,-0.999397,0
4828,0,305,379,3294,36,223,9065,2732,11797,-0.0106503,0.0338937,-0.999369,0
4709,0,299,374,3223,38,218,8861,3423,12284,0.000824711,0.0283534,-0.999598,0
4867,0,304,386,3872,42,240,9711,3239,12950,-0.0226307,0.0148092,-0.999634,0
3333,0,216,281,2247,25,148,6250,1978,8228,-0.00967825,0.0220666,-0.99971,0
4727,0,303,398,3308,38,221,8995,2577,11572,-0.00680426,0.019834,-0.99978,0
4758,0,305,380,3291,37,218,8989,3346,12335,-0.0226511,-0.00355805,-0.999737,0
4772,0,306,389,3321,39,225,9052,2798,11850,-0.0147093,0.00635552,-0.999872,0
4210,0,280,350,3055,32,218,8145,2503,10648,-0.00711812,0.0251476,-0.999658,0
4890,0,316,403,3493,39,224,9365,3309,12674,-0.013953,0.02719,-0.999533,0
4787,0,326,413,3671,39,237,9473,2682,12155,-0.0108347,0.0243711,-0.999644,0
4448,0,314,379,3228,34,217,8620,2722,11342,-0.0187949,0.0100237,-0.999773,0
4742,0,320,401,3504,36,231,9234,2393,11627,-0.0175636,0.0347808,-0.999241,0
4437,0,221,294,2377,25,157,7511,1316,8827,-0.00375097,0.00841129,-0.999958,0
2872,0,190,239,2067,23,134,5525,1489,7014,-0.0104912,0.0113909,-0.99988,0
4258,0,287,355,3120,33,203,8256,2564,10820,-0.0162195,0.0187457,-0.999693,0
4846,0,322,404,3599,38,233,9442,2811,12253,-0.0178592,-0.0124597,-0.999763,0
5241,0,371,416,3722,56,269,10075,3434,13509,0.00555531,0.034099,-0.999403,0
3396,0,222,279,2423,26,158,6504,2084,8588,-0.0174176,0.018202,-0.999683,0
4733,0,327,405,3582,38,226,9311,2358,11669,0.00126778,0.0309205,-0.999521,0
4655,0,321,396,3711,41,233,9357,2892,12249,0.00174515,0.0647338,-0.997901,0
3053,0,204,256,2172,25,144,5854,2086,7940,-0.0299818,0.0430273,-0.998624,0
4930,0,330,439,3441,38,229,9407,3080,12487,-0.0219099,0.0521168,-0.998401,0
4888,0,321,402,3649,39,232,9531,2627,12158,-0.00992617,0.0154848,-0.999831,0
5609,0,319,399,3369,36,224,9956,3087,13043,-0.014471,0.0155674,-0.999774,0
4565,0,287,359,3151,33,208,8603,2339,10942,-0.00215803,0.0115915,-0.99993,0
4299,0,286,355,3060,34,201,8235,2448,10683,-0.0226708,0.024794,-0.999435,0
5038,0,287,426,3108,33,202,9094,2843,11937,-0.0142664,0.0504705,-0.998624,0
4186,0,286,354,3114,32,203,8175,2652,10827,-0.0138456,0.0146913,-0.999796,0
5618,0,315,394,3374,38,225,9964,2800,12764,-0.0184493,0.0409648,-0.99899,0
4900,0,313,394,3527,39,228,9401,2927,12328,-0.0254086,0.00175039,-0.999676,0
4821,0,320,435,4098,39,231,9944,3398,13342,-0.0314471,0.0441418,-0.99853,0
5220,0,322,396,3417,37,228,9620,2227,11847,-0.0166794,-0.00620547,-0.999842,0
2488,0,135,184,1503,15,96,4421,1437,5858,-0.00185651,0.0087295,-0.99996,0
1651,0,109,136,1173,13,77,3159,1049,4208,-0.0139073,0.0321273,-0.999387,0
4817,0,435,454,3080,33,202,9021,2819,11840,-0.016619,0.0203251,-0.999655,0
