Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6271,0,202,277,2149,106,158,9163,20542,29705,-0.00487553,0.0137737,-0.999893,0
2110,0,62,80,624,16,45,2937,4282,7219,-0.00313113,0.110537,-0.993867,0
1698,0,58,74,575,16,42,2463,2907,5370,-0.0183937,0.0227786,-0.999571,0
5197,0,226,252,1845,47,136,7703,9284,16987,-0.0465549,0.0778879,-0.995875,0
5936,0,200,256,2009,48,147,8596,9979,18575,-0.0222727,-0.0038477,-0.999745,0
2485,0,86,109,872,21,63,3636,5688,9324,0.0412249,0.0593844,-0.997384,0
3324,0,114,148,1179,31,86,4882,7964,12846,-0.0393172,0.0124378,-0.999149,0
4045,0,173,181,1384,46,101,5930,9905,15835,-0.00405386,0.130235,-0.991475,0
3202,0,111,166,1057,25,77,4638,8576,13214,-0.0107545,0.0289912,-0.999522,0
3162,0,106,135,1058,25,79,4565,7263,11828,-0.00271834,-0.0203714,-0.999789,0
6738,0,277,301,2361,87,193,9957,7476,17433,-0.0203561,0.140233,-0.989909,0
2534,0,74,94,719,18,53,3492,3510,7002,-0.0244154,0.073299,-0.997011,0
1592,0,52,67,526,13,38,2288,4419,6707,-0.0325136,0.0804629,-0.996227,0
1879,0,65,84,646,16,47,2737,4043,6780,-0.0637903,0.0675238,-0.995676,0
6110,0,203,263,2079,71,153,8879,9651,18530,-0.0978104,0.158348,-0.982527,0
3203,0,108,139,1068,27,78,4623,5881,10504,-0.128815,0.0437917,-0.990701,0
6290,0,243,267,2096,52,151,9099,7516,16615,-0.0195823,0.0280064,-0.999416,0
2555,0,88,148,902,21,65,3779,4347,8126,-0.0804188,0.0557839,-0.995199,0
3557,0,121,157,1254,31,91,5211,9462,14673,-0.11607,0.0849865,-0.989598,0
2773,0,94,121,961,23,70,4042,6171,10213,-0.112576,0.0147053,-0.993534,0
5807,0,181,233,1840,68,137,8266,9812,18078,-0.0287406,0.0279164,-0.999197,0
2437,0,82,112,827,20,61,3539,3951,7490,-0.0138817,0.0827496,-0.996474,0
5424,0,182,235,1836,44,137,7858,11154,19012,0.0128037,0.084222,-0.996365,0
3759,0,130,164,1295,32,94,5474,9221,14695,0.0189639,0.014922,-0.999709,0
2045,0,72,89,696,19,50,2971,4814,7785,-0.0408103,0.0578618,-0.99749,0
4786,0,169,209,1614,42,119,6939,12551,19490,-0.0161279,0.0229516,-0.999606,0
3720,0,121,158,1201,36,127,5363,7993,13356,-0.0594546,0.0977889,-0.99343,0
2788,0,95,122,970,23,70,4068,5843,9911,-0.0143926,0.0509793,-0.998596,0
4288,0,140,202,1374,34,124,6162,6805,12967,-0.051173,0.0602949,-0.996868,0
4706,0,139,179,1375,32,101,6532,5118,11650,-0.00788909,0.0967663,-0.995276,0
5894,0,204,262,2114,54,155,8683,9099,17782,-0.0181453,0.0774578,-0.99683,0
2482,0,86,112,898,26,89,3693,7214,10907,-0.0200694,0.0854946,-0.996136,0
2467,0,82,106,814,20,59,3548,5681,9229,-0.127006,0.0321978,-0.991379,0
5285,0,181,228,1804,50,146,7694,11379,19073,0.0158382,-0.00214203,-0.999872,0
3269,0,102,132,1011,24,73,4611,8700,13311,-0.008047,0.0125767,-0.999889,0
3551,0,122,156,1202,31,104,5166,7491,12657,-0.0458584,0.030748,-0.998475,0
4348,0,152,228,1482,38,109,6357,14401,20758,-0.00995185,0.0175846,-0.999796,0
2217,0,78,97,758,18,55,3223,5019,8242,-0.061543,0.0276195,-0.997722,0
3521,0,120,154,1222,31,90,5138,6452,11590,-0.0526412,0.0568288,-0.996995,0
5943,0,204,261,2055,51,148,8662,11966,20628,-0.0309563,0.094818,-0.995013,0
2494,0,86,109,896,23,65,3673,6534,10207,-0.0140384,0.0512018,-0.99859,0
3510,0,121,155,1213,44,88,5131,9678,14809,-0.0394767,0.0304222,-0.998757,0
4954,0,196,206,1574,43,114,7087,9997,17084,0.0377456,0.0682975,-0.996951,0
3298,0,113,145,1110,26,81,4773,8660,13433,-0.0274923,0.0421522,-0.998733,0
6025,0,201,264,2013,47,148,8698,11255,19953,-0.0263206,0.0621123,-0.997722,0
2528,0,86,110,892,21,64,3701,6325,10026,-0.0373557,0.0811051,-0.996005,0
3477,0,114,144,1164,30,85,5014,8244,13258,-0.00346836,0.0954655,-0.995427,0
4106,0,138,180,1351,35,100,5910,9816,15726,-0.0459968,0.0837603,-0.995424,0
6012,0,329,430,2474,77,154,9476,9876,19352,0.00024059,0.0882658,-0.996097,0
2521,0,85,110,855,20,63,3654,4993,8647,-0.00374878,0.00835279,-0.999958,0
2876,0,96,124,961,23,82,4162,9525,13687,0.0118016,0.00879268,-0.999892,0
2875,0,95,123,953,21,70,4137,5489,9626,-0.0397187,0.0637565,-0.997175,0
5825,0,180,253,1832,66,181,8337,10569,18906,-0.0558799,0.134927,-0.989279,0
2970,0,101,130,1036,24,90,4351,6381,10732,0.00261007,0.0198576,-0.999799,0
4847,0,196,253,1608,36,116,7056,6399,13455,-0.0769461,0.0569623,-0.995407,0
4374,0,153,200,1589,38,112,6466,9677,16143,-0.108036,0.0281268,-0.993749,0
2631,0,90,115,894,24,65,3819,3540,7359,-0.0367374,0.0705496,-0.996832,0
5865,0,201,255,1999,48,146,8514,11911,20425,-0.0058373,0.00977444,-0.999935,0
2494,0,86,110,855,22,62,3629,9697,13326,-0.00363443,0.00784117,-0.999963,0
6717,0,201,260,1985,49,148,9360,12377,21737,-0.030613,0.0758595,-0.996648,0
2534,0,87,111,875,20,64,3691,8540,12231,-0.0035074,-0.0300023,-0.999544,0
2943,0,100,129,999,24,75,4270,6105,10375,-0.0736683,0.0513428,-0.99596,0
5271,0,154,198,1508,35,112,7278,12565,19843,-0.0147936,0.041093,-0.999046,0
3269,0,114,145,1146,28,83,4785,5284,10069,-0.00477936,0.0159574,-0.999861,0
5454,0,222,267,1843,45,136,7967,11416,19383,-0.0126907,0.12601,-0.991948,0
2100,0,69,89,678,18,50,3004,5747,8751,-0.0188944,0.0762205,-0.996912,0
2914,0,101,128,988,25,72,4228,7562,11790,-0.0812125,0.0624328,-0.99474,0
6520,0,201,259,2020,50,148,9198,10966,20164,-0.0103928,-0.00939949,-0.999902,0
2930,0,100,129,1014,23,75,4271,4825,9096,-0.0728699,0.0537431,-0.995892,0
6074,0,217,262,1994,50,146,8743,7734,16477,-0.0230444,0.0767543,-0.996784,0
3642,0,107,139,1066,28,78,5060,6978,12038,-0.0539994,0.0806031,-0.995282,0
3791,0,130,166,1306,33,96,5522,7051,12573,-0.0849781,0.153665,-0.984462,0
4748,0,166,211,1644,43,121,6933,10187,17120,-0.0187954,0.059757,-0.998036,0
2763,0,95,122,960,23,69,4032,6647,10679,-0.0594269,0.0534841,-0.996799,0
3789,0,130,166,1318,35,102,5540,7941,13481,0.0137014,0.0840348,-0.996369,0
4812,0,163,221,1631,37,120,6984,13614,20598,-0.0230451,0.0782363,-0.996668,0
2781,0,95,121,944,22,70,4033,6422,10455,-0.135928,0.0194996,-0.990527,0
5361,0,180,229,1815,50,133,7768,10141,17909,-0.0469138,0.071852,-0.996311,0
3798,0,129,177,1303,31,95,5533,8943,14476,-0.0841659,0.0554876,-0.994906,0
3509,0,120,153,1192,28,89,5091,8472,13563,-0.0164892,0.0597347,-0.998078,0
5976,0,226,262,2062,51,151,8728,8471,17199,-0.0373475,0.108456,-0.993399,0
3124,0,118,147,1063,27,79,4558,9087,13645,-0.00695317,-0.0209821,-0.999756,0
3581,0,101,137,1019,26,74,4938,7231,12169,-0.0141963,0.0449699,-0.998887,0
3960,0,160,215,1284,32,92,5743,9584,15327,-0.0170327,0.0366094,-0.999184,0
3338,0,113,144,1124,27,83,4829,12184,17013,-0.0184732,0.0545477,-0.99834,0
3628,0,114,149,1151,29,85,5156,6538,11694,-0.0200088,0.027975,-0.999408,0
6217,0,203,261,2023,48,134,8886,8536,17422,-0.0144705,0.0440415,-0.998925,0
2900,0,100,129,995,24,74,4222,6711,10933,-0.110169,0.0330144,-0.993364,0
6406,0,203,267,2000,48,146,9070,10669,19739,-0.0224849,0.0646844,-0.997652,0
2912,0,101,128,1011,25,73,4250,9093,13343,-0.00576983,0.0570779,-0.998353,0
3589,0,113,146,1125,28,82,5083,8238,13321,-0.0445375,0.0372224,-0.998314,0
6201,0,181,236,1807,44,131,8600,11358,19958,0.000213628,0.0524316,-0.998624,0
2957,0,100,129,999,24,74,4283,5229,9512,0.00297957,0.110384,-0.993885,0
3835,0,112,145,1106,27,81,5306,7961,13267,-0.0193023,0.0230712,-0.999547,0
5375,0,182,235,1812,45,134,7783,11014,18797,-0.0340619,0.0918953,-0.995186,0
5750,0,169,178,1392,33,101,7623,5901,13524,-0.151264,0.155168,-0.976239,0
2551,0,86,118,853,22,63,3693,5096,8789,-0.0697265,0.0511675,-0.996253,0
4523,0,151,192,1488,36,110,6500,8897,15397,-0.0425174,0.060213,-0.99728,0
5894,0,216,260,2002,53,149,8574,11171,19745,-0.046694,0.0905399,-0.994798,0
2496,0,108,111,851,21,62,3649,6274,9923,0.00131916,0.0272132,-0.999629,0
5968,0,202,268,1998,48,149,8633,9358,17991,-0.0481464,0.103502,-0.993463,0
3108,0,106,137,1084,27,79,4541,6434,10975,-0.0645545,0.0378058,-0.997198,0
4461,0,150,197,1538,37,110,6493,8150,14643,-0.0123942,0.091153,-0.99576,0
4614,0,149,265,1486,38,110,6662,11903,18565,-0.00422822,0.0917178,-0.995776,0
2190,0,76,98,771,21,57,3213,3537,6750,-0.0696809,0.0613766,-0.995679,0
4294,0,122,162,1208,30,88,5904,7591,13495,-0.0248023,0.038178,-0.998963,0
6086,0,204,262,2045,56,156,8809,9833,18642,-0.0750103,0.0645344,-0.995092,0
2541,0,86,110,862,21,64,3684,2999,6683,-0.0215281,0.0842426,-0.996213,0
5907,0,201,281,1981,49,147,8566,15409,23975,-0.0411375,0.105175,-0.993602,0
2508,0,91,114,872,23,66,3674,4546,8220,-0.0133591,0.0575501,-0.998253,0
4185,0,138,177,1417,34,104,6055,14801,20856,0.00604323,0.119795,-0.99278,0
3152,0,128,136,1055,25,79,4575,6066,10641,-0.0461068,0.0421902,-0.998045,0
4494,0,149,193,1595,37,112,6580,16496,23076,-0.0690165,0.0446056,-0.996618,0
2610,0,91,135,901,21,66,3824,5318,9142,0.703294,0.0682306,-0.707617,0
6067,0,201,261,2011,46,173,8759,7060,15819,-0.0285132,0.0782902,-0.996523,0
3769,0,129,165,1289,32,94,5478,7731,13209,-0.022604,0.0502916,-0.998479,0
5689,0,180,229,1762,42,131,8033,9936,17969,-0.0581217,0.0770606,-0.995331,0
3914,0,129,166,1308,31,96,5644,8367,14011,-0.0446812,0.0969342,-0.994287,0
2987,0,95,122,939,23,68,4234,6814,11048,-0.0326449,0.0277531,-0.999082,0
4123,0,178,182,1365,35,131,6014,6844,12858,-0.0192313,0.0512883,-0.998499,0
5446,0,180,230,1838,56,144,7894,10734,18628,-0.105052,0.138095,-0.984832,0
2990,0,101,130,1031,25,75,4352,4583,8935,-0.0109957,0.0792033,-0.996798,0
3646,0,112,149,1133,26,84,5150,6995,12145,-0.113904,0.186765,-0.975779,0
5722,0,286,344,1850,43,138,8383,13053,21436,-0.0216149,0.0161108,-0.999637,0
2417,0,82,105,940,22,64,3630,6653,10283,0.00403083,0.0295732,-0.999554,0
2421,0,99,139,974,22,60,3715,5121,8836,-0.0234392,0.0975981,-0.99495,0
1571,0,53,68,536,15,40,2283,3909,6192,-0.104521,0.0292221,-0.994093,0
2300,0,56,83,552,14,52,3057,4538,7595,-0.00460042,0.0283771,-0.999587,0
5714,0,183,285,2037,45,138,8402,12706,21108,-0.00602323,0.0914037,-0.995796,0
6080,0,232,260,2019,50,151,8792,13316,22108,-0.0118237,0.0618574,-0.998015,0
2884,0,86,111,873,21,64,4039,5684,9723,-0.128708,0.165872,-0.977712,0
1841,0,62,78,594,13,40,2628,5245,7873,-0.121791,0.0306975,-0.992081,0
1505,0,51,67,521,14,42,2200,4711,6911,-0.0370516,0.068695,-0.996949,0
2623,0,99,126,989,25,72,3934,8513,12447,-0.0165374,0.0264349,-0.999514,0
6052,0,201,257,2064,51,136,8761,7194,15955,-0.00160881,0.0349491,-0.999388,0
2961,0,101,129,1011,25,76,4303,7255,11558,-0.00685237,-0.01886,-0.999799,0
4403,0,152,282,1559,57,115,6568,10130,16698,-0.0148277,0.0711586,-0.997355,0
3449,0,114,148,1131,30,83,4955,5946,10901,-0.0468766,0.0823398,-0.995501,0
6127,0,201,259,1999,50,151,8787,9408,18195,-0.0293645,0.0877033,-0.995714,0
2589,0,85,110,858,21,64,3727,5135,8862,-0.0386093,0.0137485,-0.99916,0
5729,0,183,277,1895,43,133,8260,9343,17603,-0.0592928,0.0665894,-0.996017,0
2963,0,101,128,1017,28,75,4312,6061,10373,-0.0379383,0.0520251,-0.997925,0
6121,0,203,262,2024,52,148,8810,11020,19830,-0.0500107,0.0645433,-0.996661,0
3054,0,83,106,837,22,61,4163,3287,7450,-0.00383595,0.0447083,-0.998993,0
1771,0,60,78,606,16,44,2575,3504,6079,0.0046333,0.035369,-0.999364,0
1860,0,62,80,613,17,45,2677,4187,6864,-0.00446252,0.0912224,-0.995821,0
6190,0,201,262,2005,47,186,8891,10770,19661,-0.0342051,0.0827476,-0.995983,0
3820,0,130,167,1311,34,95,5557,7733,13290,-0.00641073,0.136029,-0.990684,0
2863,0,95,122,933,23,69,4105,7271,11376,-0.112793,0.156113,-0.981278,0
3335,0,113,146,1112,27,82,4815,7984,12799,0.695658,0.0808786,-0.713806,0
4163,0,140,193,1452,33,105,6086,6411,12497,0.696428,0.0701612,-0.714188,0
4129,0,140,210,1440,32,105,6056,10026,16082,0.702686,0.0794288,-0.707053,0
2132,0,72,91,712,15,52,3074,5711,8785,0.687771,0.0655163,-0.722965,0
3674,0,113,146,1109,25,82,5149,7472,12621,-0.0186778,0.0943177,-0.995367,0
5501,0,182,236,1840,46,135,7940,9407,17347,-0.00981522,0.0936926,-0.995553,0
2915,0,100,129,982,24,72,4222,3751,7973,-0.0214577,0.0801214,-0.996554,0
6290,0,315,346,2252,81,152,9436,14384,23820,-0.0745168,0.0589406,-0.995476,0
2574,0,86,110,825,17,53,3665,4556,8221,-0.130102,0.00599002,-0.991483,0
1682,0,54,69,542,13,39,2399,3380,5779,-0.0195627,0.0523458,-0.998437,0
1425,0,47,62,472,13,34,2053,4195,6248,0.00204941,0.00359956,-0.999991,0
3319,0,120,175,1178,29,87,4908,6876,11784,-0.0202559,0.0949882,-0.995272,0
5632,0,201,284,1944,43,131,8235,9391,17626,-0.00695382,0.101611,-0.9948,0
2370,0,81,104,806,18,60,3439,6499,9938,-0.079348,0.0588087,-0.995111,0
4071,0,137,183,1382,33,101,5907,7496,13403,-0.0148208,0.08023,-0.996666,0
5852,0,199,256,1977,66,149,8499,8709,17208,-0.0736075,0.112289,-0.990946,0
2895,0,99,128,987,23,72,4204,7029,11233,-0.0103405,0.0421985,-0.999056,0
5308,0,181,232,1789,44,132,7686,11353,19039,-0.0163962,0.0754306,-0.997016,0
2899,0,99,129,996,25,74,4222,9085,13307,-0.0679496,0.131863,-0.988936,0
3282,0,112,143,1095,27,80,4739,9935,14674,0.698876,0.0803085,-0.71072,0
3081,0,105,135,1046,24,79,4470,9655,14125,-0.0549351,0.158421,-0.985842,0
3766,0,128,162,1322,43,109,5530,16540,22070,-0.016137,0.0439065,-0.998905,0
2016,0,69,88,689,17,49,2928,4177,7105,-0.00940195,0.0251686,-0.999639,0
3583,0,103,135,1014,24,75,4934,6913,11847,-0.0321747,0.0717687,-0.996902,0
4831,0,161,207,1579,74,119,6971,10444,17415,-0.00544054,0.0453103,-0.998958,0
2853,0,92,119,938,24,69,4095,9853,13948,-0.126496,0.163034,-0.978478,0
2587,0,87,111,895,25,64,3769,7116,10885,-0.0387796,0.065067,-0.997127,0
4998,0,198,229,1600,38,122,7185,9007,16192,-0.00238937,0.0387848,-0.999245,0
3559,0,117,153,1145,31,85,5090,14173,19263,-0.00948587,0.0282523,-0.999556,0
1915,0,65,83,655,15,48,2781,7628,10409,-0.0103588,0.0320454,-0.999433,0
2886,0,97,123,959,24,70,4159,4697,8856,-0.012581,0.0417458,-0.999049,0
5929,0,194,254,1926,49,144,8496,10234,18730,-0.0218538,0.0474254,-0.998636,0
7425,0,176,307,1920,45,133,10006,10771,20777,-0.0188688,0.00448576,-0.999812,0
2354,0,80,101,795,19,58,3407,4793,8200,-0.00677398,0.0768924,-0.997016,0
1505,0,46,60,452,12,33,2108,3128,5236,0.015105,0.00552901,-0.999871,0
2134,0,69,91,707,19,74,3094,4675,7769,-0.00952981,0.0314109,-0.999461,0
2969,0,126,131,941,37,61,4265,4605,8870,-0.0122223,0.0491722,-0.998716,0
5247,0,174,231,1703,43,127,7525,13294,20819,-0.0180821,0.0288358,-0.999421,0
2776,0,80,104,788,19,58,3825,7297,11122,-0.0082471,0.0556688,-0.998415,0
5363,0,176,237,1714,42,129,7661,10523,18184,-0.0221127,-0.0124878,-0.999677,0
