Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5947,0,373,497,4128,103,288,11336,2087,13423,-0.014156,0.0134888,-0.999809,0
5833,0,374,469,3941,54,186,10857,1404,12261,-0.0063713,0.0158812,-0.999854,0
3023,0,198,264,2125,44,141,5795,1135,6930,-0.016685,0.0219097,-0.999621,0
5814,0,374,479,4098,91,275,11131,2101,13232,-0.0191184,0.0390163,-0.999056,0
3956,0,308,324,2824,60,186,7658,1441,9099,0.00112632,0.0344992,-0.999404,0
5842,0,411,470,4102,89,274,11188,2018,13206,-0.00501224,0.0253996,-0.999665,0
4069,0,260,335,2729,50,209,7652,1957,9609,-0.00307224,0.0149945,-0.999883,0
5826,0,375,461,4001,71,272,11006,1339,12345,-0.0164276,0.00854612,-0.999829,0
3956,0,259,330,2782,49,187,7563,1421,8984,-0.0113874,0.0211972,-0.99971,0
5861,0,397,470,4019,84,281,11112,2096,13208,0.000695115,0.0256408,-0.999671,0
5978,0,387,507,3986,68,269,11195,2079,13274,-0.00558264,0.0123201,-0.999909,0
5895,0,377,482,4119,76,269,11218,1551,12769,-0.00250619,0.0298466,-0.999551,0
3046,0,198,249,2165,36,141,5835,1099,6934,-0.00619614,0.0126188,-0.999901,0
5956,0,410,474,4032,71,271,11214,2236,13450,-0.00139106,0.0204286,-0.99979,0
5835,0,386,494,4028,90,263,11096,2035,13131,-0.0177878,0.0216214,-0.999608,0
4048,0,260,324,2768,49,186,7635,1447,9082,-0.0237083,0.0120536,-0.999646,0
5823,0,394,495,4009,83,267,11071,1995,13066,-0.0191432,0.0222604,-0.999569,0
5725,0,376,469,4093,85,271,11019,1564,12583,-0.000580062,0.0269711,-0.999636,0
3965,0,259,330,2741,48,186,7529,1345,8874,-0.019428,0.0153986,-0.999693,0
5870,0,374,470,4050,72,269,11105,2491,13596,-0.00758711,0.0129531,-0.999887,0
4053,0,255,333,2706,51,181,7579,1353,8932,-0.0144548,0.0202454,-0.999691,0
5875,0,371,475,3967,75,270,11033,2239,13272,-0.0233033,-0.0105703,-0.999673,0
5953,0,370,457,3936,91,265,11072,1539,12611,-0.0198274,-0.0289125,-0.999385,0
3894,0,237,294,2512,33,168,7138,1355,8493,-0.013409,-0.0246432,-0.999606,0
6382,0,529,524,3954,66,263,11718,2182,13900,-0.0244365,-0.0351031,-0.999085,0
3467,0,194,256,1872,32,112,5933,904,6837,-0.0121487,-0.0111577,-0.999864,0
1926,0,113,140,1175,21,80,3455,627,4082,-0.00905134,-0.0214955,-0.999728,0
6205,0,372,483,3972,66,267,11365,2201,13566,-0.0201514,0.00182196,-0.999795,0
4215,0,263,329,2769,45,188,7809,1399,9208,-0.0242071,0.018593,-0.999534,0
6193,0,606,686,4890,80,290,12745,1470,14215,-0.0334989,0.0296936,-0.998998,0
3198,0,232,266,2270,27,151,6144,1199,7343,-0.0301191,0.0451635,-0.998525,0
5467,0,520,500,3523,57,249,10316,1895,12211,-0.0561303,0.0536061,-0.996983,0
5127,0,379,470,3736,49,247,10008,1550,11558,-0.0415129,0.0312514,-0.998649,0
3731,0,287,348,2752,47,188,7353,1357,8710,-0.019084,0.0144527,-0.999713,0
6252,0,486,580,5054,63,325,12760,2027,14787,-0.0203642,-0.039472,-0.999013,0
6345,0,459,575,4289,52,226,11946,1294,13240,-0.00923928,-0.0504164,-0.998686,0
2667,0,200,251,2091,26,140,5375,917,6292,-0.0117127,-0.0520783,-0.998574,0
3829,0,275,340,2964,56,208,7672,1373,9045,0.0130909,-0.0713044,-0.997369,0
6220,0,480,650,5174,82,317,12923,2449,15372,0.00764086,-0.0819855,-0.996604,0
6053,0,398,517,4323,72,297,11660,2020,13680,0.0348384,-0.0816044,-0.996056,0
3959,0,247,305,2655,46,179,7391,1583,8974,0.0304758,-0.0920814,-0.995285,0
3768,0,206,256,2114,53,150,6547,1644,8191,0.00961718,-0.121548,-0.992539,0
5535,0,258,328,2541,59,190,8911,2270,11181,-0.0148768,-0.124138,-0.992153,0
5396,0,285,364,3105,51,216,9417,2536,11953,-0.0192761,-0.124586,-0.992022,0
3620,0,197,251,2053,45,144,6310,2158,8468,-0.0156909,-0.133929,-0.990867,0
6009,0,341,445,2989,52,203,10039,3699,13738,-0.00414074,-0.13283,-0.99113,0
5274,0,318,376,2956,53,209,9186,2144,11330,-0.0279777,-0.141282,-0.989574,0
