Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6184,0,405,522,4261,90,285,11747,1454,13201,0.00345715,0.0294776,-0.999559,0
3233,0,201,272,2246,26,144,6122,1140,7262,0.01313,0.0369088,-0.999232,0
6396,0,379,477,3983,45,282,11562,2111,13673,-0.0111674,0.0448135,-0.998933,0
4231,0,262,327,2827,31,187,7865,1455,9320,-0.0172662,0.0235301,-0.999574,0
6123,0,379,489,4012,47,268,11318,2208,13526,-0.002325,0.0130537,-0.999912,0
5923,0,381,469,4411,48,301,11533,2189,13722,-0.00126764,0.0330803,-0.999452,0
4192,0,260,325,2746,40,183,7746,1466,9212,-0.00383797,0.0280112,-0.9996,0
6673,0,377,477,4063,53,268,11911,2200,14111,0.000878304,0.0340749,-0.999419,0
5983,0,468,467,4049,61,271,11299,1521,12820,0.00371336,0.0377111,-0.999282,0
4100,0,260,321,2831,50,205,7767,1504,9271,0.00865877,0.0411433,-0.999116,0
5898,0,381,477,3979,84,270,11089,2068,13157,-0.00130578,0.0378484,-0.999283,0
6096,0,379,472,4102,63,271,11383,1451,12834,-0.0130351,0.0434443,-0.998971,0
4083,0,261,336,2822,57,187,7746,1488,9234,-0.00694908,0.0472084,-0.998861,0
6036,0,409,466,4064,65,267,11307,2246,13553,0.00291935,0.0581854,-0.998302,0
6165,0,377,481,4064,67,270,11424,1491,12915,-0.00221113,0.0656347,-0.997841,0
3229,0,201,249,2105,37,141,5962,1144,7106,-0.00192767,0.0282748,-0.999598,0
5896,0,342,456,3630,56,245,10625,1961,12586,0.0003626,0.0569433,-0.998377,0
4102,0,245,320,2634,44,190,7535,1743,9278,0.00880949,0.0466546,-0.998872,0
6053,0,390,483,4158,49,248,11381,2146,13527,0.000809382,0.0427173,-0.999087,0
3811,0,251,312,2791,42,176,7383,1418,8801,0.0147742,0.0876864,-0.996039,0
5583,0,343,423,3736,52,247,10384,2266,12650,0.00868313,0.0463187,-0.998889,0
5451,0,333,437,3544,98,239,10102,1394,11496,0.0020581,0.0636976,-0.997967,0
3976,0,260,295,2970,40,171,7712,1391,9103,-0.00763558,0.0618757,-0.998055,0
6040,0,368,458,4074,130,403,11473,2394,13867,0.00056419,0.0586927,-0.998276,0
4257,0,286,334,2828,37,182,7924,1672,9596,0.00116269,0.0957552,-0.995404,0
6301,0,377,465,3624,54,242,11063,1445,12508,0.00756455,0.0653566,-0.997833,0
6063,0,377,466,3799,36,184,10925,2241,13166,-0.00060889,0.0592914,-0.998241,0
3474,0,199,245,2171,44,160,6293,1218,7511,0.00494527,0.0769063,-0.997026,0
6220,0,376,475,4052,54,261,11438,1686,13124,0.00407645,0.0816275,-0.996655,0
4111,0,252,308,2739,34,180,7624,1722,9346,0.00701565,0.104118,-0.99454,0
6145,0,316,391,3354,67,225,10498,2131,12629,0.0284235,0.0818991,-0.996235,0
3791,0,222,272,2371,43,158,6857,1361,8218,0.00537579,0.0860118,-0.99628,0
5900,0,371,453,3671,97,253,10745,2679,13424,0.0182058,0.0867332,-0.996065,0
6301,0,325,411,3514,63,242,10856,1990,12846,0.0133746,0.108101,-0.99405,0
2962,0,165,208,1797,38,121,5291,1244,6535,0.0156457,0.0867374,-0.996108,0
6761,0,302,411,3394,82,231,11181,2398,13579,0.00950348,0.095644,-0.99537,0
3851,0,199,249,2122,43,187,6651,1802,8453,0.0102742,0.102432,-0.994687,0
4372,0,191,244,2031,45,159,7042,1668,8710,-0.0137527,0.0787129,-0.996802,0
5393,0,263,353,2846,82,309,9246,2460,11706,-0.00413753,0.0795665,-0.996821,0
5529,0,257,330,2824,63,189,9192,2030,11222,0.00552705,0.0776057,-0.996969,0
3678,0,172,219,1847,45,125,6086,1587,7673,0.0145343,0.0668173,-0.997659,0
5533,0,240,342,2487,57,207,8866,3045,11911,0.0059753,0.0883146,-0.996075,0
