Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6507,0,340,456,3676,82,243,11304,2831,14135,-0.0210007,0.0162082,-0.999648,0
4120,0,233,290,2490,47,189,7369,1583,8952,-0.00354089,0.0152307,-0.999878,0
5447,0,306,391,3276,51,220,9691,2186,11877,-0.00835494,0.0632759,-0.997961,0
3823,0,216,271,2321,38,157,6826,1362,8188,-0.00750536,0.00879516,-0.999933,0
7566,0,378,482,3922,56,243,12647,1665,14312,-0.00739812,0.0263645,-0.999625,0
3423,0,191,240,2031,48,137,6070,1295,7365,-0.0101968,0.0324961,-0.99942,0
6919,0,393,474,3733,58,241,11818,1776,13594,-0.0254298,0.0385312,-0.998934,0
4090,0,233,294,2567,45,167,7396,1240,8636,-0.00228644,0.0311012,-0.999514,0
9264,0,382,436,3024,39,178,13323,1223,14546,-0.00961583,0.0457678,-0.998906,0
2539,0,145,180,1570,25,104,4563,864,5427,-0.0316918,0.064285,-0.997428,0
6512,0,335,418,3508,58,237,11068,2189,13257,-0.00309036,0.040739,-0.999165,0
4162,0,233,292,2468,37,165,7357,1487,8844,-0.00328402,0.033322,-0.999439,0
6770,0,378,475,3559,56,240,11478,2175,13653,0.0179306,0.008143,-0.999806,0
4073,0,239,319,2521,42,167,7361,1570,8931,-0.00778483,0.0339639,-0.999393,0
6138,0,384,437,3736,54,247,10996,1591,12587,-0.0280475,0.0054228,-0.999592,0
4136,0,236,294,2550,68,168,7452,1447,8899,0.00279287,0.0548797,-0.998489,0
4324,0,359,442,2530,46,185,7886,1418,9304,-0.00898425,0.0270915,-0.999593,0
5438,0,307,386,3277,60,220,9688,1845,11533,-0.0141528,0.0287366,-0.999487,0
6012,0,340,454,3542,57,245,10650,1996,12646,-0.00923055,0.0335758,-0.999394,0
4225,0,254,297,2520,45,173,7514,1285,8799,0.00362562,0.0312965,-0.999504,0
6091,0,341,455,3642,61,249,10839,2065,12904,-0.00403171,0.0311072,-0.999508,0
6141,0,343,470,3695,56,249,10954,1418,12372,0.00905926,0.0208267,-0.999742,0
3185,0,181,226,1943,32,129,5696,1063,6759,-0.0212148,0.0384253,-0.999036,0
5059,0,281,348,3028,48,202,8966,1704,10670,-0.018711,0.0366641,-0.999152,0
5097,0,461,539,3130,54,230,9511,1796,11307,0.0133404,0.0166734,-0.999772,0
5089,0,280,363,3011,78,149,8970,1391,10361,0.00394371,0.0283391,-0.999591,0
4169,0,237,335,2567,52,171,7531,1467,8998,-0.0221053,0.0282956,-0.999355,0
5684,0,468,604,3588,69,248,10661,1360,12021,-0.00284646,0.0205384,-0.999785,0
3919,0,220,273,2400,42,180,7034,1459,8493,-0.0184012,0.0556771,-0.998279,0
5460,0,279,355,3032,69,228,9423,1713,11136,-0.0217286,0.0152613,-0.999647,0
5012,0,281,386,3024,60,200,8963,1692,10655,-0.0222571,0.0332871,-0.999198,0
5725,0,282,357,3080,48,204,9696,1289,10985,-0.00842662,0.0306466,-0.999495,0
2869,0,163,212,1730,24,117,5115,1091,6206,-0.0131253,0.0361658,-0.99926,0
6213,0,343,428,3856,81,250,11171,1431,12602,-0.0217627,0.0175067,-0.99961,0
3357,0,184,231,1978,37,131,5918,1103,7021,-0.0256412,0.0219085,-0.999431,0
6109,0,399,458,3791,58,248,11063,1576,12639,-8.27383e-05,0.0500466,-0.998747,0
4199,0,241,297,2658,56,174,7625,1445,9070,-0.00448787,0.032818,-0.999451,0
5991,0,345,454,3687,49,281,10807,2041,12848,-0.0248628,0.025569,-0.999364,0
