Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5161,0,24,69,301,78,31,5664,6366,12030,-0.224482,-0.0122763,-0.974401,0
2617,0,13,25,106,29,12,2802,4070,6872,-0.0364475,-0.114681,-0.992734,0
2712,0,12,26,113,31,13,2907,4490,7397,-0.0290895,-0.0542093,-0.998106,0
5147,0,24,49,194,50,23,5487,6619,12106,-0.0502391,-0.15818,-0.986131,0
4937,0,23,47,188,51,22,5268,6631,11899,-0.145558,-0.0541218,-0.987868,0
3603,0,16,34,145,37,18,3853,4455,8308,-0.0180477,-0.18823,-0.981959,0
5072,0,25,47,243,57,29,5473,6315,11788,-0.00517882,-0.0637664,-0.997951,0
5073,0,23,46,231,45,29,5447,6936,12383,-0.076093,-0.214454,-0.973765,0
3449,0,16,30,125,36,15,3671,4343,8014,-0.116926,-0.0588363,-0.991396,0
5052,0,24,46,213,52,24,5411,7074,12485,-0.0910452,-0.103175,-0.990488,0
3447,0,16,29,124,36,15,3667,4657,8324,-0.0964149,-0.115664,-0.988598,0
4639,0,21,41,166,48,19,4934,4320,9254,-0.134988,-0.0386325,-0.990094,0
4902,0,24,42,234,48,28,5278,8036,13314,-0.0913897,-0.121592,-0.988364,0
3457,0,16,32,134,38,15,3692,4214,7906,-0.112186,-0.0999008,-0.988653,0
5142,0,24,48,209,63,34,5520,5354,10874,-0.103417,-0.0689659,-0.992244,0
5426,0,24,47,200,57,22,5776,5580,11356,-0.0730681,-0.153108,-0.985504,0
3577,0,17,34,135,38,15,3816,4503,8319,-0.0832,-0.100551,-0.991447,0
3767,0,17,33,140,32,17,4006,4955,8961,-0.160047,-0.0746331,-0.984284,0
4586,0,21,61,165,43,21,4897,5010,9907,-0.0763593,-0.100631,-0.991989,0
4672,0,32,56,195,47,21,5023,5982,11005,-0.0750947,-0.125234,-0.989281,0
3189,0,22,39,133,32,17,3432,4148,7580,-0.1097,-0.162859,-0.980532,0
4311,0,19,39,157,44,18,4588,5123,9711,-0.0935564,-0.10258,-0.990315,0
4162,0,18,36,148,41,18,4423,4334,8757,-0.0658419,-0.0983159,-0.992975,0
4169,0,19,45,155,42,18,4448,6209,10657,-0.0366298,-0.128056,-0.99109,0
4210,0,19,36,156,40,18,4479,4517,8996,-0.112987,-0.118134,-0.986549,0
