Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6606,0,284,367,2370,89,154,9870,6341,16211,-0.00949416,0.00975704,-0.999907,0
2459,0,89,117,865,22,64,3616,2832,6448,-0.024658,0.0325159,-0.999167,0
4855,0,187,205,1513,32,114,6906,5719,12625,-0.0103532,0.0189639,-0.999767,0
6272,0,207,267,2211,50,159,9166,4590,13756,-0.0198897,0.00883147,-0.999763,0
3948,0,142,182,1401,39,101,5813,6394,12207,-0.00565375,0.103488,-0.994615,0
5981,0,211,273,2123,49,157,8794,4202,12996,-0.0196775,0.0255501,-0.99948,0
6618,0,208,269,2014,50,179,9338,6092,15430,-0.0140163,0.0078704,-0.999871,0
3002,0,109,139,1050,25,79,4404,2044,6448,-0.0177098,0.0107354,-0.999786,0
6668,0,200,257,2091,57,146,9419,4784,14203,-0.0124813,0.0367495,-0.999247,0
5787,0,197,255,1919,65,154,8377,4785,13162,0.0165043,0.0545268,-0.998376,0
3006,0,106,134,1034,30,77,4387,2817,7204,-0.0338042,0.0507693,-0.998138,0
5837,0,200,258,1986,58,146,8485,6302,14787,-0.0505212,0.0201932,-0.998519,0
5698,0,203,258,1996,58,147,8360,7881,16241,-0.0389794,0.0304255,-0.998777,0
3081,0,108,137,1084,32,81,4523,3379,7902,-0.0191202,0.0290163,-0.999396,0
5948,0,203,257,2625,53,155,9241,5897,15138,-0.0551662,0.0618269,-0.996561,0
5926,0,138,179,1341,28,103,7715,3969,11684,-0.00980335,0.04455,-0.998959,0
6275,0,199,255,1927,52,145,8853,4469,13322,-0.0155829,0.0532557,-0.998459,0
6309,0,209,249,1882,52,143,8844,8333,17177,0.00960872,0.0876084,-0.996109,0
2708,0,83,106,807,24,61,3789,2705,6494,-0.00233917,0.105167,-0.994452,0
1777,0,56,67,511,14,39,2464,2415,4879,-0.0543096,0.0118118,-0.998454,0
1702,0,57,74,587,15,42,2477,2394,4871,-0.0285568,0.025837,-0.999258,0
6044,0,195,248,1893,52,166,8598,8720,17318,-0.011931,0.0392018,-0.99916,0
5601,0,194,248,1833,51,141,8068,6806,14874,-0.00356624,0.0699576,-0.997544,0
2420,0,83,106,797,29,60,3495,3587,7082,-0.00857352,0.0720548,-0.997364,0
5794,0,191,246,1864,58,140,8293,8819,17112,-0.019687,0.0496868,-0.998571,0
5600,0,193,254,1864,53,150,8114,3673,11787,0.0137667,0.119452,-0.992745,0
3000,0,104,140,982,27,74,4327,3118,7445,-0.0155417,0.0573289,-0.998234,0
5605,0,182,235,1736,52,150,7960,5570,13530,-0.0258293,0.0264178,-0.999317,0
3946,0,126,163,1240,36,93,5604,3172,8776,-0.00505752,0.0132295,-0.9999,0
4750,0,150,202,1456,42,112,6712,9232,15944,-0.0481794,0.0175073,-0.998685,0
3383,0,110,141,1050,23,89,4796,6383,11179,-0.0125546,0.00416022,-0.999913,0
5668,0,185,273,1814,59,139,8138,4129,12267,-0.00253403,0.0191236,-0.999814,0
3849,0,127,164,1222,33,92,5487,7044,12531,-0.0176138,0.0215118,-0.999613,0
4885,0,177,198,1445,31,111,6847,8069,14916,-0.0110472,0.0664898,-0.997726,0
3369,0,111,156,1076,24,83,4819,2761,7580,-0.00539117,0.0270811,-0.999619,0
5640,0,194,238,1847,55,139,8113,6189,14302,-0.0438297,-0.00306318,-0.999034,0
4427,0,99,133,1054,32,76,5821,3999,9820,-0.0206708,0.062382,-0.997838,0
6616,0,209,268,2143,87,217,9540,7780,17320,-0.0177216,0.0413435,-0.998988,0
2577,0,84,107,804,25,60,3657,2061,5718,-0.0208178,0.0268803,-0.999422,0
1506,0,46,62,452,14,34,2114,1587,3701,-0.0207716,0.0303417,-0.999324,0
1624,0,53,68,509,15,38,2307,1639,3946,-0.0266895,0.0308699,-0.999167,0
5871,0,185,238,1831,73,140,8338,9602,17940,-0.0361218,0.0234029,-0.999073,0
3004,0,97,124,934,29,70,4258,6700,10958,-0.00311843,0.0279377,-0.999605,0
4335,0,138,177,1355,41,103,6149,5812,11961,-0.00136989,0.0248918,-0.999689,0
5733,0,187,239,1802,54,138,8153,4477,12630,0.000645083,0.0535408,-0.998565,0
3859,0,130,165,1223,37,94,5508,5039,10547,0.010481,0.0531938,-0.998529,0
3175,0,100,134,956,29,73,4467,3126,7593,-0.0209765,-0.000275728,-0.99978,0
5960,0,247,314,1885,46,147,8599,5265,13864,-0.0508952,0.0537275,-0.997258,0
5834,0,199,249,1903,63,147,8395,2470,10865,-0.0115883,0.0331468,-0.999383,0
3097,0,109,138,1049,39,80,4512,1907,6419,-0.0207914,0.0167097,-0.999644,0
6134,0,211,273,2012,61,156,8847,3243,12090,-0.0111181,0.00678632,-0.999915,0
6157,0,217,279,2121,61,159,8994,3569,12563,-0.017733,0.0122824,-0.999767,0
4105,0,154,196,1511,40,112,6118,2305,8423,-0.0190483,0.00266548,-0.999815,0
6701,0,254,288,2118,61,159,9581,4760,14341,-0.00673507,0.000514322,-0.999977,0
6275,0,223,286,2170,59,164,9177,3563,12740,0.000717558,-0.0418561,-0.999123,0
4122,0,188,201,1569,37,122,6239,3390,9629,-0.0342316,-0.032413,-0.998888,0
5944,0,226,288,2207,60,163,8888,2873,11761,-0.0559863,0.0010976,-0.998431,0
6067,0,226,292,2211,52,172,9020,3832,12852,-0.0946748,-0.0207397,-0.995292,0
4184,0,155,200,1500,43,112,6194,3159,9353,-0.178228,-0.0552219,-0.982439,0
5424,0,196,253,1954,59,148,8034,4805,12839,-0.076552,0.000105788,-0.997066,0
3764,0,140,178,1392,35,104,5613,2962,8575,-0.0279592,0.0414515,-0.998749,0
5977,0,212,274,2098,42,156,8759,4970,13729,-0.00718937,-0.0390525,-0.999211,0
4032,0,148,188,1418,35,106,5927,3354,9281,0.00614318,0.011241,-0.999918,0
5801,0,202,257,1974,47,150,8431,5852,14283,-0.0068531,0.0678833,-0.99767,0
5789,0,198,253,1366,32,100,7738,2879,10617,-0.00794817,0.019933,-0.99977,0
2395,0,82,103,785,20,59,3444,1361,4805,0.0198025,0.0174638,-0.999651,0
2246,0,74,95,704,22,53,3194,1727,4921,-0.00659646,0.0414121,-0.99912,0
4650,0,151,194,1433,52,110,6590,4375,10965,0.00291345,0.0549822,-0.998483,0
5718,0,180,234,1741,50,131,8054,5417,13471,0.00524511,0.0606644,-0.998144,0
3568,0,94,121,894,29,68,4774,1532,6306,0.0044732,0.0591964,-0.998236,0
5547,0,183,226,1640,50,127,7773,3636,11409,0.0205636,0.0744531,-0.997012,0
3002,0,89,115,839,29,64,4138,3186,7324,0.0148732,0.0604632,-0.99806,0
5874,0,165,218,1595,57,123,8032,5514,13546,0.021762,0.0453636,-0.998733,0
3796,0,113,156,1408,42,112,5627,3465,9092,0.0208616,0.0312438,-0.999294,0
5568,0,164,214,1559,43,120,7668,6129,13797,0.0117188,0.00377831,-0.999924,0
4792,0,113,149,1066,29,104,6253,2524,8777,0.0201271,0.0716594,-0.997226,0
3834,0,113,148,1067,29,83,5274,3412,8686,0.0389065,0.055915,-0.997677,0
6213,0,162,218,1518,42,120,8273,6144,14417,0.0024867,0.0272799,-0.999625,0
3810,0,167,200,1442,31,89,5739,2924,8663,0.0301218,0.062197,-0.997609,0
5609,0,164,218,1616,48,124,7779,3973,11752,0.0236492,0.0202994,-0.999514,0
4387,0,115,151,1097,28,84,5862,5331,11193,-0.028449,0.0886827,-0.995654,0
5674,0,165,233,1621,42,125,7860,4869,12729,0.0142373,0.0487041,-0.998712,0
3867,0,113,148,1100,37,86,5351,3088,8439,0.0137646,0.041888,-0.999027,0
5003,0,147,200,1405,38,109,6902,4405,11307,0.0204777,0.0463898,-0.998713,0
4951,0,148,191,1404,38,109,6841,4010,10851,0.0174555,0.0415943,-0.998982,0
5155,0,149,202,1436,38,112,7092,4636,11728,0.0020218,0.00809448,-0.999965,0
5820,0,254,287,1858,43,128,8390,4470,12860,0.0118444,0.0121768,-0.999856,0
5481,0,164,217,1547,42,137,7588,5452,13040,0.0205518,0.0305565,-0.999322,0
4227,0,119,147,1076,28,83,5680,2532,8212,0.0145043,0.0367912,-0.999218,0
2330,0,59,88,566,14,43,3100,2043,5143,0.0273092,0.0185264,-0.999455,0
1641,0,49,64,474,13,36,2277,2069,4346,0.0175772,-0.000322676,-0.999845,0
6347,0,167,218,1595,42,122,8491,5688,14179,0.0235889,0.00567616,-0.999706,0
5463,0,165,215,1597,43,122,7605,2763,10368,0.0400979,0.056868,-0.997576,0
