Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5304,3838,93,491,0,868,257,10851,2843,13694,0.0606863,-0.0189627,-0.997977,0
3719,2556,27,307,0,600,172,7381,1439,8820,0.0368161,-0.00566995,-0.999306,0
3524,2456,28,333,0,672,173,7186,2175,9361,0.0224544,-0.0136661,-0.999654,0
5224,3566,33,476,0,871,278,10448,1762,12210,0.0324121,-0.00221109,-0.999472,0
3560,2469,24,318,0,579,182,7132,1813,8945,0.026876,-0.00966157,-0.999592,0
4712,3177,28,363,0,754,207,9241,2040,11281,0.0193431,-0.0113185,-0.999749,0
3264,2195,21,268,0,535,146,6429,1756,8185,0.00628001,-0.00342681,-0.999974,0
5126,3483,32,437,0,808,230,10116,2278,12394,0.0450256,-0.00898537,-0.998945,0
4650,3098,29,384,0,754,220,9135,2239,11374,0.00681474,0.00805219,-0.999944,0
4680,3237,39,409,0,745,223,9333,2481,11814,0.0242593,-0.0124659,-0.999628,0
5433,3617,40,425,0,833,177,10525,1843,12368,0.0136249,-0.0118378,-0.999837,0
2214,1696,19,277,0,496,135,4837,1062,5899,0.00592771,-0.000979941,-0.999982,0
3972,2671,25,309,0,617,225,7819,1705,9524,0.0287306,-0.00496796,-0.999575,0
5341,3689,34,417,0,844,231,10556,1546,12102,0.0210129,0.00623987,-0.99976,0
3598,2467,29,285,0,561,183,7123,1949,9072,0.0315477,0.0146557,-0.999395,0
3702,2397,24,319,0,577,181,7200,1736,8936,0.0285142,-0.0143042,-0.999491,0
3343,2196,21,255,0,559,151,6525,1948,8473,0.042478,-0.0153544,-0.998979,0
5436,3503,34,425,0,810,228,10436,2513,12949,0.0304376,-0.0122497,-0.999462,0
5398,3576,35,496,0,848,240,10593,2500,13093,0.0144671,0.0150216,-0.999783,0
3153,1535,14,174,0,346,97,5319,1111,6430,0.0311587,0.0131674,-0.999428,0
1440,945,10,109,0,225,62,2791,1008,3799,0.0288717,0.00174347,-0.999582,0
2158,1422,13,177,0,343,101,4214,1076,5290,0.0346103,-0.00288098,-0.999397,0
5593,3642,34,528,0,863,266,10926,2605,13531,0.0405203,0.00924265,-0.999136,0
5380,3052,25,304,0,562,158,9481,1271,10752,0.0233621,-0.0170552,-0.999582,0
2378,1574,16,195,0,362,105,4630,1153,5783,-0.00148067,-0.0427548,-0.999084,0
5465,3575,35,466,0,933,228,10702,2505,13207,-0.000853753,-0.0318566,-0.999492,0
3384,1890,40,271,0,443,134,6162,1129,7291,0.0174661,0.0090432,-0.999807,0
2399,1116,14,151,0,261,78,4019,874,4893,0.0275513,0.0187068,-0.999445,0
5269,3564,41,464,0,851,243,10432,2743,13175,0.0291554,0.00113718,-0.999574,0
3752,2443,28,287,0,558,166,7234,1838,9072,0.0208311,0.0121702,-0.999709,0
3684,2434,28,290,0,562,168,7166,1768,8934,0.0212984,-0.0126122,-0.999694,0
3564,2466,29,362,0,587,178,7186,1833,9019,0.0231742,-0.0270773,-0.999365,0
4753,3233,31,402,0,762,211,9392,2408,11800,0.0201481,-0.0107477,-0.999739,0
