Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6643,2174,71,387,0,594,153,10022,2782,12804,0.00966438,-0.0408775,-0.999117,0
5920,2028,29,265,0,584,146,8972,1956,10928,0.0199307,0.00775938,-0.999771,0
5412,1832,26,236,0,548,134,8188,2136,10324,0.00375765,0.000612758,-0.999993,0
5972,1994,43,330,0,580,149,9068,2341,11409,-0.00855303,0.0158838,-0.999837,0
6548,2007,28,266,0,580,166,9595,2268,11863,0.00384314,0.0248358,-0.999684,0
6105,2064,30,277,0,605,149,9230,3480,12710,0.0175694,0.0150272,-0.999733,0
4047,1393,20,194,0,404,103,6161,1867,8028,0.00672328,0.0275929,-0.999597,0
6017,2093,32,274,0,616,153,9185,2778,11963,-0.00137445,0.0206118,-0.999787,0
5814,2031,28,262,0,583,146,8864,2256,11120,-0.0204087,0.034275,-0.999204,0
5365,1857,26,238,0,524,130,8140,2082,10222,0.00297997,0.0545285,-0.998508,0
5975,2025,28,265,0,581,146,9020,2937,11957,-3.46328e-05,0.0283598,-0.999598,0
5977,2047,30,264,0,604,148,9070,2191,11261,-0.00120894,0.00505252,-0.999987,0
6833,1413,20,183,0,405,102,8956,1314,10270,-0.00303834,0.0119137,-0.999924,0
2495,875,32,111,0,249,62,3824,894,4718,6.50216e-05,0.028056,-0.999606,0
2013,711,10,92,0,203,50,3079,839,3918,-0.0107293,0.0197432,-0.999748,0
6611,2055,30,268,0,587,147,9698,2571,12269,0.00250301,0.00581866,-0.99998,0
6012,2045,29,265,0,602,149,9102,2140,11242,-0.000141762,0.0188129,-0.999823,0
4250,1847,21,219,0,408,102,6847,1685,8532,-0.0189363,-0.00626452,-0.999801,0
5949,2058,29,263,0,588,147,9034,2414,11448,-0.0349735,-0.0122799,-0.999313,0
6910,2151,28,269,0,588,146,10092,2517,12609,-0.0313732,-0.00310306,-0.999503,0
4089,1378,20,179,0,401,100,6167,1658,7825,-0.0265935,0.0352709,-0.999024,0
5454,1840,25,241,0,524,130,8214,2007,10221,-0.00824745,0.0458081,-0.998916,0
5527,1856,27,242,0,525,130,8307,2101,10408,-0.0102033,0.0290429,-0.999526,0
5944,2075,29,264,0,582,146,9040,2424,11464,-0.00587361,0.00650089,-0.999962,0
6045,2044,29,264,0,584,147,9113,2277,11390,-0.00359328,0.00813952,-0.99996,0
5351,1978,25,296,0,530,137,8317,2055,10372,-0.0129482,0.02931,-0.999487,0
5869,2017,29,264,0,581,145,8905,2275,11180,-0.0230095,-0.00627238,-0.999716,0
6188,2027,28,265,0,583,146,9237,2332,11569,-0.0103805,0.011436,-0.999881,0
5987,2011,28,261,0,604,149,9040,1512,10552,-0.0433294,-0.00491156,-0.999049,0
5358,1878,32,240,0,526,131,8165,2109,10274,-0.0392583,-0.00476943,-0.999218,0
6010,2030,28,265,0,583,146,9062,2333,11395,-0.0110392,0.00525145,-0.999925,0
5947,2087,28,267,0,612,151,9092,2435,11527,-0.0160425,-0.000374839,-0.999871,0
5978,2016,28,264,0,608,149,9043,1544,10587,-0.00883327,0.0143847,-0.999858,0
4138,1382,19,182,0,450,121,6292,1606,7898,-0.0108413,0.0180779,-0.999778,0
6000,2037,29,260,0,579,162,9067,2290,11357,-0.0100643,0.0115038,-0.999883,0
6573,2049,29,267,0,627,154,9699,2629,12328,0.00277214,0.0496279,-0.998764,0
4100,1400,20,181,0,405,102,6208,1732,7940,0.0148545,0.00909124,-0.999848,0
6028,2015,29,304,0,610,154,9140,2702,11842,0.0198468,0.00988741,-0.999754,0
5983,2053,29,266,0,611,151,9093,2593,11686,-0.0106706,0.0186171,-0.99977,0
4175,1391,19,182,0,402,102,6271,1752,8023,-0.000558399,-0.000250794,-1,0
5970,2036,28,266,0,588,150,9038,2235,11273,-0.00490889,0.0124858,-0.99991,0
6089,2108,28,267,0,586,168,9246,2733,11979,0.00139842,0.0127379,-0.999918,0
4081,1446,19,184,0,405,101,6236,1760,7996,0.00242936,0.00160574,-0.999996,0
6140,2128,29,269,0,581,162,9309,2436,11745,0.0154904,0.0218826,-0.999641,0
