Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6468,4553,118,515,0,1031,267,12952,2179,15131,0.0143818,0.142848,-0.98964,0
3053,2151,18,248,0,557,141,6168,1066,7234,0.000562512,0.0153473,-0.999882,0
4764,3311,26,386,0,850,218,9555,1589,11144,-0.00109692,0.0103367,-0.999946,0
5758,4111,37,510,0,1027,276,11719,1344,13063,-0.000464698,0.016122,-0.99987,0
3056,2138,26,249,0,541,139,6149,1036,7185,-0.000404133,0.0160457,-0.999871,0
5962,4018,31,482,0,1071,266,11830,1974,13804,-0.0129815,0.0228958,-0.999654,0
5913,3453,21,326,0,705,186,10604,1013,11617,-0.00839302,0.0215638,-0.999732,0
2476,1748,14,203,0,439,114,4994,827,5821,-0.00803889,0.0216024,-0.999734,0
5870,3985,32,467,0,1021,265,11640,1306,12946,-0.0323,0.0141172,-0.999379,0
4088,2859,27,329,0,705,184,8192,1368,9560,-0.0147469,0.0217393,-0.999655,0
5277,3801,29,436,0,1002,246,10791,1553,12344,-0.0176067,0.0230096,-0.99958,0
5903,4071,32,468,0,1068,271,11813,1394,13207,-0.0216694,0.0245326,-0.999464,0
3133,2109,17,255,0,561,142,6217,1054,7271,-0.0288486,0.0202642,-0.999378,0
5982,4125,32,605,0,1334,298,12376,1315,13691,-0.0243347,0.0216109,-0.99947,0
4028,2879,21,332,0,713,183,8156,1322,9478,-0.0161987,0.0237924,-0.999586,0
5378,4271,30,425,0,926,273,11303,1577,12880,-0.0103242,0.0256553,-0.999618,0
3661,2720,21,346,0,663,174,7585,1212,8797,-0.00658355,0.00815675,-0.999945,0
4770,3793,35,437,0,843,223,10101,1597,11698,-0.00168234,0.0211855,-0.999774,0
4719,3303,25,388,0,832,216,9483,1183,10666,0.00207897,0.0187534,-0.999822,0
4380,2946,48,352,0,753,207,8686,1434,10120,-0.000298359,0.0143513,-0.999897,0
4503,3419,25,387,0,766,205,9305,1469,10774,-0.00271727,0.00095371,-0.999996,0
6174,3982,29,485,0,1058,308,12036,1401,13437,-0.00568281,-0.0143271,-0.999881,0
4031,2743,22,317,0,704,187,8004,1387,9391,-0.00998078,-0.0311774,-0.999464,0
6021,3975,30,464,0,1069,263,11822,2466,14288,-0.0346921,-0.0372494,-0.998704,0
3723,2126,16,242,0,549,139,6795,874,7669,-0.0140185,-0.0356383,-0.999266,0
1850,1183,10,146,0,314,78,3581,523,4104,-0.0106095,-0.0269527,-0.99958,0
2034,1359,12,155,0,333,93,3986,664,4650,-0.024461,-0.0176715,-0.999545,0
6451,4115,37,481,0,1092,367,12543,1758,14301,-0.022234,0.002574,-0.999749,0
4253,2923,23,349,0,732,194,8474,1450,9924,-0.0328554,0.0122833,-0.999385,0
3208,2275,19,282,0,572,151,6507,1094,7601,-0.0394322,0.0376183,-0.998514,0
5197,3657,26,422,0,923,239,10464,1628,12092,-0.045791,0.0458153,-0.9979,0
5150,3768,26,440,0,961,247,10592,1216,11808,-0.0372341,0.0322438,-0.998786,0
3411,2601,18,308,0,707,174,7219,1098,8317,-0.0116956,0.00977968,-0.999884,0
6189,4711,34,583,0,1192,325,13034,1813,14847,-0.0190953,-0.0257483,-0.999486,0
4387,3372,22,419,0,916,226,9342,1431,10773,-0.00264152,-0.0370036,-0.999312,0
5294,4019,28,482,0,1031,269,11123,1574,12697,0.0406435,-0.0496928,-0.997937,0
6275,5050,34,587,0,1247,324,13517,1369,14886,0.0338887,-0.0495669,-0.998196,0
3244,2591,18,307,0,682,165,7007,1079,8086,0.0360974,-0.0469093,-0.998247,0
3873,2820,21,319,0,726,198,7957,1345,9302,0.0434458,-0.0874552,-0.995221,0
5787,3860,31,446,0,964,254,11342,1471,12813,0.0354301,-0.0959728,-0.994753,0
3501,1601,17,199,0,421,110,5849,1170,7019,0.0384756,-0.080528,-0.996009,0
3365,1710,19,223,0,445,117,5879,1384,7263,-0.00121046,-0.10209,-0.994774,0
5430,3054,29,361,0,794,205,9873,1938,11811,-0.00797206,-0.146861,-0.989125,0
3693,2532,22,267,0,532,141,7187,1928,9115,-0.0132399,-0.123042,-0.992313,0
3666,1991,20,293,0,572,144,6686,1434,8120,-0.0191032,-0.102799,-0.994519,0
5416,2969,48,389,0,816,230,9868,2103,11971,-0.0224984,-0.125718,-0.991811,0
4334,3098,35,402,0,832,193,8894,1841,10735,-0.0150255,-0.123605,-0.992218,0
5484,2956,32,356,0,759,200,9787,1443,11230,-0.0152741,-0.113662,-0.993402,0
2916,1525,15,180,0,374,100,5110,1076,6186,0.00185005,-0.138156,-0.990409,0
5623,2635,27,338,0,662,180,9465,2073,11538,-0.00436106,-0.174507,-0.984646,0
5863,2108,26,277,0,553,149,8976,1999,10975,0.0535061,-0.352307,-0.934354,0
3316,1029,14,128,0,271,72,4830,895,5725,0.0469497,-0.307755,-0.950306,0
1792,580,9,72,0,154,46,2653,622,3275,0.0219386,-0.161938,-0.986557,0
1972,821,10,101,0,218,57,3179,692,3871,0.0197738,-0.124041,-0.99208,0
6118,3596,30,437,0,961,247,11389,2070,13459,-0.00939255,-0.244166,-0.969688,0
4156,2668,21,311,0,692,176,8024,1477,9501,0.0143434,-0.195799,-0.980539,0
6334,4047,30,477,0,1033,271,12192,1470,13662,-0.00371497,-0.281723,-0.959489,0
4354,2829,20,330,0,730,187,8450,1407,9857,0.00197792,-0.274931,-0.961462,0
5673,3941,30,466,0,1044,247,11401,1957,13358,0.0106373,-0.285177,-0.958416,0
