Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6974,4734,111,655,0,950,171,13595,2093,15688,0.0119033,-0.162046,-0.986711,0
3303,1889,17,227,0,491,126,6053,978,7031,0.000358584,0.0271703,-0.999631,0
2599,1684,14,185,0,405,105,4992,854,5846,0.0111563,0.0216268,-0.999704,0
5936,3675,33,446,0,964,242,11296,1944,13240,-0.00632045,0.0276423,-0.999598,0
6264,3604,33,430,0,932,253,11516,1663,13179,-0.0041757,0.0239007,-0.999706,0
4160,2525,22,294,0,655,168,7824,1347,9171,-0.00545556,0.0264352,-0.999636,0
6029,3707,31,449,0,945,244,11405,1981,13386,-0.00197516,0.00421847,-0.999989,0
4051,2521,22,291,0,648,167,7700,1307,9007,0.013642,0.00216743,-0.999905,0
4958,3042,25,349,0,772,199,9345,1657,11002,0.0139455,0.0295865,-0.999465,0
6023,3722,32,426,0,953,250,11406,1628,13034,-0.00780891,0.0324601,-0.999443,0
4067,2542,22,291,0,644,175,7741,1371,9112,0.00154106,0.0275076,-0.99962,0
4142,2556,22,310,0,666,169,7865,1379,9244,-0.00788104,0.0315572,-0.999471,0
6141,3624,49,426,0,935,240,11415,1991,13406,0.0205656,0.00379787,-0.999781,0
4067,2526,23,294,0,650,179,7739,1420,9159,0.0133549,0.00912026,-0.999869,0
5977,3724,32,436,0,953,245,11367,2073,13440,-0.00478086,0.0269858,-0.999624,0
5950,3441,22,305,0,663,169,10550,1205,11755,0.00353938,0.0283167,-0.999593,0
3150,1912,17,223,0,499,134,5935,1054,6989,-0.00483484,0.0295118,-0.999553,0
5991,3639,33,500,0,971,249,11383,1949,13332,-0.00590478,0.0279971,-0.999591,0
5948,3526,31,433,0,941,243,11122,1889,13011,-0.00763682,0.0244199,-0.999673,0
4173,2804,29,463,0,868,189,8526,1334,9860,-0.0035509,0.0240683,-0.999704,0
5402,3257,53,380,0,865,220,10177,1770,11947,-0.00087671,0.0222634,-0.999752,0
4101,2687,21,278,0,613,157,7857,1238,9095,-0.00844396,0.031637,-0.999464,0
6278,4332,31,434,0,1019,247,12341,1988,14329,-0.00763853,0.0255905,-0.999643,0
4117,2532,21,295,0,664,171,7800,1332,9132,-0.00222208,0.0205668,-0.999786,0
5950,3311,28,387,0,896,226,10798,1683,12481,-0.00684619,0.0274401,-0.9996,0
3817,2410,22,280,0,627,158,7314,1293,8607,-0.00640614,0.0290672,-0.999557,0
5980,3733,31,429,0,970,245,11388,2014,13402,-0.00848741,0.029455,-0.99953,0
6045,3759,33,447,0,660,194,11138,1356,12494,-0.00709381,0.0281695,-0.999578,0
3171,1938,17,224,0,504,137,5991,1060,7051,-0.0104613,0.0270731,-0.999579,0
6144,3767,33,432,0,968,245,11589,1923,13512,-0.0112391,0.0339544,-0.99936,0
4197,2630,23,298,0,661,181,7990,1326,9316,-0.00396616,0.0325969,-0.999461,0
4158,2568,22,306,0,662,174,7890,1327,9217,-0.00798705,0.0335608,-0.999405,0
6098,3716,30,431,0,981,248,11504,1330,12834,-0.00759811,0.0240681,-0.999681,0
4133,2598,23,340,0,661,196,7951,1368,9319,-0.00241684,0.0321072,-0.999482,0
5525,3330,29,395,0,927,228,10434,1706,12140,-0.00369204,0.0303762,-0.999532,0
5005,3028,26,354,0,823,216,9452,1595,11047,0.00200753,0.0281184,-0.999603,0
4955,3135,25,354,0,805,204,9478,1582,11060,-0.00185216,0.0257528,-0.999667,0
5017,3558,42,358,0,790,204,9969,1598,11567,-0.00589522,0.0294196,-0.99955,0
6069,3704,30,431,0,961,246,11441,1341,12782,0.00726921,0.0265241,-0.999622,0
3297,1987,17,229,0,505,129,6164,1100,7264,-0.00848089,0.0333606,-0.999407,0
6510,4374,33,484,0,965,249,12615,1941,14556,-0.0105269,0.00235395,-0.999942,0
6020,3361,21,297,0,661,169,10529,1191,11720,-0.00467107,0.0209541,-0.99977,0
3220,1996,18,250,0,510,151,6145,1047,7192,-0.00387361,0.022059,-0.999749,0
6039,3718,31,432,0,953,244,11417,1734,13151,-0.00529405,0.0298252,-0.999541,0
4241,2571,26,296,0,668,171,7973,1339,9312,-0.0118085,0.0200465,-0.999729,0
6758,3345,28,393,0,869,222,11615,1602,13217,-0.000752351,0.0219231,-0.999759,0
3939,2436,24,297,0,629,168,7493,1281,8774,-0.00102947,0.026079,-0.999659,0
6725,3913,39,503,0,997,259,12436,1436,13872,-0.0167804,0.039215,-0.99909,0
4219,2597,21,309,0,695,176,8017,1775,9792,-0.00251933,0.028332,-0.999595,0
5562,3481,27,398,0,898,229,10595,1372,11967,-0.0128334,0.027168,-0.999548,0
3939,2799,26,301,0,638,166,7869,1261,9130,-0.0113628,0.0181621,-0.99977,0
6003,3828,30,461,0,1008,265,11595,1368,12963,-0.00441474,0.0219502,-0.999749,0
4070,2984,26,388,0,725,181,8374,1348,9722,-0.00259028,0.0337659,-0.999426,0
5472,4080,29,407,0,916,229,11133,1476,12609,-0.016949,0.0334254,-0.999297,0
3889,2562,21,296,0,662,166,7596,1321,8917,-5.45787e-05,0.0298031,-0.999556,0
6634,3837,30,443,0,802,175,11921,1343,13264,-0.0273743,0.0354038,-0.998998,0
3168,2030,16,233,0,524,134,6105,1189,7294,0.0346849,0.0455528,-0.99836,0
6852,3776,31,443,0,988,254,12344,1636,13980,-0.022495,0.0418367,-0.998871,0
4175,3055,22,310,0,681,173,8416,1378,9794,-0.0230879,0.0340087,-0.999155,0
5026,3050,24,355,0,792,203,9450,1708,11158,-0.00974164,0.0519356,-0.998603,0
4928,3826,27,372,0,792,202,10147,1597,11744,-0.0055363,0.0582964,-0.998284,0
5075,3041,26,394,0,806,206,9548,1233,10781,-0.00595029,0.037547,-0.999277,0
3590,2260,19,261,0,578,148,6856,1195,8051,-0.0015994,0.0342703,-0.999411,0
6661,3784,34,436,0,978,250,12143,2050,14193,-0.00581667,0.032763,-0.999446,0
4131,2569,22,302,0,670,191,7885,1340,9225,-0.00605712,0.0255773,-0.999654,0
4256,3002,41,303,0,688,173,8463,1373,9836,-0.00767707,0.0338383,-0.999398,0
6890,3777,33,435,0,965,246,12346,1392,13738,-0.00845682,0.0346813,-0.999363,0
4211,2572,22,300,0,671,171,7947,1169,9116,-0.00492915,0.0372831,-0.999293,0
5561,3352,28,389,0,961,230,10521,1796,12317,-0.00406912,0.0318199,-0.999485,0
5500,2924,20,276,0,623,159,9502,1142,10644,-0.00573265,0.0284521,-0.999579,0
6137,3775,30,477,0,1023,267,11709,1479,13188,-0.00460993,0.0313322,-0.999498,0
3000,1842,16,215,0,496,125,5694,991,6685,-0.00720434,0.0308701,-0.999497,0
6130,3753,30,476,0,971,251,11611,1389,13000,0.00544418,0.0243879,-0.999688,0
3132,2109,20,303,0,635,136,6335,1042,7377,-0.00173306,0.0395953,-0.999214,0
5959,3692,31,456,0,984,249,11371,2015,13386,-0.00145972,0.0321552,-0.999482,0
6023,3677,30,428,0,979,171,11308,1380,12688,-0.00345842,0.0359901,-0.999346,0
3193,1979,17,227,0,511,131,6058,1246,7304,-0.006026,0.0352918,-0.999359,0
6120,3792,31,437,0,1057,262,11699,2065,13764,-0.00633486,0.0315139,-0.999483,0
6130,3761,37,459,0,990,253,11630,1484,13114,0.00152978,0.0270074,-0.999634,0
3164,1902,15,253,0,507,131,5972,1100,7072,0.000935998,0.0391457,-0.999233,0
6048,3719,28,400,0,860,221,11276,1779,13055,-0.00250531,0.0358662,-0.999353,0
3902,2389,19,316,0,614,158,7398,1331,8729,-0.0125288,0.045831,-0.998871,0
3989,2413,20,274,0,648,156,7500,1318,8818,-0.00978035,0.0492204,-0.99874,0
6041,3653,30,432,0,944,242,11342,2109,13451,-0.016594,0.0647334,-0.997765,0
3182,1889,16,223,0,488,126,5924,1131,7055,-0.00791438,0.0591756,-0.998216,0
5987,3581,27,392,0,989,242,11218,1521,12739,-0.00807392,0.0861513,-0.996249,0
4860,2904,26,331,0,750,190,9061,1762,10823,-0.00900627,0.103148,-0.994625,0
4820,2949,31,460,0,922,188,9370,1715,11085,0.0154498,0.123782,-0.992189,0
4396,2574,22,293,0,643,163,8091,1539,9630,-0.00309587,0.118478,-0.992952,0
4757,2512,23,295,0,695,168,8450,1677,10127,0.00240722,0.120597,-0.992699,0
3565,1734,17,219,0,472,133,6140,1140,7280,-0.0108255,0.107487,-0.994148,0
6368,2809,30,344,0,836,198,10585,2194,12779,-0.0288012,0.103681,-0.994194,0
4357,1896,28,330,0,494,126,7231,1522,8753,-0.0465398,0.133463,-0.989961,0
5558,2034,27,282,0,632,162,8695,1980,10675,-0.0232419,0.137999,-0.99016,0
4171,1379,23,190,0,432,116,6311,1333,7644,-0.019382,0.130258,-0.991291,0
6219,2161,29,273,0,657,157,9496,1958,11454,-0.0105785,0.163358,-0.98651,0
5544,1934,28,261,0,553,142,8462,1921,10383,-0.0136178,0.160209,-0.986989,0
4812,1275,19,166,0,362,93,6727,1455,8182,-0.0116085,0.167071,-0.985877,0
5866,2176,33,237,0,509,131,8952,2235,11187,-0.0133799,0.158999,-0.987188,0
6046,1186,25,196,0,326,87,7866,1191,9057,-0.0184284,0.171426,-0.985025,0
3522,846,16,116,0,252,65,4817,1715,6532,-0.01343,0.170705,-0.985231,0
5516,1226,27,179,0,371,96,7415,1980,9395,-0.0170439,0.183393,-0.982892,0
6073,1069,26,182,0,337,88,7775,1990,9765,0.0146869,0.169189,-0.985474,0
4002,686,18,101,0,209,54,5070,1456,6526,0.0130849,0.120234,-0.992659,0
5668,911,27,135,0,270,73,7084,2167,9251,0.0166868,0.158282,-0.987253,0
5344,938,25,149,0,274,75,6805,2061,8866,0.00185483,0.136756,-0.990603,0
5432,891,25,128,0,259,71,6806,2188,8994,-0.0115002,0.175891,-0.984343,0
5471,943,47,139,0,277,76,6953,1974,8927,-0.0277132,0.180334,-0.983215,0
3770,739,17,109,0,211,58,4904,1520,6424,0.00128145,0.122016,-0.992527,0
5772,1234,27,175,0,347,102,7657,2541,10198,-0.0117026,0.146429,-0.989152,0
5813,1445,27,189,0,395,119,7988,2111,10099,-0.0112923,0.144612,-0.989424,0
5776,1432,27,227,0,411,116,7989,1654,9643,-0.0136687,0.120557,-0.992612,0
3015,827,14,126,0,243,68,4293,1183,5476,-0.00653022,0.0988463,-0.995081,0
5781,1747,26,240,0,497,135,8426,2156,10582,-0.0148574,0.134862,-0.990753,0
5935,2017,27,282,0,571,151,8983,1924,10907,-0.00502549,0.171176,-0.985228,0
4069,1555,18,203,0,432,113,6390,2199,8589,-0.0104301,0.200398,-0.979659,0
6106,2542,26,326,0,695,182,9877,4026,13903,-0.0278158,0.193093,-0.980786,0
4211,2041,19,255,0,555,141,7222,2390,9612,-0.103154,0.244722,-0.964091,0
6179,3382,27,416,0,862,224,11090,3189,14279,-0.166791,0.388032,-0.906428,0
4405,2745,18,312,0,677,175,8332,2270,10602,-0.183693,0.401782,-0.897122,0
3384,2140,14,244,0,539,137,6458,2293,8751,-0.00528936,0.129286,-0.991593,0
6492,3935,28,448,0,1056,263,12222,2049,14271,-0.0109934,0.156277,-0.987652,0
4348,2436,21,288,0,643,162,7898,1393,9291,-0.0177012,0.129725,-0.991392,0
6190,3206,27,369,0,841,212,10845,1827,12672,0.0145754,0.173374,-0.984748,0
5385,2428,24,287,0,671,172,8967,1834,10801,-0.00454311,0.162058,-0.986771,0
5260,1770,23,232,0,534,131,7950,1352,9302,0.00235126,0.127106,-0.991886,0
5642,1640,26,214,0,512,125,8159,2129,10288,-0.00780091,0.177238,-0.984137,0
5601,1495,26,197,0,464,112,7895,2134,10029,-0.00938801,0.143649,-0.989584,0
5594,1412,25,191,0,435,108,7765,2060,9825,-0.0174588,0.163163,-0.986445,0
4990,1251,40,180,0,381,94,6936,2104,9040,-0.0242686,0.161818,-0.986522,0
5627,1426,26,187,0,426,105,7797,2374,10171,-0.0458413,0.27087,-0.961524,0
5723,1490,28,198,0,450,112,8001,2201,10202,-0.0320856,0.303367,-0.952333,0
4020,1038,17,152,0,303,76,5606,1548,7154,-0.0101245,0.305889,-0.952013,0
5706,1480,22,203,0,429,112,7952,2338,10290,-0.018432,0.275343,-0.961169,0
5699,1560,22,221,0,457,117,8076,1697,9773,0.0136511,0.323545,-0.946114,0
3674,1027,14,137,0,303,83,5238,1540,6778,-0.0113803,0.313239,-0.949606,0
5805,1869,36,244,0,552,142,8648,2656,11304,-0.0264164,0.339222,-0.940335,0
5959,2142,24,279,0,607,157,9168,2780,11948,-0.0300915,0.377868,-0.92537,0
4086,1777,16,216,0,481,123,6699,1646,8345,-0.00216611,0.358677,-0.933459,0
5985,3041,26,362,0,805,208,10427,2334,12761,-0.00373411,0.429623,-0.903001,0
6096,3576,28,428,0,893,208,11229,1407,12636,0.00298167,0.40924,-0.912422,0
3276,2077,16,239,0,535,136,6279,1088,7367,-0.00385944,0.345433,-0.938436,0
6301,3585,31,433,0,941,235,11526,1752,13278,0.0169561,0.358781,-0.933268,0
5386,2695,37,355,0,743,185,9401,1921,11322,0.0153124,0.327745,-0.944642,0
6011,2630,39,335,0,884,259,10158,2180,12338,0.0128214,0.368135,-0.929684,0
4053,1454,22,193,0,437,107,6266,1560,7826,0.00779563,0.272845,-0.962026,0
5773,1933,28,253,0,567,143,8697,2496,11193,0.0423664,0.333222,-0.941896,0
5732,1851,28,241,0,586,151,8589,2248,10837,0.0204699,0.240025,-0.970551,0
4330,1196,18,177,0,354,111,6186,1582,7768,0.0239407,0.222196,-0.974708,0
5057,1444,24,187,0,410,139,7261,2061,9322,0.00570193,0.217692,-0.976001,0
5576,1316,26,178,0,393,99,7588,2578,10166,0.00750067,0.21647,-0.97626,0
5958,1093,28,153,0,490,135,7857,1558,9415,0.00995174,0.193549,-0.98104,0
3445,589,31,86,0,187,46,4384,1381,5765,0.0163314,0.194664,-0.980734,0
