Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5047,326,80,70,0,81,22,5626,5005,10631,-0.0837016,-0.0797711,-0.993293,0
5146,256,37,51,0,73,24,5587,6719,12306,0.0601831,-0.250282,-0.966301,0
3406,158,20,32,0,54,14,3684,3313,6997,0.0801316,-0.303787,-0.949364,0
4939,218,28,45,0,80,21,5331,6047,11378,0.086529,-0.425386,-0.900866,0
5239,222,30,54,0,79,22,5646,4715,10361,0.0344643,-0.352031,-0.935354,0
5001,209,28,50,0,75,21,5384,3763,9147,-0.0354442,-0.328242,-0.943928,0
5180,209,29,48,0,75,21,5562,3157,8719,-0.0446922,-0.301367,-0.95246,0
4508,203,26,44,0,97,22,4900,2890,7790,-0.0371119,-0.314847,-0.948417,0
5043,227,29,57,0,76,25,5457,3496,8953,-0.0546411,-0.297294,-0.953221,0
5493,209,30,49,0,74,20,5875,4319,10194,-0.040909,-0.276686,-0.960089,0
3458,155,19,33,0,52,14,3731,2446,6177,-0.0568947,-0.275639,-0.959576,0
5010,205,28,46,0,73,20,5382,3048,8430,-0.0492566,-0.272311,-0.960948,0
5068,212,29,47,0,71,20,5447,3432,8879,-0.0347821,-0.223473,-0.974089,0
4903,220,43,47,0,73,20,5306,2583,7889,-0.432077,-0.236677,-0.870226,0
4988,220,39,51,0,78,21,5397,3982,9379,-0.34826,-0.176934,-0.920548,0
4962,224,27,47,0,76,21,5357,7550,12907,-0.243922,-0.268714,-0.931823,0
3417,156,21,34,0,56,16,3700,7203,10903,-0.230529,-0.212961,-0.949476,0
4081,197,23,39,0,62,17,4419,3355,7774,-0.22438,-0.324387,-0.918927,0
4958,224,29,48,0,77,21,5357,5446,10803,-0.146434,-0.249187,-0.957321,0
5067,212,29,48,0,75,20,5451,5181,10632,-0.0733088,-0.235221,-0.969173,0
4525,195,25,45,0,68,18,4876,3312,8188,-0.228902,-0.266351,-0.936302,0
4731,187,24,46,0,100,27,5115,6943,12058,-0.160822,-0.239348,-0.957522,0
4542,198,26,42,0,78,26,4912,3925,8837,-0.210311,-0.337387,-0.917573,0
2955,132,21,41,0,45,12,3206,3635,6841,-0.147691,-0.298278,-0.942983,0
5047,255,28,52,0,75,20,5477,8827,14304,-0.233012,-0.253269,-0.938914,0
3470,151,21,32,0,53,15,3742,6292,10034,-0.255687,-0.451719,-0.854736,0
3453,139,19,32,0,52,13,3708,2390,6098,-0.167061,-0.397741,-0.90216,0
5827,222,29,49,0,77,21,6225,3280,9505,-0.118398,-0.34795,-0.930007,0
4978,211,29,50,0,74,21,5363,4985,10348,-0.0663145,-0.295693,-0.952979,0
3274,134,18,31,0,47,14,3518,4225,7743,-0.0712245,-0.297312,-0.95212,0
4981,213,29,50,0,76,20,5369,4149,9518,-0.0538414,-0.296852,-0.953404,0
4940,246,30,50,0,75,21,5362,6496,11858,-0.0802858,-0.296475,-0.95166,0
