Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6421,2314,98,263,0,564,152,9812,3267,13079,-0.0524131,-0.0788727,-0.995506,0
3716,1296,16,173,0,380,130,5711,1910,7621,-0.0503629,-0.00210815,-0.998729,0
6019,2026,26,268,0,603,149,9091,2702,11793,-0.00701423,0.0241462,-0.999684,0
3658,1378,17,172,0,362,96,5683,1327,7010,-0.00790205,0.0293062,-0.999539,0
4790,1690,21,225,0,485,126,7337,1716,9053,-0.0155462,0.0225197,-0.999626,0
6531,2038,26,271,0,564,151,9581,1948,11529,-0.017158,0.0126133,-0.999773,0
5679,1923,25,270,0,531,163,8591,1762,10353,-0.0112488,0.0168966,-0.999794,0
3758,1270,17,167,0,380,97,5689,1280,6969,-0.010027,0.0274773,-0.999572,0
5897,2560,29,261,0,618,162,9527,2075,11602,-0.0229172,0.0244784,-0.999438,0
6144,1999,40,260,0,544,146,9133,1450,10583,-0.00164055,0.0227347,-0.99974,0
3077,1043,15,148,0,304,75,4662,1137,5799,-0.00846501,0.0238571,-0.99968,0
5714,2008,49,260,0,496,132,8659,1790,10449,-0.0258036,0.0250042,-0.999354,0
5349,1978,52,241,0,501,134,8255,1928,10183,-0.00932147,0.027466,-0.999579,0
5713,1994,27,290,0,550,148,8722,1484,10206,0.00748628,0.0225547,-0.999718,0
3986,1361,18,180,0,382,99,6026,1415,7441,-0.0164086,0.0144626,-0.999761,0
5929,1928,26,290,0,567,148,8888,1832,10720,-0.00889084,0.0215559,-0.999728,0
5771,1927,29,252,0,533,143,8655,1993,10648,-0.0205009,0.0220434,-0.999547,0
5295,1385,19,179,0,362,97,7337,1063,8400,-0.00174014,0.0213427,-0.999771,0
2081,682,10,89,0,188,50,3100,715,3815,-0.0222087,0.0277345,-0.999369,0
2237,732,11,97,0,202,54,3333,799,4132,-0.00226896,0.0190291,-0.999816,0
6117,1919,28,258,0,522,140,8984,2070,11054,-0.00733972,0.0234683,-0.999698,0
5740,1859,28,249,0,558,141,8575,2099,10674,-0.0251716,0.0255415,-0.999357,0
5772,1880,44,252,0,526,139,8613,2268,10881,-0.0141229,0.00663708,-0.999878,0
4018,1337,21,175,0,401,95,6047,1568,7615,-0.00790307,0.0244878,-0.999669,0
6003,1931,28,254,0,555,143,8914,2078,10992,-0.0196008,0.0243532,-0.999511,0
6060,1853,28,270,0,505,138,8854,2043,10897,-0.0262266,0.0227064,-0.999398,0
6088,2087,29,242,0,569,137,9152,2153,11305,-0.02581,0.0433361,-0.998727,0
5126,1587,25,216,0,435,118,7507,2045,9552,-0.036392,0.0581527,-0.997644,0
5712,1840,28,244,0,487,131,8442,3115,11557,-0.0181115,0.0416292,-0.998969,0
5737,1771,29,242,0,502,133,8414,1811,10225,-0.0113825,0.0387288,-0.999185,0
3994,1468,22,173,0,366,96,6119,1503,7622,-0.00451331,0.0170777,-0.999844,0
5625,1825,28,262,0,513,136,8389,2151,10540,-0.011805,0.00615045,-0.999911,0
6048,1820,29,245,0,679,208,9029,2256,11285,0.000524933,0.022915,-0.999737,0
5996,1812,29,244,0,489,144,8714,1516,10230,-0.0117331,0.0209486,-0.999712,0
3862,1296,20,168,0,342,93,5781,1457,7238,-0.0040466,0.0204463,-0.999783,0
5676,1848,30,243,0,497,134,8428,2153,10581,-0.0108982,0.0298268,-0.999496,0
5710,1812,29,258,0,494,135,8438,2027,10465,-0.021859,0.0175908,-0.999606,0
5752,1307,25,174,0,343,92,7693,1271,8964,-0.0198216,0.0280515,-0.99941,0
2387,685,12,88,0,193,48,3413,769,4182,-0.0181152,0.0309005,-0.999358,0
1937,622,10,82,0,168,45,2864,701,3565,-0.0222432,0.0216862,-0.999517,0
5819,1949,29,251,0,491,132,8671,2158,10829,-0.00310098,0.0277948,-0.999609,0
6851,1924,28,247,0,491,131,9672,2191,11863,-0.01042,0.0256539,-0.999617,0
5793,1897,30,245,0,566,140,8671,1549,10220,-0.00954539,0.0312654,-0.999466,0
4150,1620,61,172,0,343,93,6439,1370,7809,-0.0090588,0.0454736,-0.998924,0
5185,1610,27,220,0,539,152,7733,1946,9679,-0.00245685,0.0730502,-0.997325,0
5592,1826,31,245,0,510,136,8340,1968,10308,0.00168173,0.0342434,-0.999412,0
6450,1988,32,294,0,530,144,9438,1492,10930,-0.0163412,0.00666303,-0.999844,0
4151,1378,22,180,0,373,99,6203,1696,7899,-0.0198558,0.000949356,-0.999802,0
4174,1372,21,182,0,438,104,6291,1411,7702,-0.00442943,0.0155437,-0.999869,0
6183,2113,31,279,0,577,153,9336,2105,11441,-0.0116049,0.00402887,-0.999925,0
6690,2154,30,283,0,610,158,9925,1467,11392,-0.0331364,0.00885716,-0.999412,0
6259,2150,28,286,0,650,188,9561,1550,11111,-0.0194729,0.000102586,-0.99981,0
4208,1509,21,197,0,431,111,6477,1525,8002,-0.0149923,0.000860921,-0.999887,0
6195,2177,36,286,0,637,164,9495,2207,11702,-0.0353425,-0.0138838,-0.999279,0
4679,1570,20,202,0,444,115,7030,1574,8604,0.00878206,0.0142852,-0.999859,0
5894,2218,27,314,0,643,168,9264,1961,11225,0.00319753,0.0236025,-0.999716,0
6240,2243,27,316,0,718,170,9714,2064,11778,-0.0169659,0.0234379,-0.999581,0
6060,2231,29,292,0,640,164,9416,2213,11629,-0.031463,0.00831926,-0.99947,0
6101,2187,27,283,0,640,195,9433,2249,11682,-0.0167645,0.0103109,-0.999806,0
4673,1554,21,195,0,420,110,6973,1464,8437,-0.0210861,0.0391284,-0.999012,0
6071,2130,40,308,0,624,159,9332,2573,11905,-0.0143301,0.0208832,-0.999679,0
6235,2104,31,300,0,563,149,9382,1987,11369,0.00232336,0.0398701,-0.999202,0
5291,1753,26,245,0,539,131,7985,1823,9808,-0.0138458,0.0256263,-0.999576,0
5082,1773,36,228,0,486,127,7732,1888,9620,-0.0132926,0.0423372,-0.999015,0
3617,1082,19,125,0,277,69,5189,985,6174,-0.0275589,0.0314509,-0.999125,0
3869,1268,20,169,0,356,95,5777,1450,7227,-0.0190447,0.0318393,-0.999312,0
5793,1825,30,244,0,524,135,8551,2074,10625,-0.0380421,0.0301261,-0.998822,0
5728,1782,30,240,0,494,130,8404,3918,12322,-0.0341869,0.0456579,-0.998372,0
4886,1188,20,157,0,343,88,6682,2017,8699,0.0188689,0.0521407,-0.998461,0
2372,705,12,96,0,202,53,3440,893,4333,0.0389687,0.0654499,-0.997095,0
5539,1646,30,225,0,460,122,8022,2251,10273,0.00461927,0.0408458,-0.999155,0
5734,1598,30,230,0,451,121,8164,2037,10201,-0.00214954,0.0183177,-0.99983,0
5070,1458,25,198,0,408,106,7265,1982,9247,0.0141238,0.0141817,-0.9998,0
5540,1572,29,218,0,452,118,7929,2141,10070,0.00947751,0.0168403,-0.999813,0
5661,1579,30,219,0,446,117,8052,2177,10229,0.0187985,0.0279646,-0.999432,0
5546,1589,28,216,0,449,118,7946,2043,9989,0.020527,0.0246025,-0.999487,0
5623,1585,28,218,0,464,120,8038,2039,10077,0.00678894,0.0212173,-0.999752,0
5622,1567,29,218,0,449,119,8004,2243,10247,0.005204,0.0225737,-0.999732,0
5600,1600,31,235,0,453,119,8038,2034,10072,0.00134441,0.0147528,-0.99989,0
5933,1595,29,223,0,457,120,8357,2102,10459,0.00948752,0.0209165,-0.999736,0
5536,1624,29,219,0,450,119,7977,2056,10033,0.0166831,0.0149114,-0.99975,0
6280,1641,29,220,0,468,120,8758,2176,10934,0.0106722,0.0284221,-0.999539,0
5623,1706,44,240,0,449,119,8181,2032,10213,0.0128414,0.0317272,-0.999414,0
5508,1579,29,218,0,453,118,7905,2147,10052,0.012808,0.0162687,-0.999786,0
5656,1689,28,218,0,608,127,8326,2076,10402,0.00958785,0.028503,-0.999548,0
5491,1584,29,230,0,454,120,7908,2047,9955,0.0194056,0.064838,-0.997707,0
5710,1642,30,220,0,462,123,8187,2162,10349,0.0117795,0.0536311,-0.998491,0
5735,1659,29,234,0,458,118,8233,1554,9787,0.0303662,0.0297351,-0.999096,0
2843,691,12,107,0,194,52,3899,913,4812,0.0108917,0.0264056,-0.999592,0
2133,625,11,85,0,178,46,3078,930,4008,0.0124647,0.0242782,-0.999628,0
5457,2042,28,241,0,464,142,8374,2053,10427,0.00912255,0.0053721,-0.999944,0
5514,1613,29,248,0,459,122,7985,1818,9803,0.0178519,0.031019,-0.999359,0
5620,1591,29,220,0,489,127,8076,2185,10261,0.0225619,0.0475371,-0.998615,0
5519,1617,29,218,0,480,120,7983,2091,10074,0.016406,0.00685568,-0.999842,0
5536,1655,29,221,0,459,120,8020,2144,10164,0.00708496,0.0198602,-0.999778,0
5483,1664,33,245,0,507,127,8059,2120,10179,0.0171294,0.0144921,-0.999748,0
5606,1658,29,222,0,459,120,8094,1416,9510,0.00695466,0.0277272,-0.999591,0
4551,1135,20,153,0,319,82,6260,1492,7752,0.0169365,0.0193126,-0.99967,0
5545,1615,29,218,0,488,122,8017,2195,10212,0.0194099,0.0476225,-0.998677,0
5710,1605,29,220,0,476,122,8162,2108,10270,0.0204641,0.0395594,-0.999008,0
5459,1671,32,225,0,469,123,7979,2236,10215,0.014821,0.0232665,-0.999619,0
5471,1609,27,216,0,454,119,7896,2068,9964,0.00369055,0.0189613,-0.999813,0
5563,1646,28,223,0,472,123,8055,2007,10062,0.00187622,0.0247084,-0.999693,0
5637,1613,52,224,0,459,119,8104,2036,10140,-0.00442856,0.0198136,-0.999794,0
5499,1738,33,251,0,463,123,8107,2074,10181,0.0245635,0.0193813,-0.99951,0
5843,2127,29,236,0,458,124,8817,2097,10914,0.0145326,0.0170394,-0.999749,0
5698,1672,30,222,0,522,127,8271,2049,10320,0.0021501,0.0228184,-0.999737,0
6417,1619,28,225,0,455,120,8864,2242,11106,0.00769314,-0.000632412,-0.99997,0
5425,1658,28,220,0,461,121,7913,2131,10044,0.022247,0.015132,-0.999638,0
6476,1612,30,221,0,459,121,8919,1726,10645,0.00609011,0.0336903,-0.999414,0
3867,1136,20,151,0,320,83,5577,1503,7080,0.0218798,0.0637953,-0.997723,0
5525,1608,29,221,0,455,120,7958,1596,9554,0.0191573,0.0411818,-0.998968,0
5077,1453,27,223,0,412,138,7330,2181,9511,0.0282996,0.0686893,-0.997237,0
5640,1612,28,218,0,458,120,8076,2255,10331,0.0102245,0.0411564,-0.9991,0
6070,1626,31,228,0,463,121,8539,2169,10708,-0.00214772,0.0178714,-0.999838,0
5739,1619,31,217,0,456,119,8181,2103,10284,0.0391787,0.0414088,-0.998374,0
