Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6134,4551,112,587,4231,65,206,15886,1847,17733,0.0348478,-0.000209231,-0.999393,0
2345,1681,19,214,1696,32,123,6110,1175,7285,0.0297298,-0.0089501,-0.999518,0
2624,1599,15,205,1583,21,113,6160,1170,7330,0.0292568,0.0210148,-0.999351,0
5195,3643,41,597,5052,74,317,14919,2314,17233,0.026234,-0.00977427,-0.999608,0
3616,2443,24,309,2017,26,139,8574,1236,9810,0.049912,-0.00260383,-0.99875,0
2210,1510,15,193,1522,31,100,5581,987,6568,0.00965067,0.00728444,-0.999927,0
5316,3469,32,471,3575,71,214,13148,2398,15546,0.0222905,0.00823453,-0.999718,0
2214,1484,14,191,1453,23,135,5514,1113,6627,0.0284848,0.00226977,-0.999592,0
5230,3502,39,476,3540,47,271,13105,1778,14883,0.0378675,0.00557658,-0.999267,0
2936,2027,21,222,1771,28,120,7125,1523,8648,0.0282599,0.00251619,-0.999597,0
5389,3545,41,457,3459,50,279,13220,2001,15221,0.0218804,0.00478605,-0.999749,0
2687,1851,22,221,1798,32,129,6740,1498,8238,0.0381601,0.0101256,-0.99922,0
5144,3606,45,500,3519,84,244,13142,2683,15825,0.00763291,0.00701366,-0.999946,0
3604,2485,24,282,2400,40,156,8991,2035,11026,0.0200583,-0.00206333,-0.999797,0
5352,3442,35,387,3095,63,224,12598,2243,14841,0.0155469,-0.000685467,-0.999879,0
3306,2274,27,278,2224,42,156,8307,1524,9831,0.0174676,0.00405958,-0.999839,0
4383,3059,41,384,2867,54,200,10988,2133,13121,0.022871,0.00963338,-0.999692,0
3130,2139,25,259,2082,38,147,7820,1664,9484,0.0263096,0.00300529,-0.999649,0
5437,3598,40,436,3453,63,241,13268,1964,15232,0.0340702,0.0119933,-0.999347,0
5417,3561,41,425,3478,84,241,13247,2405,15652,0.0316425,0.000344623,-0.999499,0
2739,1608,18,178,1486,27,102,6158,1038,7196,0.0283493,-0.000519684,-0.999598,0
1600,1077,14,130,968,20,64,3873,762,4635,0.0201801,-0.0112729,-0.999733,0
5409,3485,41,409,2949,30,157,12480,1683,14163,0.0372571,0.00228034,-0.999303,0
2907,1904,19,244,1845,25,141,7085,1443,8528,0.0149934,0.0256761,-0.999558,0
