Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
4873,3462,85,412,3754,41,241,12868,2016,14884,-0.0117586,0.0182799,-0.999764,0
2586,1740,18,206,1683,17,113,6363,1753,8116,0.00277258,0.0551415,-0.998475,0
4774,3235,32,382,3286,35,219,11963,2788,14751,-0.0133826,0.0285242,-0.999504,0
4743,3232,30,346,3200,35,212,11798,2353,14151,-0.00959732,0.0265534,-0.999601,0
2450,1723,18,201,1689,19,111,6211,1474,7685,-0.0175907,0.0294892,-0.99941,0
4836,3291,40,404,3233,35,218,12057,4430,16487,-0.0293318,-0.0020349,-0.999568,0
3318,2283,24,269,2203,23,147,8267,1864,10131,-0.0109157,0.0244156,-0.999642,0
3917,2751,27,312,2615,27,175,9824,2558,12382,-0.0112255,0.015833,-0.999812,0
4707,3280,35,406,3197,37,256,11918,1778,13696,-0.010462,-0.0107021,-0.999888,0
2468,1750,19,201,1655,17,112,6222,1608,7830,0.00274828,0.0283636,-0.999594,0
4777,3346,34,381,3301,36,221,12096,3470,15566,-0.0323139,0.0241443,-0.999186,0
4705,3276,36,379,3127,23,149,11695,2240,13935,-0.000722042,0.0460919,-0.998937,0
2530,1743,18,199,1708,17,113,6328,1755,8083,-0.0288401,-0.0010264,-0.999584,0
3900,2669,27,309,3328,30,178,10441,2404,12845,-0.00808404,-0.00567824,-0.999951,0
3803,2681,26,307,2721,28,178,9744,2351,12095,-0.00281691,0.012215,-0.999921,0
4755,3302,33,388,3218,35,215,11946,2380,14326,-0.0209062,0.0246185,-0.999478,0
3243,2604,24,262,2246,24,149,8552,2111,10663,-0.0118961,0.0123219,-0.999853,0
3842,2272,24,263,1903,17,115,8436,1588,10024,-0.0237955,0.0226348,-0.999461,0
2023,1397,15,161,1410,15,93,5114,1443,6557,0.00168248,-0.0115332,-0.999932,0
4921,3281,35,384,3212,34,217,12084,3376,15460,-0.0132505,0.014489,-0.999807,0
3174,2263,23,266,2176,22,146,8070,2057,10127,-0.0461249,0.0390594,-0.998172,0
4834,3274,32,416,3252,34,218,12060,2635,14695,-0.0419933,0.0530599,-0.997708,0
4695,3089,26,260,2193,26,149,10438,1702,12140,-0.00303818,0.0220245,-0.999753,0
2254,1387,14,161,1159,11,75,5061,1163,6224,0.017111,0.0195167,-0.999663,0
4825,3334,36,404,3303,34,185,12121,2120,14241,-0.0223192,0.0191611,-0.999567,0
2466,1720,19,198,1684,17,113,6217,1334,7551,-0.0181719,0.0322303,-0.999315,0
4245,2943,29,339,2878,31,228,10693,2553,13246,-0.0100304,-0.0105214,-0.999894,0
4715,3263,42,382,3164,33,215,11814,2938,14752,-0.0218321,0.0192483,-0.999576,0
2966,2094,22,240,2086,21,135,7564,2065,9629,0.000250333,0.0149335,-0.999888,0
4646,3326,34,382,3196,32,213,11829,1772,13601,-0.0225739,0.00224343,-0.999743,0
3190,2438,25,266,2151,22,145,8237,1838,10075,-0.00388635,0.0178672,-0.999833,0
4828,3428,34,362,3137,30,234,12053,2916,14969,-0.0373958,0.0243415,-0.999004,0
4408,3144,37,359,2952,31,194,11125,1964,13089,-0.0147566,0.0282876,-0.999491,0
2300,1602,17,204,1606,17,108,5854,1409,7263,-0.0179301,0.0272961,-0.999467,0
5113,3554,34,380,3355,35,218,12689,2036,14725,-0.0345052,0.0219948,-0.999162,0
4673,3239,34,375,3251,35,217,11824,3818,15642,-0.0412676,0.0177878,-0.99899,0
2872,1747,17,200,1716,14,91,6657,1499,8156,-0.0308204,-0.0032743,-0.99952,0
1440,902,10,103,910,9,59,3433,800,4233,0.0134436,0.0211,-0.999687,0
1737,1313,15,173,1265,14,87,4604,1281,5885,-0.00510942,0.0340708,-0.999406,0
4347,2876,29,367,3037,32,194,10882,2754,13636,-0.019965,0.0203452,-0.999594,0
6742,4046,31,348,2303,27,153,13650,1669,15319,-0.0080055,0.0107623,-0.99991,0
1907,1384,14,154,1317,14,87,4877,1353,6230,-0.0103214,0.0293141,-0.999517,0
4851,3312,33,382,3352,34,218,12182,3074,15256,-0.0345028,0.0361369,-0.998751,0
4199,3009,32,341,2482,21,138,10222,1824,12046,0.00720204,0.0263042,-0.999628,0
