Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
7093,2354,67,311,2233,57,150,12265,16835,29100,-0.00487553,0.0137737,-0.999893,0
1852,636,10,81,614,15,45,3253,3865,7118,-0.00313113,0.110537,-0.993867,0
1917,716,10,94,706,18,52,3513,3672,7185,-0.018332,0.0228471,-0.999571,0
5931,2029,49,260,1981,46,149,10445,9374,19819,-0.0465555,0.0778694,-0.995876,0
3066,1077,15,137,1046,23,77,5441,7302,12743,-0.0222771,-0.00385211,-0.999744,0
4227,1538,20,173,1287,29,96,7370,9274,16644,0.0412249,0.0593844,-0.997384,0
3927,1237,17,162,1205,29,89,6666,8539,15205,-0.0392982,0.012408,-0.99915,0
2756,974,15,125,1073,34,105,5082,6873,11955,-0.00405386,0.130235,-0.991475,0
3169,1142,17,143,1202,24,79,5776,8606,14382,-0.0107545,0.0289912,-0.999522,0
3234,1067,15,139,1029,23,77,5584,7484,13068,-0.00271834,-0.0203714,-0.999789,0
6206,2058,30,265,2066,51,153,10829,9577,20406,-0.0203561,0.140233,-0.989909,0
2530,874,13,112,833,16,53,4431,3635,8066,-0.0244154,0.073299,-0.997011,0
1655,554,8,71,536,12,40,2876,4517,7393,-0.0325136,0.0804629,-0.996227,0
1854,622,9,79,592,13,44,3213,3827,7040,-0.0637903,0.0675238,-0.995676,0
6189,2059,28,265,1981,69,150,10741,7627,18368,-0.0978104,0.158348,-0.982527,0
2524,886,12,115,850,19,63,4469,5190,9659,-0.128815,0.0437917,-0.990701,0
3105,1027,21,157,1062,25,77,5474,5043,10517,-0.0195451,0.0279942,-0.999417,0
4505,1587,22,199,1517,35,116,7981,6939,14920,-0.0803961,0.0557606,-0.995202,0
2664,933,13,119,917,22,81,4749,7222,11971,-0.11607,0.0849865,-0.989598,0
3817,1280,22,166,1372,40,131,6828,8154,14982,-0.112619,0.0146454,-0.99353,0
3747,1293,18,166,1314,30,95,6663,9739,16402,-0.0287289,0.0279487,-0.999196,0
3021,999,15,132,981,22,73,5243,4687,9930,-0.0138817,0.0827496,-0.996474,0
6087,2095,37,374,2268,46,153,11060,9895,20955,0.0128037,0.084222,-0.996365,0
3100,1094,16,139,1081,25,80,5535,8082,13617,0.0189639,0.014922,-0.999709,0
2381,830,12,107,805,20,60,4215,6093,10308,-0.0408049,0.0578623,-0.99749,0
4075,1415,19,179,1349,33,100,7170,10278,17448,-0.0161279,0.0229516,-0.999606,0
3811,1278,17,216,1274,29,94,6719,8657,15376,-0.0594683,0.0977602,-0.993432,0
2976,1006,14,130,979,22,72,5199,6480,11679,-0.0143926,0.0509793,-0.998596,0
5850,2017,28,262,1967,44,147,10315,7933,18248,-0.0511758,0.0602471,-0.996871,0
3845,1121,15,140,1040,58,89,6308,3859,10167,-0.00788909,0.0967663,-0.995276,0
3742,1311,18,169,1283,32,102,6657,8301,14958,-0.0181453,0.0774578,-0.99683,0
3772,1343,18,169,1305,27,95,6729,10158,16887,-0.0200694,0.0854946,-0.996136,0
2386,830,12,107,813,18,61,4227,5711,9938,-0.127006,0.0321978,-0.991379,0
3354,1186,16,151,1125,69,83,5984,7059,13043,0.0158382,-0.00214203,-0.999872,0
4243,1498,20,184,1402,31,105,7483,10568,18051,-0.00809551,0.0125834,-0.999888,0
2525,883,12,113,839,30,63,4465,5348,9813,-0.0458584,0.030748,-0.998475,0
3568,1225,16,158,1186,28,89,6270,13257,19527,-0.00995185,0.0175846,-0.999796,0
2775,982,14,125,988,24,70,4978,6165,11143,-0.061543,0.0276195,-0.997722,0
4179,1497,20,180,1412,33,103,7424,7774,15198,-0.0526412,0.0568288,-0.996995,0
5433,1875,27,240,1791,42,147,9555,11495,21050,-0.0309563,0.094818,-0.995013,0
2442,831,12,108,811,46,72,4322,6388,10710,-0.0140384,0.0512018,-0.99859,0
4173,1406,19,209,1402,35,103,7347,11665,19012,-0.0394767,0.0304222,-0.998757,0
3647,1081,15,154,1037,24,78,6036,7279,13315,0.0377238,0.068327,-0.99695,0
4810,1710,23,214,1601,34,119,8511,12246,20757,-0.0275593,0.0421766,-0.99873,0
2795,961,14,133,932,21,70,4926,6700,11626,-0.0263584,0.062113,-0.997721,0
3222,1085,15,139,1036,29,81,5607,8317,13924,-0.0373557,0.0811051,-0.996005,0
4863,1742,26,233,1614,42,120,8640,10683,19323,-0.00344967,0.0954636,-0.995427,0
2810,953,14,123,924,23,68,4915,6211,11126,-0.0459968,0.0837603,-0.995424,0
2958,991,14,139,974,22,74,5172,6313,11485,0.000234367,0.0882135,-0.996102,0
5973,2001,29,265,1940,44,147,10399,9958,20357,-0.0037377,0.00835176,-0.999958,0
3145,1104,15,139,1079,25,94,5601,9913,15514,0.0118016,0.00879268,-0.999892,0
2504,873,12,111,850,18,63,4431,4963,9394,-0.0397187,0.0637565,-0.997175,0
6036,2073,30,264,2010,45,151,10609,10666,21275,-0.0558799,0.134927,-0.989279,0
3138,1115,15,151,1050,23,78,5570,6148,11718,0.00261007,0.0198576,-0.999799,0
3466,1206,17,156,1207,27,93,6172,5032,11204,-0.0769461,0.0569623,-0.995407,0
5963,2048,29,284,2004,48,150,10526,11240,21766,-0.108036,0.0281268,-0.993749,0
2527,873,14,125,834,21,72,4466,3356,7822,-0.0367374,0.0705496,-0.996832,0
5898,2052,30,263,1964,46,169,10422,11552,21974,-0.0058373,0.00977444,-0.999935,0
2531,907,12,115,847,35,64,4511,9338,13849,-0.00363443,0.00784117,-0.999963,0
2019,699,10,90,672,15,50,3555,5242,8797,-0.030613,0.0758595,-0.996648,0
6054,2100,35,268,2034,44,151,10686,16243,26929,-0.00352138,-0.0300027,-0.999544,0
2494,854,13,111,836,23,63,4394,4403,8797,-0.0736683,0.0513428,-0.99596,0
2625,907,12,118,901,20,67,4650,8102,12752,-0.0147603,0.0410905,-0.999046,0
5923,2105,28,293,2012,45,159,10565,7723,18288,-0.00477936,0.0159574,-0.999861,0
3151,1101,15,140,1068,24,80,5579,6608,12187,-0.0127465,0.126007,-0.991947,0
2556,872,15,130,971,24,72,4640,7426,12066,-0.0188944,0.0762205,-0.996912,0
5850,2026,30,262,1990,45,149,10352,11290,21642,-0.0812477,0.0623821,-0.99474,0
3130,1087,15,155,1054,24,79,5544,6119,11663,-0.0103928,-0.00939949,-0.999902,0
3520,1263,19,159,1173,25,88,6247,5655,11902,-0.0728699,0.0537431,-0.995892,0
5904,2009,25,237,1903,41,132,10251,5398,15649,-0.0230444,0.0767543,-0.996784,0
3050,1134,15,134,1021,24,75,5453,6656,12109,-0.0539994,0.0806031,-0.995282,0
3556,1216,17,159,1198,29,91,6266,6512,12778,-0.0849332,0.153692,-0.984462,0
5974,2176,28,266,1998,50,151,10643,11041,21684,-0.0187954,0.059757,-0.998036,0
4073,1099,15,140,1065,24,80,6496,5736,12232,-0.0594508,0.0534878,-0.996797,0
2153,738,11,95,724,17,54,3792,4526,8318,0.0137209,0.0840383,-0.996368,0
4106,1499,19,184,1371,29,100,7308,13040,20348,-0.0230451,0.0782363,-0.996668,0
4518,1412,21,185,1348,29,101,7614,8538,16152,-0.13591,0.0194866,-0.99053,0
3100,1063,15,137,1049,24,78,5466,6331,11797,-0.0469138,0.071852,-0.996311,0
4945,1680,22,219,1605,35,121,8627,10837,19464,-0.0841472,0.0554695,-0.994908,0
3495,1190,17,157,1180,26,89,6154,8268,14422,-0.0164892,0.0597347,-0.998078,0
4063,1410,19,181,1409,32,101,7215,7048,14263,-0.0373366,0.108491,-0.993396,0
5465,1840,25,238,1810,43,135,9556,10238,19794,-0.00693607,-0.0209507,-0.999756,0
2048,708,10,106,689,17,52,3630,5082,8712,-0.0141141,0.0449748,-0.998888,0
3083,1064,15,149,1046,24,80,5461,8398,13859,-0.0170327,0.0366094,-0.999184,0
4846,1653,25,214,1683,37,124,8582,14933,23515,-0.018425,0.0545856,-0.998339,0
2293,806,11,103,780,18,57,4068,4621,8689,-0.0200088,0.027975,-0.999408,0
3916,1344,23,198,1290,32,95,6898,8358,15256,-0.0145279,0.0441323,-0.99892,0
3781,1300,18,208,1249,29,94,6679,8631,15310,-0.110169,0.0330144,-0.993364,0
6338,2087,29,268,2026,46,151,10945,8217,19162,-0.0224849,0.0646844,-0.997652,0
2517,866,12,113,865,28,64,4465,7815,12280,-0.00576983,0.0570779,-0.998353,0
2828,968,14,124,961,22,71,4988,6924,11912,-0.0445375,0.0372224,-0.998314,0
5334,1827,27,235,1787,40,132,9382,11247,20629,0.000213628,0.0524316,-0.998624,0
2997,998,14,132,971,22,73,5207,4935,10142,0.00297957,0.110384,-0.993885,0
2758,958,17,140,943,21,70,4907,6668,11575,-0.0193023,0.0230712,-0.999547,0
5469,1913,25,239,1838,43,137,9664,9933,19597,-0.0340619,0.0918953,-0.995186,0
2945,1016,15,130,1059,22,76,5263,4605,9868,-0.151264,0.155168,-0.976239,0
3394,1193,17,150,1087,27,82,5950,6734,12684,-0.0697265,0.0511675,-0.996253,0
5470,1811,26,246,1764,41,133,9491,9486,18977,-0.0425174,0.060213,-0.99728,0
2963,1021,14,131,1024,41,75,5269,7985,13254,-0.0467433,0.090548,-0.994795,0
2749,978,13,124,920,20,68,4872,6974,11846,0.00131916,0.0272132,-0.999629,0
4159,1414,18,218,1362,31,103,7305,8542,15847,-0.0482006,0.103483,-0.993463,0
4149,1406,42,182,1366,31,102,7278,8087,15365,-0.0645545,0.0378058,-0.997198,0
3923,1302,18,168,1257,28,94,6790,6983,13773,-0.0123564,0.0911936,-0.995757,0
4790,1664,23,212,1596,38,119,8442,12159,20601,-0.00422822,0.0917178,-0.995776,0
2274,803,12,103,773,18,58,4041,3629,7670,-0.0697027,0.0613461,-0.99568,0
4829,1708,34,214,1613,35,123,8556,9863,18419,-0.0248023,0.038178,-0.998963,0
3544,1249,20,167,1255,27,90,6352,8183,14535,-0.0750312,0.0646068,-0.995086,0
