Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5893,3926,105,508,3975,71,246,14724,1536,16260,-0.0145053,-0.000896344,-0.999894,0
3045,2121,17,245,2069,34,153,7684,1184,8868,-0.0198151,0.00740112,-0.999776,0
4746,3299,26,383,3527,69,238,12288,1551,13839,-0.0282031,0.037606,-0.998895,0
3539,2424,20,282,2366,45,158,8834,1262,10096,-0.0056356,0.0333482,-0.999428,0
5818,4175,33,498,3992,86,274,14876,1856,16732,-0.00151306,0.0281318,-0.999603,0
3654,2645,20,301,2555,54,170,9399,1220,10619,-0.0177995,0.0315318,-0.999344,0
4391,3061,23,354,3447,64,209,11549,1562,13111,-0.00899328,0.0362414,-0.999303,0
4073,3361,28,469,2988,48,187,11154,1401,12555,-0.0181753,0.0248325,-0.999526,0
4027,2801,23,326,2709,45,182,10113,1404,11517,-0.0111937,0.0301742,-0.999482,0
5835,3945,31,474,3953,73,266,14577,1401,15978,-0.00849679,0.0142226,-0.999863,0
3083,2176,18,247,2187,46,142,7899,965,8864,-0.00583928,0.0271331,-0.999615,0
5822,4029,32,469,3810,59,240,14461,1817,16278,-0.00182742,0.0216397,-0.999764,0
5276,4146,29,453,3613,63,240,13820,2042,15862,-0.00495806,0.0184457,-0.999818,0
5275,3664,29,416,3634,57,241,13316,1515,14831,-0.0110356,0.0547865,-0.998437,0
3822,2577,20,303,2786,70,209,9787,1205,10992,-0.0138443,0.0184374,-0.999734,0
4364,3062,25,352,2959,65,203,11030,1635,12665,-0.0223868,0.0243881,-0.999452,0
6007,4060,34,487,3974,68,273,14903,1444,16347,-0.00278755,0.0318041,-0.99949,0
3046,2163,17,249,2098,41,142,7756,1112,8868,-0.00524052,0.0162964,-0.999853,0
5822,4089,30,455,3936,103,322,14757,1408,16165,-5.82072e-05,0.0292544,-0.999572,0
4572,3159,23,366,2382,37,146,10685,1246,11931,-0.0171743,0.0116133,-0.999785,0
2476,1720,25,200,1688,29,115,6253,866,7119,-0.00456848,0.0116234,-0.999922,0
5639,3572,40,421,3615,63,238,13588,1596,15184,-0.00782345,0.0144301,-0.999865,0
2888,1996,16,234,1981,35,134,7284,1052,8336,-0.0219639,0.00651676,-0.999738,0
6093,3549,20,297,2490,46,169,12664,1149,13813,-0.0121,-0.0135958,-0.999834,0
2408,1598,13,188,1564,19,108,5898,889,6787,0.00115306,-0.0159154,-0.999873,0
5959,3955,31,464,3901,63,264,14637,2489,17126,-0.0243254,-0.0528765,-0.998305,0
3106,1676,30,196,1650,29,113,6800,788,7588,-0.0134299,-0.0303694,-0.999449,0
1604,1072,9,125,1038,17,71,3936,510,4446,-0.0153243,0.0136583,-0.999789,0
2542,1674,14,199,1626,26,111,6192,947,7139,-0.013279,0.0016707,-0.99991,0
6432,4238,29,434,3578,57,244,15012,1409,16421,-0.0177625,0.0196368,-0.999649,0
5507,4376,29,449,3065,33,179,13638,1361,14999,-0.0383137,0.0294303,-0.998832,0
2993,2142,16,275,2106,23,144,7699,1060,8759,-0.0132318,0.0409294,-0.999074,0
5105,3458,29,415,3172,53,234,12466,1602,14068,-0.0551085,0.0555654,-0.996933,0
3418,2517,18,300,2475,31,169,8928,1167,10095,-0.0365716,0.0362902,-0.998672,0
5941,4352,34,506,4152,67,298,15350,1310,16660,-0.0174978,0.00479479,-0.999835,0
4019,3053,29,390,3077,58,159,10785,1065,11850,-0.0144225,-0.0198079,-0.9997,0
3262,2445,17,303,2434,36,163,8660,1112,9772,-0.0113864,-0.0330038,-0.99939,0
6596,4962,98,677,4669,55,300,17357,2029,19386,0.00579933,-0.0705154,-0.997494,0
4012,3205,22,371,3129,55,218,11012,1067,12079,0.018994,-0.0701394,-0.997356,0
3210,2400,17,284,2414,38,158,8521,1202,9723,0.0251473,-0.0450828,-0.998667,0
6088,4301,29,529,4166,62,255,15430,1450,16880,0.0166835,-0.0929928,-0.995527,0
3651,2460,20,291,2422,41,166,9051,1660,10711,0.0312159,-0.0896062,-0.995488,0
3561,1808,19,226,1756,44,129,7543,1597,9140,0.0396836,-0.0858838,-0.995515,0
4894,2322,29,297,2264,59,199,10064,2357,12421,-0.0126554,-0.127619,-0.991742,0
3369,1925,19,233,1881,29,135,7591,1827,9418,-0.00872206,-0.127328,-0.991822,0
4759,2666,28,327,2699,57,189,10725,3125,13850,-0.019307,-0.133918,-0.990804,0
3325,1875,19,232,1830,32,133,7446,1983,9429,-0.0152316,-0.133741,-0.990899,0
