Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
7001,4232,98,521,4012,69,274,16207,1598,17805,0.00233801,0.00899557,-0.999957,0
4450,2649,23,342,2616,37,187,10304,1240,11544,-0.00806548,0.0352935,-0.999344,0
3687,2095,18,239,2004,36,136,8215,1176,9391,-0.00631729,0.0421956,-0.999089,0
4105,2577,23,296,2416,35,166,9618,1476,11094,-0.00343262,0.0280146,-0.999602,0
7004,4060,37,481,4062,93,294,16031,1613,17644,-0.00835037,0.0394855,-0.999185,0
3332,2004,19,236,2000,29,135,7755,1277,9032,-0.00515044,0.0523694,-0.998615,0
6230,3664,33,450,3333,52,172,13934,1231,15165,-0.0142978,0.0401371,-0.999092,0
3244,1941,17,225,1909,29,127,7492,1133,8625,-0.0062388,0.0478698,-0.998834,0
3089,1932,17,222,1915,32,126,7333,1135,8468,0.000509396,0.050915,-0.998703,0
6925,4163,35,477,4094,46,242,15982,1504,17486,-0.00496919,0.029789,-0.999544,0
3352,2089,18,240,2029,29,134,7891,1171,9062,-0.00935621,0.0406259,-0.999131,0
6660,4125,36,477,4050,59,272,15679,1614,17293,0.0078288,0.0228517,-0.999708,0
3369,2010,19,235,2026,28,136,7823,1013,8836,0.0120598,0.0181324,-0.999763,0
4925,2945,27,347,2901,42,197,11384,1724,13108,0.000560987,0.0275681,-0.99962,0
6561,3519,22,291,2466,39,165,13063,1125,14188,0.0125958,0.0255368,-0.999595,0
2563,1627,14,203,1552,21,119,6099,924,7023,-0.00683813,0.0612713,-0.998098,0
4482,2877,23,329,2728,59,192,10690,1637,12327,-0.0183301,0.030061,-0.99938,0
4552,2793,25,329,2804,47,184,10734,1297,12031,-0.0150135,0.0406653,-0.99906,0
5936,3707,32,459,3453,43,168,13798,1550,15348,-0.0126475,0.0292536,-0.999492,0
3812,2272,21,270,2237,33,156,8801,1331,10132,-0.0110141,0.0286566,-0.999529,0
6398,3655,45,431,3649,59,248,14485,1403,15888,0.00254088,0.0380357,-0.999273,0
4147,2556,23,298,2511,40,169,9744,1526,11270,-0.0119271,0.0327436,-0.999393,0
5542,3364,30,388,3312,46,222,12904,1363,14267,-0.0061316,0.0396272,-0.999196,0
3898,2392,20,274,2365,37,160,9146,1294,10440,0.00540363,0.0423969,-0.999086,0
4949,2975,25,352,2976,45,224,11546,1407,12953,-0.00379274,0.0353081,-0.999369,0
3649,2209,19,259,2248,37,147,8568,1249,9817,-0.00309032,0.0222087,-0.999749,0
6389,3679,34,441,4168,71,251,15033,1402,16435,-0.0154658,0.0195592,-0.999689,0
3121,1964,16,225,1950,37,130,7443,1043,8486,0.00390497,0.0166057,-0.999854,0
5012,3095,28,349,2973,58,201,11716,1697,13413,0.00441679,0.0077427,-0.99996,0
6102,3778,39,433,2710,41,169,13272,1139,14411,0.00685105,0.022673,-0.999719,0
2582,1583,15,182,1551,35,120,6068,858,6926,-0.0158284,0.020535,-0.999664,0
6232,3758,32,429,3797,70,261,14579,1447,16026,-0.0109074,0.0329302,-0.999398,0
4113,2699,21,298,2540,52,169,9892,1480,11372,-0.0118642,0.0282052,-0.999532,0
6138,3262,27,413,3242,41,220,13343,1382,14725,-0.0111049,0.0368879,-0.999258,0
3877,2338,21,276,2306,48,156,9022,1343,10365,-0.0080511,0.0245402,-0.999666,0
5638,3159,28,360,2981,55,201,12422,1655,14077,-0.00592184,0.0221259,-0.999738,0
3637,2292,19,256,2527,34,151,8916,1187,10103,-0.00931347,0.0179841,-0.999795,0
7175,3730,31,435,3661,90,297,15419,1931,17350,0.0128109,0.00850261,-0.999882,0
3195,2043,17,230,1962,24,130,7601,1092,8693,0.00701621,0.0116906,-0.999907,0
3590,2271,18,259,2174,32,146,8490,1219,9709,-0.0213617,0.0469595,-0.998668,0
6619,3680,31,429,3663,54,245,14721,1454,16175,-0.0223614,0.0497198,-0.998513,0
3188,1950,17,228,2255,31,133,7802,1112,8914,-0.015799,0.0339682,-0.999298,0
5030,3018,24,351,2961,44,199,11627,1816,13443,0.00375061,0.0209463,-0.999774,0
3602,2402,23,319,2324,32,150,8852,1243,10095,-0.00345159,0.029542,-0.999558,0
5981,4335,32,460,3073,38,168,14087,1329,15416,0.000317921,0.0304205,-0.999537,0
3252,2022,18,231,1951,28,131,7633,1071,8704,-0.00410966,-0.00200078,-0.99999,0
6148,3746,32,434,3691,53,247,14351,1474,15825,-0.00271554,0.043152,-0.999065,0
3174,2014,18,232,1981,33,132,7584,1121,8705,-0.00285461,0.0376154,-0.999288,0
6116,3824,34,449,3819,69,257,14568,1734,16302,-0.0127277,0.0241591,-0.999627,0
4174,2682,26,312,2655,40,177,10066,1101,11167,-0.015473,0.00812138,-0.999847,0
4882,3178,26,363,3117,48,206,11820,1648,13468,-0.0215175,0.0226518,-0.999512,0
4476,2971,24,347,2851,36,188,10893,1601,12494,-0.0313243,0.0296313,-0.99907,0
4547,2888,22,330,2826,36,201,10850,1619,12469,0.00295167,0.0137295,-0.999901,0
4636,2899,23,334,2893,38,191,11014,1531,12545,-0.0142536,0.0248941,-0.999588,0
5963,4064,37,579,3911,51,259,14864,1407,16271,-0.0235222,0.0130716,-0.999638,0
3123,2043,17,232,2056,26,133,7630,1070,8700,-0.0131815,0.0282764,-0.999513,0
6098,3861,31,444,3820,51,254,14559,2096,16655,-0.0240693,0.0484562,-0.998535,0
4120,2812,21,314,2663,37,177,10144,1399,11543,-0.0202767,0.0448425,-0.998788,0
3856,2498,21,283,2397,44,162,9261,1393,10654,-0.00870959,0.0251486,-0.999646,0
5396,3127,26,361,3103,53,207,12273,1721,13994,-0.0201846,0.03977,-0.999005,0
3628,2259,18,306,2221,34,149,8615,1199,9814,-0.0165384,0.03443,-0.99927,0
4490,3102,23,331,2770,41,185,10942,1571,12513,-0.0174048,0.0591313,-0.998098,0
4473,2773,24,326,3046,50,212,10904,1587,12491,-0.00150542,0.0231396,-0.999731,0
3341,2185,17,243,2038,41,157,8022,1154,9176,-0.0261998,0.0396654,-0.998869,0
6184,3745,33,433,3769,69,251,14484,1553,16037,-0.0305023,0.0566082,-0.99793,0
4126,2780,23,306,2471,46,189,9941,1247,11188,-0.00239175,0.0326286,-0.999465,0
3193,1959,17,229,1935,33,130,7496,1104,8600,-0.00323253,0.0284056,-0.999591,0
6205,3751,34,507,3712,59,251,14519,1477,15996,-0.0183284,0.0410422,-0.998989,0
3143,2023,16,230,1991,33,131,7567,1093,8660,-0.0188784,0.0429668,-0.998898,0
4883,3038,25,355,3057,61,205,11624,1515,13139,-0.0130281,0.036719,-0.999241,0
5738,2709,20,280,2485,27,126,11385,1040,12425,-0.0270086,0.0209252,-0.999416,0
2840,1781,15,206,1725,30,117,6714,978,7692,-0.00987799,0.0431743,-0.999019,0
5479,3397,29,392,3309,67,224,12897,1398,14295,-0.00725122,0.036257,-0.999316,0
3936,2429,20,279,2350,47,158,9219,1328,10547,-0.0010637,0.0307026,-0.999528,0
6823,3837,30,438,3753,74,252,15207,1401,16608,-0.0203277,0.01542,-0.999674,0
3138,1965,17,230,1951,38,129,7468,895,8363,-0.0151379,0.0482978,-0.998718,0
5908,3407,35,431,3352,54,223,13410,1978,15388,-0.0102874,0.0375763,-0.999241,0
3903,2472,22,279,2767,66,233,9742,1273,11015,-0.00879733,0.0386096,-0.999216,0
3001,1826,15,214,1805,82,123,7066,996,8062,-0.0152141,0.0300878,-0.999431,0
6190,3794,30,471,3809,73,251,14618,2097,16715,-0.00824408,0.0332555,-0.999413,0
4233,2521,21,300,2478,36,187,9776,1481,11257,-0.0138677,0.0328362,-0.999365,0
3809,2371,20,273,2319,33,156,8981,1412,10393,-0.0176022,0.0566218,-0.998241,0
6064,3662,30,433,3633,57,247,14126,1650,15776,-0.0102458,0.050114,-0.998691,0
4225,2525,23,297,2221,31,129,9451,1087,10538,-0.0235904,0.0554977,-0.99818,0
2600,1595,13,181,1529,20,103,6041,885,6926,-0.0117257,0.0573101,-0.998288,0
6049,3636,28,381,3507,85,216,13902,1699,15601,-0.0242105,0.0607964,-0.997857,0
3764,2300,21,277,2196,31,151,8740,1354,10094,-0.00987009,0.0892942,-0.995956,0
5885,3551,31,417,3403,43,232,13562,1443,15005,-0.0220303,0.106277,-0.994092,0
4019,2421,23,274,2387,39,159,9322,1521,10843,0.0130793,0.124644,-0.992115,0
5506,3132,27,349,2962,52,203,12231,1882,14113,0.00305286,0.129653,-0.991555,0
3742,2123,20,251,2033,41,141,8351,1393,9744,-0.00347493,0.12075,-0.992677,0
5209,2506,25,304,2476,52,174,10746,1695,12441,-0.0141823,0.120646,-0.992594,0
5046,2213,25,281,2193,55,159,9972,1743,11715,-0.0297234,0.114789,-0.992945,0
6216,2491,31,313,2372,66,175,11664,2086,13750,-0.049882,0.131952,-0.99,0
4180,1568,20,204,1540,37,116,7665,1475,9140,-0.0384913,0.132207,-0.990474,0
