Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
4990,322,64,69,170,62,23,5700,5770,11470,-0.224482,-0.0122763,-0.974401,0
2607,120,16,25,92,26,12,2898,4042,6940,-0.0364475,-0.114681,-0.992734,0
4995,222,27,49,172,77,26,5568,8656,14224,-0.0290385,-0.0543184,-0.998101,0
5101,219,28,50,171,45,23,5637,6569,12206,-0.0502391,-0.15818,-0.986131,0
3431,145,20,32,110,31,15,3784,4396,8180,-0.145531,-0.054135,-0.987871,0
4525,189,26,44,145,43,20,4992,5790,10782,-0.0180477,-0.18823,-0.981959,0
4535,204,25,46,159,47,21,5037,5289,10326,-0.00517882,-0.0637664,-0.997951,0
4226,176,23,40,136,33,18,4652,6068,10720,-0.076093,-0.214454,-0.973765,0
5086,209,31,48,182,49,25,5630,6188,11818,-0.116944,-0.0587977,-0.991396,0
5258,216,27,50,205,51,28,5835,7233,13068,-0.0910452,-0.103175,-0.990488,0
3499,141,19,45,109,32,16,3861,4613,8474,-0.0964149,-0.115664,-0.988598,0
4971,243,33,49,164,51,22,5533,4883,10416,-0.134988,-0.0386325,-0.990094,0
5068,274,38,60,176,60,35,5711,7150,12861,-0.0913897,-0.121592,-0.988364,0
3482,154,36,37,119,36,16,3880,4254,8134,-0.112186,-0.0999008,-0.988653,0
5080,226,38,50,178,42,26,5640,5248,10888,-0.103417,-0.0689659,-0.992244,0
5500,225,29,60,251,57,30,6152,5037,11189,-0.0730681,-0.153108,-0.985504,0
3162,140,19,30,109,34,14,3508,4068,7576,-0.0832187,-0.10057,-0.991444,0
5082,228,36,68,208,45,28,5695,7414,13109,-0.160043,-0.0746254,-0.984285,0
3481,147,20,34,112,30,16,3840,3813,7653,-0.0763231,-0.100599,-0.991995,0
4988,215,27,50,170,48,23,5521,6549,12070,-0.0750947,-0.125234,-0.989281,0
5021,222,28,47,161,46,22,5547,6111,11658,-0.109671,-0.162881,-0.980532,0
3510,165,19,33,117,34,15,3893,4353,8246,-0.0935564,-0.10258,-0.990315,0
