Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5994,2240,87,293,2022,56,153,10845,8399,19244,-0.00943539,0.00983928,-0.999907,0
3015,1074,14,141,1103,25,79,5451,3286,8737,-0.0247474,0.0324856,-0.999166,0
2938,1016,13,135,1008,19,76,5205,3840,9045,-0.0103532,0.0189639,-0.999767,0
6331,2041,26,273,1959,42,151,10823,4699,15522,-0.0198897,0.00883147,-0.999763,0
5707,2048,27,268,1992,70,153,10265,6045,16310,-0.00565375,0.103488,-0.994615,0
2304,858,11,112,838,18,62,4203,1885,6088,-0.01956,0.0255761,-0.999481,0
5878,2004,26,297,2034,44,156,10439,7137,17576,-0.0140163,0.0078704,-0.999871,0
3009,1088,14,142,1033,23,79,5388,2022,7410,-0.0177098,0.0107354,-0.999786,0
5857,1986,27,264,1939,53,148,10274,3296,13570,-0.0124813,0.0367495,-0.999247,0
3001,1023,14,135,992,28,76,5269,3653,8922,0.016609,0.0545524,-0.998373,0
4764,1685,22,214,1634,43,120,8482,4339,12821,-0.0338042,0.0507693,-0.998138,0
5228,1658,22,214,1702,60,162,9046,4267,13313,-0.0504269,0.020267,-0.998522,0
3436,1194,17,158,1165,32,88,6090,5504,11594,-0.0389794,0.0304255,-0.998777,0
3500,1405,16,161,1245,31,92,6450,3939,10389,-0.0191635,0.0290687,-0.999394,0
4283,1474,20,195,1448,32,112,7564,4591,12155,-0.0551662,0.0618269,-0.996561,0
3242,1080,16,145,1182,23,92,5780,4376,10156,-0.00990278,0.0446012,-0.998956,0
4484,1365,18,180,1324,34,101,7506,4600,12106,-0.0155829,0.0532557,-0.998459,0
5788,1894,27,255,1945,60,157,10126,8782,18908,0.00960872,0.0876084,-0.996109,0
2480,827,12,107,786,21,61,4294,2550,6844,-0.00233917,0.105167,-0.994452,0
1752,552,8,68,500,13,38,2931,2429,5360,-0.0543096,0.0118118,-0.998454,0
5711,1925,27,257,1857,45,141,9963,5417,15380,-0.0284385,0.0258325,-0.999262,0
3129,1043,15,135,974,25,75,5396,4815,10211,-0.011931,0.0392018,-0.99916,0
