Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,5983,1132,7115,4209,11324,-0.161023,0.0304967,-0.986479,0
0,0,0,0,0,5909,997,6906,2615,9521,-0.0537412,0.0274432,-0.998178,0
0,0,0,0,0,3987,702,4689,1493,6182,-0.0518701,0.036247,-0.997996,0
0,0,0,0,0,5811,1024,6835,2194,9029,-0.0550808,0.0348273,-0.997874,0
0,0,0,0,0,5828,1024,6852,2159,9011,-0.0425233,0.0327265,-0.998559,0
0,0,0,0,0,5839,987,6826,2108,8934,-0.0453711,0.0289546,-0.99855,0
0,0,0,0,0,6293,1020,7313,2395,9708,-0.0432312,0.0367707,-0.998388,0
0,0,0,0,0,5974,973,6947,2222,9169,-0.0399148,0.0465579,-0.998118,0
0,0,0,0,0,6246,963,7209,2174,9383,-0.0473491,0.054095,-0.997413,0
0,0,0,0,0,4115,709,4824,1497,6321,-0.031709,0.0385728,-0.998753,0
0,0,0,0,0,6034,983,7017,2092,9109,-0.0370622,0.0389864,-0.998552,0
0,0,0,0,0,6017,1030,7047,2074,9121,-0.0399301,0.0398306,-0.998408,0
0,0,0,0,0,4300,699,4999,1495,6494,-0.0368717,0.0410943,-0.998475,0
0,0,0,0,0,4194,689,4883,1525,6408,-0.0256567,0.0381393,-0.998943,0
0,0,0,0,0,6139,970,7109,2052,9161,-0.0330203,0.0392044,-0.998685,0
0,0,0,0,0,5458,873,6331,1933,8264,-0.0246558,0.0433419,-0.998756,0
0,0,0,0,0,4102,626,4728,1476,6204,-0.0351733,0.0464439,-0.998301,0
0,0,0,0,0,6086,1059,7145,2160,9305,-0.0337222,0.0422305,-0.998539,0
0,0,0,0,0,6518,1052,7570,1538,9108,-0.0353337,0.0382889,-0.998642,0
0,0,0,0,0,5924,1075,6999,2173,9172,-0.0292977,0.0420116,-0.998687,0
