Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,7289,1032,8321,7731,16052,-0.0438871,0.216924,-0.975202,0
0,0,0,0,0,2924,508,3432,1852,5284,-0.0118617,0.082875,-0.996489,0
0,0,0,0,0,6225,945,7170,2533,9703,-0.0195029,0.098876,-0.994909,0
0,0,0,0,0,5624,949,6573,2746,9319,-0.0302343,0.102489,-0.994275,0
0,0,0,0,0,5718,1065,6783,2394,9177,-0.0165391,0.0799944,-0.996658,0
0,0,0,0,0,5582,957,6539,2745,9284,0.0112832,0.0757208,-0.997065,0
0,0,0,0,0,5982,960,6942,2754,9696,0.0249854,0.0597133,-0.997903,0
0,0,0,0,0,5425,963,6388,2535,8923,0.027496,0.065124,-0.997498,0
0,0,0,0,0,6286,1073,7359,2723,10082,-0.00684633,0.0587899,-0.998247,0
0,0,0,0,0,5466,934,6400,2556,8956,-0.000950165,0.0473559,-0.998878,0
0,0,0,0,0,5717,936,6653,2224,8877,0.00591905,0.0668465,-0.997746,0
0,0,0,0,0,6303,1029,7332,2481,9813,0.0051627,0.0491612,-0.998778,0
0,0,0,0,0,5623,952,6575,2412,8987,0.00198812,0.0545215,-0.998511,0
0,0,0,0,0,5901,922,6823,2533,9356,0.00391501,0.07288,-0.997333,0
0,0,0,0,0,5406,955,6361,2546,8907,-0.0289286,0.0588512,-0.997848,0
0,0,0,0,0,3703,660,4363,1314,5677,-0.0292064,0.0213894,-0.999345,0
0,0,0,0,0,4043,678,4721,1870,6591,-0.0179948,0.0528426,-0.998441,0
0,0,0,0,0,5655,953,6608,2880,9488,-0.0210286,0.0336055,-0.999214,0
0,0,0,0,0,5452,934,6386,2669,9055,-0.0269304,0.0208058,-0.999421,0
0,0,0,0,0,6120,1014,7134,2614,9748,-0.0328538,-0.00794892,-0.999429,0
0,0,0,0,0,5285,909,6194,1968,8162,-0.030672,-0.00985062,-0.999481,0
0,0,0,0,0,5139,617,5756,1412,7168,-0.0250168,-0.0310545,-0.999205,0
0,0,0,0,0,3260,594,3854,1470,5324,-0.0246636,-0.0308581,-0.999219,0
0,0,0,0,0,5421,1216,6637,2236,8873,-0.0251988,-0.0234507,-0.999407,0
0,0,0,0,0,6329,1272,7601,2220,9821,-0.0168598,-0.0182909,-0.999691,0
0,0,0,0,0,5561,897,6458,2279,8737,-0.00620349,-0.00254853,-0.999978,0
0,0,0,0,0,7142,976,8118,1899,10017,-0.0147329,-0.00621554,-0.999872,0
0,0,0,0,0,3765,621,4386,1440,5826,-0.0106185,0.0020568,-0.999942,0
0,0,0,0,0,5516,1101,6617,2224,8841,-0.0161308,-0.000805042,-0.99987,0
0,0,0,0,0,5518,1123,6641,2198,8839,-0.032563,-0.000935596,-0.999469,0
0,0,0,0,0,3761,638,4399,1443,5842,-0.0290756,0.00157551,-0.999576,0
0,0,0,0,0,5324,909,6233,2190,8423,-0.0250264,-0.00147768,-0.999686,0
0,0,0,0,0,5350,908,6258,2129,8387,-0.0109791,0.000382428,-0.99994,0
0,0,0,0,0,5667,901,6568,2426,8994,-0.0323809,0.0159873,-0.999348,0
0,0,0,0,0,5846,635,6481,1846,8327,-0.0234583,-0.00844244,-0.999689,0
0,0,0,0,0,2872,474,3346,1208,4554,-0.0274489,-0.00248714,-0.99962,0
0,0,0,0,0,5481,914,6395,2240,8635,-0.0295747,-0.0101139,-0.999511,0
0,0,0,0,0,5466,895,6361,2319,8680,-0.0332965,-0.00092751,-0.999445,0
0,0,0,0,0,5568,925,6493,2232,8725,-0.0357822,0.00182721,-0.999358,0
0,0,0,0,0,5594,998,6592,3161,9753,-0.0330146,-0.00337475,-0.999449,0
0,0,0,0,0,2318,384,2702,895,3597,-0.0339303,-0.00700118,-0.9994,0
0,0,0,0,0,5550,935,6485,2098,8583,-0.0282607,0.00195326,-0.999599,0
0,0,0,0,0,5518,924,6442,2103,8545,-0.0320366,0.0181019,-0.999323,0
0,0,0,0,0,6238,946,7184,2607,9791,-0.0431149,-0.0129735,-0.998986,0
0,0,0,0,0,5423,897,6320,2107,8427,-0.0501865,-0.00894054,-0.9987,0
0,0,0,0,0,5866,915,6781,2224,9005,-0.040949,-0.0069046,-0.999137,0
0,0,0,0,0,5411,897,6308,2523,8831,-0.0416268,-0.000686791,-0.999133,0
0,0,0,0,0,5321,928,6249,2107,8356,-0.0385349,0.0103216,-0.999204,0
0,0,0,0,0,5993,1017,7010,2186,9196,-0.0373081,0.0137863,-0.999209,0
0,0,0,0,0,5299,894,6193,2086,8279,-0.0302427,0.0162168,-0.999411,0
0,0,0,0,0,4044,687,4731,1503,6234,-0.00362041,-0.0130412,-0.999908,0
0,0,0,0,0,4613,739,5352,2063,7415,0.00705605,-0.00612627,-0.999956,0
0,0,0,0,0,5573,913,6486,2394,8880,0.0037744,0.00231024,-0.99999,0
0,0,0,0,0,5428,911,6339,2760,9099,-0.0313377,0.0175502,-0.999355,0
0,0,0,0,0,6567,1147,7714,2763,10477,-0.0410042,0.00559632,-0.999143,0
0,0,0,0,0,4990,618,5608,1376,6984,-0.0447555,-0.00108104,-0.998997,0
0,0,0,0,0,5297,890,6187,1509,7696,-0.0462817,-0.00110108,-0.998928,0
0,0,0,0,0,4756,901,5657,2012,7669,-0.0390387,0.0195913,-0.999046,0
0,0,0,0,0,5382,890,6272,2556,8828,-0.0368658,0.0176689,-0.999164,0
0,0,0,0,0,5443,935,6378,2325,8703,-0.0442286,0.00973138,-0.998974,0
0,0,0,0,0,5278,1106,6384,2144,8528,-0.0414496,0.00388754,-0.999133,0
0,0,0,0,0,5387,893,6280,2051,8331,-0.0418045,0.00487353,-0.999114,0
0,0,0,0,0,6034,914,6948,1978,8926,-0.0609688,0.00808282,-0.998107,0
0,0,0,0,0,5388,897,6285,2130,8415,-0.0359421,-0.0113173,-0.99929,0
0,0,0,0,0,5536,892,6428,2187,8615,-0.034538,-0.00432381,-0.999394,0
0,0,0,0,0,5418,929,6347,2069,8416,-0.0581395,-5.61095e-05,-0.998308,0
0,0,0,0,0,5402,918,6320,2284,8604,-0.0546544,-0.0131957,-0.998418,0
