Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,6864,1567,8431,4546,12977,-0.0116575,-0.0306185,-0.999463,0
0,0,0,0,0,6545,1124,7669,1816,9485,-0.0111091,-0.0267412,-0.999581,0
0,0,0,0,0,3530,596,4126,1792,5918,-0.00854151,-0.0260188,-0.999625,0
0,0,0,0,0,6692,1145,7837,2492,10329,-0.0238724,0.0113162,-0.999651,0
0,0,0,0,0,6578,1503,8081,1748,9829,-0.0304321,-0.00754187,-0.999508,0
0,0,0,0,0,6070,956,7026,2104,9130,-0.0236744,-0.0142573,-0.999618,0
0,0,0,0,0,5426,920,6346,2134,8480,-0.0112882,0.00149677,-0.999935,0
0,0,0,0,0,7785,1155,8940,2082,11022,-0.0145118,0.00270103,-0.999891,0
0,0,0,0,0,4531,800,5331,1665,6996,-0.0306395,0.0319818,-0.999019,0
0,0,0,0,0,9863,1147,11010,2417,13427,-0.0340129,0.0346956,-0.998819,0
0,0,0,0,0,6853,1418,8271,1807,10078,-0.0457742,0.0119418,-0.99888,0
0,0,0,0,0,7800,1130,8930,2611,11541,-0.0542724,0.00105136,-0.998526,0
0,0,0,0,0,6625,1142,7767,2057,9824,-0.0687126,0.0055743,-0.997621,0
0,0,0,0,0,2902,485,3387,1069,4456,-0.0757553,6.27659e-05,-0.997126,0
0,0,0,0,0,2298,391,2689,860,3549,-0.0813101,-0.000651899,-0.996689,0
0,0,0,0,0,6692,1135,7827,3375,11202,-0.0911945,-0.0069747,-0.995809,0
0,0,0,0,0,6623,1133,7756,3416,11172,-0.0735623,0.0260237,-0.996951,0
0,0,0,0,0,4606,784,5390,2724,8114,-0.049794,0.0616623,-0.996854,0
0,0,0,0,0,6732,1563,8295,2454,10749,-0.0481762,0.06375,-0.996802,0
0,0,0,0,0,4539,788,5327,1881,7208,-0.0647963,0.0571476,-0.996261,0
0,0,0,0,0,7031,1387,8418,3174,11592,-0.0772709,0.065187,-0.994877,0
0,0,0,0,0,6689,1132,7821,3326,11147,-0.0630751,0.0350372,-0.997394,0
0,0,0,0,0,4596,787,5383,2259,7642,-0.0551289,0.0563043,-0.99689,0
0,0,0,0,0,7727,1663,9390,2203,11593,-0.0565677,0.026704,-0.998042,0
0,0,0,0,0,3674,635,4309,1837,6146,-0.0737838,0.0696396,-0.99484,0
0,0,0,0,0,7737,1148,8885,3330,12215,-0.0162867,-0.0063817,-0.999847,0
0,0,0,0,0,6702,1123,7825,2164,9989,-0.015416,-0.0117882,-0.999812,0
0,0,0,0,0,6908,1029,7937,2331,10268,-0.014234,0.0260663,-0.999559,0
0,0,0,0,0,5916,1024,6940,2293,9233,-0.0163512,0.0571844,-0.99823,0
0,0,0,0,0,7246,1168,8414,2753,11167,-0.0297831,0.0712643,-0.997013,0
0,0,0,0,0,7699,1173,8872,2849,11721,-0.0285156,0.0739885,-0.996851,0
