Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,2416,444,2860,1249,4109,-0.0748654,-0.0834853,-0.993693,0
0,0,0,0,0,2354,453,2807,1080,3887,0.0448227,0.0819919,-0.995625,0
0,0,0,0,0,2473,478,2951,1173,4124,0.0382326,0.0392635,-0.998497,0
0,0,0,0,0,2399,456,2855,1158,4013,0.0169091,0.0545177,-0.99837,0
0,0,0,0,0,2394,478,2872,1126,3998,0.0123655,0.0639076,-0.997879,0
0,0,0,0,0,3052,600,3652,1700,5352,0.00693006,0.0530426,-0.998568,0
0,0,0,0,0,2343,452,2795,1035,3830,0.0269091,0.0179073,-0.999477,0
0,0,0,0,0,2392,447,2839,985,3824,-0.0112526,0.0425083,-0.999033,0
0,0,0,0,0,2366,435,2801,865,3666,-0.00510077,0.0649472,-0.997876,0
0,0,0,0,0,2441,424,2865,1012,3877,0.00442496,0.0134275,-0.9999,0
0,0,0,0,0,2639,441,3080,973,4053,-0.00396803,0.0537876,-0.998545,0
0,0,0,0,0,2549,476,3025,1033,4058,-0.00653099,0.0532773,-0.998558,0
0,0,0,0,0,2499,426,2925,962,3887,0.0109541,0.0487215,-0.998752,0
0,0,0,0,0,2465,439,2904,949,3853,-0.0136334,0.0497221,-0.99867,0
0,0,0,0,0,2339,443,2782,1029,3811,-0.0158653,0.053856,-0.998423,0
0,0,0,0,0,2365,496,2861,1069,3930,-0.0184689,0.0461902,-0.998762,0
0,0,0,0,0,2938,445,3383,1092,4475,0.000377904,0.0328919,-0.999459,0
0,0,0,0,0,2325,463,2788,961,3749,0.00664152,-0.00622144,-0.999959,0
0,0,0,0,0,2343,434,2777,967,3744,0.00940598,-0.015363,-0.999838,0
0,0,0,0,0,2385,479,2864,1081,3945,-0.0111757,0.0250836,-0.999623,0
0,0,0,0,0,2424,461,2885,1111,3996,0.00862505,0.0296227,-0.999524,0
0,0,0,0,0,2505,464,2969,1003,3972,0.0151317,0.0231924,-0.999616,0
0,0,0,0,0,2555,456,3011,1056,4067,0.0230612,0.0217806,-0.999497,0
0,0,0,0,0,2487,455,2942,1139,4081,0.02228,0.0489987,-0.99855,0
0,0,0,0,0,2537,462,2999,1169,4168,0.0272317,0.0406663,-0.998802,0
0,0,0,0,0,2394,450,2844,1099,3943,0.0201373,-9.33161e-05,-0.999797,0
0,0,0,0,0,2488,441,2929,1123,4052,0.0060092,-0.0091182,-0.99994,0
0,0,0,0,0,2400,447,2847,971,3818,0.0205328,-0.0199333,-0.99959,0
0,0,0,0,0,2557,432,2989,987,3976,-0.0138089,0.0169529,-0.999761,0
0,0,0,0,0,2457,443,2900,1030,3930,0.00504072,0.0177851,-0.999829,0
0,0,0,0,0,2642,446,3088,914,4002,-0.0179638,0.0141472,-0.999739,0
0,0,0,0,0,2356,445,2801,1012,3813,-0.0450588,0.0820135,-0.995612,0
0,0,0,0,0,2423,443,2866,1124,3990,-0.0424209,0.0384975,-0.998358,0
0,0,0,0,0,2521,479,3000,1116,4116,0.0337784,0.0307755,-0.998955,0
0,0,0,0,0,2503,437,2940,1205,4145,0.00464001,-0.000361758,-0.999989,0
0,0,0,0,0,2518,442,2960,927,3887,0.0152117,0.00594349,-0.999867,0
0,0,0,0,0,2428,447,2875,820,3695,-0.0224675,0.0252141,-0.99943,0
0,0,0,0,0,2351,436,2787,1092,3879,-0.023702,0.0180269,-0.999557,0
0,0,0,0,0,2492,460,2952,1045,3997,-0.0252196,0.0567568,-0.998069,0
0,0,0,0,0,2404,443,2847,1068,3915,-0.0132039,0.0475699,-0.998781,0
0,0,0,0,0,2431,447,2878,1004,3882,0.00299582,0.0553409,-0.998463,0
0,0,0,0,0,2494,450,2944,991,3935,0.00164949,0.0266682,-0.999643,0
0,0,0,0,0,2349,445,2794,944,3738,-0.0228365,0.0131416,-0.999653,0
0,0,0,0,0,2456,441,2897,936,3833,-0.0139355,0.0388864,-0.999146,0
0,0,0,0,0,2438,440,2878,940,3818,-0.0207787,0.0538517,-0.998333,0
0,0,0,0,0,2555,446,3001,959,3960,-0.00169465,0.0448028,-0.998994,0
0,0,0,0,0,3465,453,3918,1092,5010,0.00867732,0.043797,-0.999003,0
0,0,0,0,0,2524,437,2961,1034,3995,-0.00583588,0.0448967,-0.998975,0
0,0,0,0,0,2383,449,2832,1013,3845,0.00710621,0.0657742,-0.997809,0
0,0,0,0,0,2498,428,2926,1159,4085,0.00849184,0.027081,-0.999597,0
0,0,0,0,0,2366,453,2819,926,3745,0.0157183,0.0133745,-0.999787,0
0,0,0,0,0,2466,440,2906,1026,3932,0.0104655,0.0107158,-0.999888,0
0,0,0,0,0,2562,467,3029,915,3944,-0.0205288,0.0472892,-0.99867,0
0,0,0,0,0,2423,454,2877,999,3876,-0.0192529,0.0123275,-0.999739,0
0,0,0,0,0,2554,440,2994,993,3987,-0.0407797,0.0367256,-0.998493,0
0,0,0,0,0,2523,443,2966,995,3961,-0.0398859,0.0589529,-0.997464,0
0,0,0,0,0,2460,444,2904,1005,3909,-0.0648077,0.0653666,-0.995755,0
0,0,0,0,0,2505,480,2985,1091,4076,-0.0546235,0.0906754,-0.994381,0
0,0,0,0,0,2454,445,2899,1316,4215,-0.0281159,0.0555087,-0.998062,0
0,0,0,0,0,2436,452,2888,980,3868,-0.0321313,0.085654,-0.995807,0
0,0,0,0,0,2548,439,2987,1202,4189,-0.0349891,0.0847872,-0.995785,0
0,0,0,0,0,2856,464,3320,1183,4503,-0.046285,0.10869,-0.992998,0
0,0,0,0,0,2523,458,2981,965,3946,-0.05484,0.1216,-0.991063,0
0,0,0,0,0,2465,449,2914,1611,4525,-0.0726093,0.142583,-0.987116,0
