Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,5789,1088,6877,3402,10279,0.0246946,0.194737,-0.980544,0
0,0,0,0,0,3879,741,4620,1495,6115,-0.0405003,0.0112023,-0.999117,0
0,0,0,0,0,5868,1112,6980,2335,9315,-0.000405725,0.031133,-0.999515,0
0,0,0,0,0,5665,1117,6782,2040,8822,-0.0139123,0.0223806,-0.999653,0
0,0,0,0,0,5145,990,6135,2040,8175,-0.021053,0.0411934,-0.998929,0
0,0,0,0,0,5170,985,6155,2141,8296,-0.0145437,0.0164116,-0.99976,0
0,0,0,0,0,5709,1070,6779,2261,9040,-0.02238,0.0302454,-0.999292,0
0,0,0,0,0,5731,1108,6839,1699,8538,-0.0192432,0.00880409,-0.999776,0
0,0,0,0,0,3961,742,4703,1639,6342,-0.00602454,0.0196844,-0.999788,0
0,0,0,0,0,5782,1095,6877,2291,9168,-0.0110363,0.0121663,-0.999865,0
0,0,0,0,0,5953,1133,7086,2230,9316,-0.0210422,0.0360021,-0.99913,0
0,0,0,0,0,5824,1122,6946,2343,9289,-0.0213117,0.0197228,-0.999578,0
0,0,0,0,0,5599,1071,6670,2209,8879,-0.0112884,0.00280713,-0.999932,0
0,0,0,0,0,5786,1113,6899,2518,9417,-0.00796467,0.00846425,-0.999932,0
0,0,0,0,0,4231,837,5068,1821,6889,-0.00122047,0.014957,-0.999887,0
0,0,0,0,0,5647,1082,6729,2276,9005,0.000551046,0.0293979,-0.999568,0
0,0,0,0,0,5597,1113,6710,2350,9060,0.00953703,0.00196658,-0.999953,0
0,0,0,0,0,5677,1092,6769,2716,9485,-0.00633843,0.0348567,-0.999372,0
0,0,0,0,0,5821,1079,6900,2299,9199,-0.0176188,0.0395122,-0.999064,0
0,0,0,0,0,5667,1061,6728,2107,8835,-0.00670454,0.0276503,-0.999595,0
0,0,0,0,0,5667,1086,6753,2085,8838,-0.00131945,0.0211828,-0.999775,0
0,0,0,0,0,5643,1079,6722,2406,9128,-0.0164863,0.0232879,-0.999593,0
0,0,0,0,0,5783,1082,6865,2189,9054,-0.0185213,-0.00864303,-0.999791,0
0,0,0,0,0,5635,1132,6767,2058,8825,-0.0087362,-0.0213499,-0.999734,0
0,0,0,0,0,5925,1085,7010,2182,9192,-0.0104141,-0.0917269,-0.99573,0
0,0,0,0,0,4625,779,5404,1239,6643,0.00978404,-0.0453635,-0.998923,0
0,0,0,0,0,2477,469,2946,878,3824,-0.0112005,-0.0449749,-0.998925,0
0,0,0,0,0,4136,750,4886,1499,6385,-0.0203482,-0.00243431,-0.99979,0
0,0,0,0,0,6081,1173,7254,2042,9296,-0.0241022,-0.00481072,-0.999698,0
0,0,0,0,0,5876,1116,6992,2331,9323,-0.031461,0.0298748,-0.999058,0
0,0,0,0,0,6140,1189,7329,2465,9794,-0.084999,0.0373946,-0.995679,0
0,0,0,0,0,5865,1154,7019,2439,9458,-0.0946853,0.0563414,-0.993912,0
0,0,0,0,0,6142,1157,7299,2498,9797,-0.127501,0.0434705,-0.990885,0
0,0,0,0,0,6132,1141,7273,2177,9450,-0.0513407,-0.0303502,-0.99822,0
0,0,0,0,0,5899,1135,7034,2750,9784,-0.024145,-0.0662926,-0.997508,0
0,0,0,0,0,5851,1376,7227,2873,10100,-0.0250783,-0.131308,-0.991024,0
0,0,0,0,0,5989,1204,7193,2922,10115,0.0142505,-0.147579,-0.988948,0
0,0,0,0,0,6417,1166,7583,2778,10361,0.0305162,-0.220552,-0.974898,0
0,0,0,0,0,3130,581,3711,1841,5552,0.0351564,-0.211262,-0.976797,0
0,0,0,0,0,5927,1083,7010,4721,11731,0.0782088,-0.245334,-0.966279,0
0,0,0,0,0,5849,1069,6918,3976,10894,0.14003,-0.183568,-0.972982,0
0,0,0,0,0,3834,745,4579,3976,8555,0.0443833,-0.106306,-0.993342,0
0,0,0,0,0,5711,1094,6805,11495,18300,0.0218307,-0.164373,-0.986157,0
0,0,0,0,0,2925,577,3502,5972,9474,0.0258656,-0.16443,-0.98605,0
0,0,0,0,0,5545,1071,6616,9031,15647,0.0242214,-0.173217,-0.984586,0
0,0,0,0,0,3888,776,4664,6790,11454,0.0134376,-0.218627,-0.975716,0
0,0,0,0,0,5078,997,6075,15821,21896,-0.0194452,-0.52396,-0.851521,0
0,0,0,0,0,2843,557,3400,7276,10676,0.00979986,-0.422303,-0.906402,0
0,0,0,0,0,4407,852,5259,10694,15953,-0.0539351,-0.0273218,-0.998171,0
0,0,0,0,0,4561,911,5472,8184,13656,0.0109318,-0.161275,-0.986849,0
0,0,0,0,0,3833,692,4525,4249,8774,-0.0179535,-0.158337,-0.987222,0
0,0,0,0,0,6589,1346,7935,4943,12878,0.0482802,-0.376611,-0.925113,0
