Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,5877,1116,6993,11436,18429,-0.0159351,0.208907,-0.977806,0
0,0,0,0,0,5861,806,6667,2258,8925,0.0159638,0.0258001,-0.99954,0
0,0,0,0,0,3141,600,3741,1127,4868,0.0124016,0.0212381,-0.999698,0
0,0,0,0,0,5985,1141,7126,2230,9356,0.00743667,0.020126,-0.99977,0
0,0,0,0,0,5931,1139,7070,2125,9195,0.0238906,0.0201778,-0.999511,0
0,0,0,0,0,5918,1125,7043,2169,9212,0.0224747,0.0193641,-0.99956,0
0,0,0,0,0,6067,1103,7170,2043,9213,0.00830569,0.03406,-0.999385,0
0,0,0,0,0,6080,1125,7205,2124,9329,0.0219109,0.0221109,-0.999515,0
0,0,0,0,0,5973,1122,7095,2130,9225,0.0160218,0.0279405,-0.999481,0
0,0,0,0,0,6085,1195,7280,2026,9306,0.0135038,0.0446263,-0.998912,0
0,0,0,0,0,5934,1109,7043,2098,9141,0.0143911,0.0387037,-0.999147,0
0,0,0,0,0,5930,1089,7019,1962,8981,0.00987522,0.0602026,-0.998137,0
0,0,0,0,0,9166,1550,10716,1968,12684,0.00839648,0.0523696,-0.998592,0
0,0,0,0,0,4059,764,4823,1387,6210,0.0131608,0.056446,-0.998319,0
0,0,0,0,0,6096,1117,7213,2343,9556,0.0112213,0.0610966,-0.998069,0
0,0,0,0,0,6314,1107,7421,1585,9006,0.00469231,0.0660458,-0.997806,0
0,0,0,0,0,5323,995,6318,2028,8346,0.00695934,0.0714543,-0.99742,0
0,0,0,0,0,6218,1133,7351,2326,9677,0.010665,0.0710743,-0.997414,0
0,0,0,0,0,6037,1133,7170,1576,8746,0.00830863,0.0730565,-0.997293,0
0,0,0,0,0,6109,1180,7289,2106,9395,0.0149596,0.0627107,-0.99792,0
0,0,0,0,0,4245,767,5012,1823,6835,0.0122226,0.0652683,-0.997793,0
0,0,0,0,0,6263,1129,7392,2342,9734,-0.0137521,0.0892497,-0.995914,0
0,0,0,0,0,6893,1134,8027,2562,10589,-0.0241093,0.107234,-0.993941,0
