Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,6310,1131,7441,7167,14608,0.0288321,-0.0791465,-0.996446,0
0,0,0,0,0,6098,1108,7206,2089,9295,0.00952306,-0.0203189,-0.999748,0
0,0,0,0,0,6194,1185,7379,2341,9720,0.00654919,0.0138525,-0.999883,0
0,0,0,0,0,6180,1175,7355,2323,9678,-0.000496885,0.00822435,-0.999966,0
0,0,0,0,0,7143,1159,8302,2211,10513,-0.00649061,-0.013488,-0.999888,0
0,0,0,0,0,6187,1319,7506,2118,9624,-0.00487576,-0.0161066,-0.999858,0
0,0,0,0,0,6109,1164,7273,2214,9487,-0.00753143,0.0323491,-0.999448,0
0,0,0,0,0,4379,798,5177,1629,6806,0.00490912,0.0194235,-0.999799,0
0,0,0,0,0,5565,1026,6591,2626,9217,-0.00839345,0.0212344,-0.999739,0
0,0,0,0,0,6290,1167,7457,2311,9768,-0.00323053,0.0343227,-0.999406,0
0,0,0,0,0,6615,1169,7784,2517,10301,-0.00506408,0.0284438,-0.999583,0
0,0,0,0,0,6251,1143,7394,2567,9961,0.00470277,0.0145965,-0.999882,0
0,0,0,0,0,6385,1146,7531,2277,9808,0.000180816,0.026072,-0.99966,0
0,0,0,0,0,6517,1436,7953,2260,10213,-0.00565867,0.0285129,-0.999577,0
0,0,0,0,0,4403,808,5211,1584,6795,0.00426548,0.0144145,-0.999887,0
0,0,0,0,0,6170,1218,7388,2278,9666,0.0136068,-0.016229,-0.999776,0
0,0,0,0,0,6211,1192,7403,3230,10633,0.0155842,-0.036835,-0.9992,0
0,0,0,0,0,6302,1159,7461,2317,9778,0.0231056,-0.0228785,-0.999471,0
0,0,0,0,0,6155,1129,7284,2390,9674,0.00551006,0.0227812,-0.999725,0
0,0,0,0,0,6178,1171,7349,2418,9767,0.0137131,0.0168964,-0.999763,0
0,0,0,0,0,6147,1152,7299,2218,9517,-0.00581808,0.0212914,-0.999756,0
0,0,0,0,0,6225,1156,7381,2336,9717,-0.0328289,-0.00707776,-0.999436,0
0,0,0,0,0,6193,1136,7329,2187,9516,-0.00337283,0.00444186,-0.999984,0
