Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,7670,1196,8866,3988,12854,-0.0733151,-0.0692632,-0.994901,0
0,0,0,0,0,5243,792,6035,1558,7593,-0.0697331,-0.0448627,-0.996556,0
0,0,0,0,0,6886,1385,8271,9737,18008,-0.217061,0.0353938,-0.975516,0
0,0,0,0,0,3084,469,3553,1479,5032,-0.121476,-0.0492091,-0.991374,0
0,0,0,0,0,8181,1201,9382,2611,11993,-0.0420839,-0.0390555,-0.99835,0
0,0,0,0,0,7643,1112,8755,2139,10894,-0.099251,-0.0403066,-0.994246,0
0,0,0,0,0,6082,1087,7169,11468,18637,-0.0209894,0.0117668,-0.99971,0
0,0,0,0,0,8008,1148,9156,2134,11290,-0.00851677,0.0218047,-0.999726,0
0,0,0,0,0,4197,623,4820,1954,6774,-0.0544527,-0.0132018,-0.998429,0
0,0,0,0,0,6399,1128,7527,1916,9443,-0.0634952,-0.0308094,-0.997506,0
0,0,0,0,0,6163,1284,7447,10425,17872,0.0254101,-0.23147,-0.97251,0
0,0,0,0,0,2966,453,3419,1676,5095,0.00787171,-0.158606,-0.987311,0
0,0,0,0,0,7726,1156,8882,4939,13821,-0.00876554,-0.160204,-0.987045,0
0,0,0,0,0,7861,1139,9000,3442,12442,0.0165641,-0.159834,-0.987005,0
0,0,0,0,0,5287,826,6113,3455,9568,-0.0087061,-0.136298,-0.99063,0
0,0,0,0,0,7876,1140,9016,3752,12768,0.0213217,-0.137147,-0.990321,0
0,0,0,0,0,8734,1185,9919,2546,12465,0.0513925,-0.171413,-0.983858,0
0,0,0,0,0,4075,672,4747,2875,7622,0.0297478,-0.151153,-0.988063,0
0,0,0,0,0,6721,1076,7797,1654,9451,0.0180768,-0.0934616,-0.995459,0
0,0,0,0,0,4903,758,5661,2052,7713,0.0115311,-0.098499,-0.99507,0
0,0,0,0,0,7874,1161,9035,3156,12191,-0.00963114,-0.0877028,-0.9961,0
0,0,0,0,0,5972,783,6755,1926,8681,-0.0462409,-0.0575833,-0.997269,0
0,0,0,0,0,5306,773,6079,1474,7553,-0.0488033,-0.0646282,-0.996715,0
0,0,0,0,0,7582,1104,8686,2062,10748,-0.0586315,-0.0407564,-0.997447,0
0,0,0,0,0,7614,1547,9161,14151,23312,-0.0493316,-0.0315248,-0.998285,0
0,0,0,0,0,3217,478,3695,855,4550,-0.0676636,-0.0537759,-0.996258,0
0,0,0,0,0,7709,1611,9320,15158,24478,-0.0493632,-0.123977,-0.991057,0
0,0,0,0,0,2738,406,3144,1410,4554,-0.0504597,-0.126014,-0.990744,0
0,0,0,0,0,4317,644,4961,1732,6693,-0.0532465,-0.114523,-0.991993,0
0,0,0,0,0,8635,1129,9764,2691,12455,-0.0695357,-0.0545603,-0.996086,0
0,0,0,0,0,7595,1542,9137,9090,18227,-0.149399,-0.0295657,-0.988335,0
0,0,0,0,0,2711,415,3126,1063,4189,-0.125746,-0.0376588,-0.991347,0
0,0,0,0,0,6817,1002,7819,2525,10344,-0.0696482,-0.0541263,-0.996102,0
0,0,0,0,0,7631,1601,9232,11734,20966,-0.0872645,-0.0485131,-0.995003,0
0,0,0,0,0,3233,654,3887,8621,12508,-0.142306,-0.123293,-0.982114,0
0,0,0,0,0,3605,530,4135,1726,5861,-0.153519,-0.111307,-0.981857,0
0,0,0,0,0,7644,1148,8792,3094,11886,-0.127564,-0.102717,-0.986497,0
0,0,0,0,0,7670,1141,8811,3536,12347,-0.112221,-0.0831025,-0.990202,0
0,0,0,0,0,7053,771,7824,1349,9173,-0.114011,-0.0711457,-0.990929,0
0,0,0,0,0,3198,409,3607,794,4401,-0.102539,-0.060764,-0.992871,0
0,0,0,0,0,2694,405,3099,793,3892,-0.110283,-0.0706054,-0.991389,0
0,0,0,0,0,7687,1111,8798,2571,11369,-0.0699596,-0.0544501,-0.996063,0
0,0,0,0,0,7605,1571,9176,8935,18111,-0.105576,-0.0609675,-0.992541,0
0,0,0,0,0,3244,475,3719,977,4696,-0.0698547,-0.0544714,-0.996069,0
0,0,0,0,0,7560,1558,9118,14080,23198,-0.103647,0.0581448,-0.992913,0
0,0,0,0,0,3234,482,3716,1563,5279,-0.11007,0.0518413,-0.992571,0
0,0,0,0,0,7690,1153,8843,2658,11501,-0.0931238,0.0465892,-0.994564,0
0,0,0,0,0,7648,1164,8812,3452,12264,-0.0777811,-0.0103504,-0.996917,0
0,0,0,0,0,7613,1110,8723,2143,10866,-0.0700032,-0.0538735,-0.996091,0
0,0,0,0,0,6475,1079,7554,10742,18296,0.00730902,-0.00483346,-0.999962,0
0,0,0,0,0,2329,348,2677,1230,3907,0.0116343,0.0102889,-0.999879,0
0,0,0,0,0,7587,1149,8736,2680,11416,-0.0515003,0.00333176,-0.998667,0
