Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,7026,1211,8237,19844,28081,-0.0884027,-0.0419149,-0.995203,0
0,0,0,0,0,1944,356,2300,979,3279,-0.000950061,0.0554415,-0.998461,0
0,0,0,0,0,2524,460,2984,948,3932,0.0184026,0.0329947,-0.999286,0
0,0,0,0,0,6410,1130,7540,3025,10565,0.0376837,0.0202122,-0.999085,0
0,0,0,0,0,6390,1146,7536,1912,9448,0.0393417,0.0200035,-0.999026,0
0,0,0,0,0,4311,773,5084,1944,7028,0.0103939,-0.00488626,-0.999934,0
0,0,0,0,0,6474,1144,7618,2400,10018,0.0332796,0.0101294,-0.999395,0
0,0,0,0,0,6298,1149,7447,1924,9371,0.0561455,0.0300282,-0.997971,0
0,0,0,0,0,3314,593,3907,1529,5436,0.0527412,0.0421714,-0.997717,0
0,0,0,0,0,6461,1128,7589,3175,10764,0.0518653,0.0495329,-0.997425,0
0,0,0,0,0,6412,1255,7667,2933,10600,0.0252494,0.0122594,-0.999606,0
0,0,0,0,0,4359,777,5136,1773,6909,-0.0132699,0.041152,-0.999065,0
0,0,0,0,0,6681,1220,7901,2710,10611,0.0205969,0.0561135,-0.998212,0
0,0,0,0,0,6558,1128,7686,2944,10630,0.0265953,0.0317523,-0.999142,0
0,0,0,0,0,3298,656,3954,1281,5235,0.0393495,0.0241947,-0.998933,0
0,0,0,0,0,6805,1123,7928,2307,10235,0.0483657,0.030977,-0.998349,0
0,0,0,0,0,6578,1126,7704,2303,10007,0.0356246,0.0415696,-0.9985,0
0,0,0,0,0,3431,595,4026,1756,5782,0.0321393,0.0441798,-0.998506,0
0,0,0,0,0,6321,1125,7446,2952,10398,0.0354911,0.0398617,-0.998575,0
0,0,0,0,0,3794,594,4388,1221,5609,0.031179,0.0312628,-0.999025,0
0,0,0,0,0,2281,519,2800,787,3587,0.0473482,0.0120887,-0.998805,0
0,0,0,0,0,2858,503,3361,1061,4422,0.0480365,0.0163194,-0.998712,0
0,0,0,0,0,6500,1128,7628,3064,10692,0.0413392,0.0152197,-0.999029,0
0,0,0,0,0,6414,1159,7573,2191,9764,0.0422434,0.0334284,-0.998548,0
0,0,0,0,0,4624,813,5437,2029,7466,0.0465033,0.0308319,-0.998442,0
0,0,0,0,0,6578,1139,7717,3231,10948,0.0446404,0.0310984,-0.998519,0
0,0,0,0,0,6640,1224,7864,3046,10910,0.0500933,0.0366717,-0.998071,0
0,0,0,0,0,6808,798,7606,2181,9787,0.0389342,0.0524873,-0.997862,0
0,0,0,0,0,3461,594,4055,1501,5556,0.0573668,0.0609202,-0.996493,0
0,0,0,0,0,6992,1148,8140,3552,11692,0.0564383,0.0622698,-0.996462,0
0,0,0,0,0,6701,1157,7858,3039,10897,0.063404,0.054284,-0.996511,0
0,0,0,0,0,3421,614,4035,2140,6175,0.033936,0.00336595,-0.999418,0
0,0,0,0,0,6497,1133,7630,3378,11008,0.04204,0.032535,-0.998586,0
0,0,0,0,0,6773,1541,8314,2438,10752,0.0936711,0.0321236,-0.995085,0
0,0,0,0,0,4667,815,5482,3220,8702,0.0785008,0.0161317,-0.996784,0
0,0,0,0,0,5974,1036,7010,3000,10010,0.0704822,0.0124732,-0.997435,0
0,0,0,0,0,4134,725,4859,1720,6579,0.0674266,0.0154037,-0.997605,0
0,0,0,0,0,6467,1114,7581,3137,10718,0.0555673,0.0143013,-0.998353,0
0,0,0,0,0,6499,1120,7619,2739,10358,0.0270389,0.031461,-0.999139,0
