Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,13913,161,485,14559,1966,16525,-0.0353803,-0.0140583,-0.999275,0
0,0,0,0,6007,81,329,6417,947,7364,-0.040276,-0.0218534,-0.99895,0
0,0,0,0,9595,161,491,10247,1525,11772,-0.0239592,-0.0409257,-0.998875,0
0,0,0,0,17222,267,891,18380,2338,20718,-0.0339541,-0.0109694,-0.999363,0
0,0,0,0,8698,220,461,9379,1194,10573,-0.0394159,-0.0310628,-0.99874,0
0,0,0,0,13879,175,712,14766,1498,16264,-0.00500752,-0.025464,-0.999663,0
0,0,0,0,10024,195,522,10741,1323,12064,-0.0355476,-0.0140032,-0.99927,0
0,0,0,0,16526,248,873,17647,1483,19130,-0.0378797,-0.0207272,-0.999067,0
0,0,0,0,8497,123,482,9102,1213,10315,-0.0329151,-0.0118116,-0.999388,0
0,0,0,0,17195,237,607,18039,1628,19667,-0.0354283,-0.0140627,-0.999273,0
0,0,0,0,8867,164,481,9512,1246,10758,-0.0398677,-0.0222081,-0.998958,0
0,0,0,0,12952,208,655,13815,1887,15702,-0.0194703,-0.0125653,-0.999731,0
0,0,0,0,12776,196,681,13653,1610,15263,-0.0374822,-0.0165774,-0.99916,0
0,0,0,0,9586,124,505,10215,1455,11670,-0.0249051,-0.0205565,-0.999478,0
0,0,0,0,17328,331,837,18496,1966,20462,-0.0404847,0.000227227,-0.99918,0
0,0,0,0,6725,112,314,7151,677,7828,-0.0434273,-0.0241564,-0.998765,0
0,0,0,0,4500,70,239,4809,921,5730,-0.0392897,-0.0188262,-0.99905,0
0,0,0,0,7093,101,374,7568,1091,8659,-0.0355517,-0.0142578,-0.999266,0
0,0,0,0,16533,242,873,17648,1552,19200,-0.0102448,-0.022698,-0.99969,0
0,0,0,0,8837,140,459,9436,1357,10793,-0.0367749,-0.0171866,-0.999176,0
0,0,0,0,16915,258,875,18048,1670,19718,-0.0302849,-0.0303939,-0.999079,0
0,0,0,0,11084,137,465,11686,1355,13041,-0.0356705,-0.0141753,-0.999263,0
0,0,0,0,6257,105,291,6653,862,7515,-0.0426548,-0.0279907,-0.998698,0
0,0,0,0,4687,81,239,5007,714,5721,-0.0420988,-0.0220846,-0.998869,0
0,0,0,0,12343,165,666,13174,2151,15325,-0.0331909,-0.0119679,-0.999377,0
0,0,0,0,16727,174,618,17519,1291,18810,-0.0305594,-0.0199918,-0.999333,0
0,0,0,0,7379,112,446,7937,1097,9034,-0.0110615,-0.0336587,-0.999372,0
