Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,19535,260,972,20767,4061,24828,0.0192597,-0.0700458,-0.997358,0
0,0,0,0,7101,105,341,7547,1078,8625,0.00948989,0.000111179,-0.999955,0
0,0,0,0,6397,114,369,6880,1951,8831,0.0368892,-0.0102965,-0.999266,0
0,0,0,0,19308,372,1116,20796,3113,23909,-0.032054,-0.0655579,-0.997334,0
0,0,0,0,10134,154,585,10873,1476,12349,0.0403772,-0.0396399,-0.998398,0
0,0,0,0,18364,334,1115,19813,3579,23392,-0.0887802,-0.134097,-0.986983,0
0,0,0,0,13148,197,768,14113,1374,15487,0.0229546,-0.00182754,-0.999735,0
0,0,0,0,10035,121,588,10744,3293,14037,0.0127125,-0.0115189,-0.999853,0
0,0,0,0,15853,323,907,17083,2620,19703,0.00907201,-0.025002,-0.999646,0
0,0,0,0,11405,226,662,12293,2904,15197,0.00746708,-0.0438855,-0.999009,0
0,0,0,0,19252,216,768,20236,2273,22509,-0.0604414,-0.0584548,-0.996459,0
0,0,0,0,8343,100,475,8918,1417,10335,0.0115052,-0.0304728,-0.999469,0
0,0,0,0,19402,362,1148,20912,3176,24088,0.00735835,-0.0534731,-0.998542,0
0,0,0,0,8089,126,398,8613,1403,10016,0.00717513,-0.0440118,-0.999005,0
0,0,0,0,5323,92,268,5683,885,6568,0.0346529,-0.0136464,-0.999306,0
0,0,0,0,5776,113,331,6220,1264,7484,-0.0772396,-0.0791781,-0.993864,0
0,0,0,0,19588,270,1111,20969,2606,23575,0.0573361,-0.0425851,-0.997446,0
0,0,0,0,13312,257,765,14334,3061,17395,-0.044799,-0.0202926,-0.99879,0
0,0,0,0,17766,293,920,18979,2771,21750,0.0255944,-0.0500336,-0.99842,0
0,0,0,0,7881,143,499,8523,1774,10297,-0.0139081,-0.0152603,-0.999787,0
0,0,0,0,13436,271,763,14470,3820,18290,0.0208315,-0.0535506,-0.998348,0
0,0,0,0,13211,214,765,14190,2596,16786,0.0228465,0.0589207,-0.998001,0
0,0,0,0,12325,176,716,13217,4382,17599,0.00906196,-0.0719103,-0.99737,0
0,0,0,0,9562,111,551,10224,1223,11447,0.0314739,-0.0194284,-0.999316,0
0,0,0,0,19411,202,863,20476,2920,23396,-0.103616,-0.112589,-0.988224,0
0,0,0,0,8346,98,472,8916,1223,10139,0.0318493,-0.0275065,-0.999114,0
0,0,0,0,10941,206,625,11772,2377,14149,-0.0875097,-0.122337,-0.988623,0
0,0,0,0,17337,253,988,18578,1710,20288,0.0321895,0.0214733,-0.999251,0
0,0,0,0,9749,117,558,10424,2527,12951,-0.0943634,-0.153415,-0.983646,0
0,0,0,0,14290,209,859,15358,2332,17690,0.0653104,0.0266904,-0.997508,0
0,0,0,0,10805,154,848,11807,2553,14360,-0.0262007,-0.0847872,-0.996055,0
0,0,0,0,10876,203,621,11700,1428,13128,0.0126352,-0.00676856,-0.999897,0
0,0,0,0,13879,246,807,14932,3057,17989,0.00706519,-0.0441853,-0.998998,0
0,0,0,0,10347,183,587,11117,1872,12989,0.0100883,0.0171689,-0.999802,0
0,0,0,0,9666,126,561,10353,2819,13172,0.0128715,-0.0801727,-0.996698,0
0,0,0,0,14466,266,852,15584,2232,17816,0.0203625,-0.0304285,-0.99933,0
0,0,0,0,10953,198,636,11787,2616,14403,0.017349,-0.0203647,-0.999642,0
0,0,0,0,13392,244,791,14427,3684,18111,0.012604,-0.0409202,-0.999083,0
0,0,0,0,12167,223,726,13116,2849,15965,-0.0390549,-0.0298949,-0.99879,0
0,0,0,0,12337,196,711,13244,1762,15006,0.0261123,-0.0568634,-0.99804,0
0,0,0,0,9627,208,554,10389,2409,12798,-0.0242428,-0.0523541,-0.998334,0
0,0,0,0,19497,238,858,20593,1839,22432,0.0204435,-0.0211939,-0.999566,0
0,0,0,0,10272,192,587,11051,1809,12860,7.36433e-06,-0.0617699,-0.99809,0
0,0,0,0,9568,159,556,10283,1454,11737,-0.0244438,-0.0416661,-0.998833,0
0,0,0,0,19197,233,767,20197,2295,22492,-0.00498094,0.0139726,-0.99989,0
0,0,0,0,8267,131,535,8933,2408,11341,0.0400705,-0.0319922,-0.998685,0
0,0,0,0,11372,215,661,12248,1902,14150,-0.105815,-0.130976,-0.985722,0
0,0,0,0,18904,176,777,19857,1802,21659,0.0531953,0.00237706,-0.998581,0
0,0,0,0,8173,157,478,8808,2126,10934,-0.123723,-0.136036,-0.982948,0
0,0,0,0,9208,114,523,9845,1470,11315,0.0336683,-0.000963776,-0.999433,0
0,0,0,0,17641,278,996,18915,4240,23155,-0.0299396,-0.0972533,-0.994809,0
0,0,0,0,9524,141,549,10214,985,11199,0.0347559,-0.0396962,-0.998607,0
0,0,0,0,10941,199,623,11763,2765,14528,0.00176375,-0.00485528,-0.999987,0
0,0,0,0,18889,247,766,19902,2316,22218,0.0114077,-0.0579357,-0.998255,0
0,0,0,0,8123,182,479,8784,1593,10377,0.00579473,-0.0151371,-0.999869,0
0,0,0,0,11970,212,665,12847,3019,15866,0.0243584,-0.0146909,-0.999595,0
0,0,0,0,14249,204,887,15340,4468,19808,-0.0516671,-0.0874693,-0.994826,0
0,0,0,0,15674,206,832,16712,1588,18300,0.00846648,0.0264757,-0.999614,0
0,0,0,0,11024,203,624,11851,3221,15072,0.0478701,0.00479774,-0.998842,0
0,0,0,0,8742,90,500,9332,1590,10922,-0.0553892,-0.0762114,-0.995552,0
0,0,0,0,12570,172,717,13459,1815,15274,0.0385975,-0.0332959,-0.9987,0
0,0,0,0,15582,175,906,16663,2624,19287,-0.0132181,-0.0247831,-0.999605,0
0,0,0,0,11862,214,663,12739,2679,15418,0.0135929,-0.0528894,-0.998508,0
0,0,0,0,9156,199,525,9880,1767,11647,-0.0214892,-0.0408564,-0.998934,0
0,0,0,0,17623,331,948,18902,2018,20920,0.0097868,-0.010165,-0.9999,0
0,0,0,0,17376,231,765,18372,2705,21077,0.0240414,-0.041638,-0.998843,0
0,0,0,0,6968,128,476,7572,2002,9574,0.000816874,0.0115376,-0.999933,0
0,0,0,0,9187,174,523,9884,2072,11956,0.0302421,-0.0268737,-0.999181,0
0,0,0,0,18798,143,787,19728,1923,21651,-0.0431512,-0.0737102,-0.996346,0
0,0,0,0,8119,123,495,8737,962,9699,0.0387059,-0.039748,-0.99846,0
0,0,0,0,11635,194,715,12544,2878,15422,-0.0852881,-0.11773,-0.989376,0
0,0,0,0,14687,200,828,15715,1517,17232,0.0315442,0.0214541,-0.999272,0
0,0,0,0,18559,255,767,19581,2831,22412,-0.14235,-0.152622,-0.977979,0
0,0,0,0,8308,105,475,8888,1262,10150,-0.0443498,-0.0593869,-0.997249,0
0,0,0,0,18270,228,773,19271,1291,20562,0.0369271,-0.0373912,-0.998618,0
0,0,0,0,8323,162,475,8960,1845,10805,-0.0625709,-0.0643969,-0.995961,0
0,0,0,0,9523,134,542,10199,1351,11550,0.0189096,-0.0353369,-0.999197,0
0,0,0,0,13357,156,763,14276,2667,16943,-0.0727443,-0.0679099,-0.995036,0
0,0,0,0,12272,217,712,13201,1876,15077,0.0415522,0.00281985,-0.999132,0
0,0,0,0,12800,126,727,13653,3016,16669,-0.102188,-0.0994788,-0.989779,0
0,0,0,0,9579,117,552,10248,1505,11753,0.0677278,-0.00857967,-0.997667,0
0,0,0,0,15145,143,833,16121,2236,18357,-0.025982,-0.0597356,-0.997876,0
0,0,0,0,11040,188,634,11862,1689,13551,0.0264179,-0.0402841,-0.998839,0
0,0,0,0,10234,190,587,11011,2416,13427,-0.0085574,-0.0540127,-0.998504,0
0,0,0,0,16399,287,955,17641,1994,19635,0.000629693,-0.00479659,-0.999988,0
0,0,0,0,11422,146,672,12240,3064,15304,0.0150242,-0.0853675,-0.996236,0
0,0,0,0,8670,136,512,9318,1315,10633,-0.0191178,-0.0138974,-0.999721,0
0,0,0,0,19161,236,766,20163,3172,23335,0.025625,-0.0540726,-0.998208,0
0,0,0,0,15812,228,570,16610,2027,18637,-0.0820713,-0.0681788,-0.994292,0
0,0,0,0,6573,82,496,7151,1081,8232,0.0963715,-0.0608167,-0.993486,0
0,0,0,0,12540,249,742,13531,3626,17157,-0.0729307,-0.0711026,-0.994799,0
0,0,0,0,12447,224,742,13413,1447,14860,0.0459956,-0.0252095,-0.998623,0
0,0,0,0,9963,197,563,10723,2034,12757,-0.00280745,-0.0527897,-0.998602,0
0,0,0,0,14559,249,845,15653,2856,18509,0.0230692,-0.0428189,-0.998816,0
0,0,0,0,10929,126,623,11678,2743,14421,-0.104861,-0.096228,-0.98982,0
0,0,0,0,13041,181,763,13985,2108,16093,0.0408428,-0.0271123,-0.998798,0
0,0,0,0,12615,287,713,13615,2489,16104,-0.0699023,-0.0785291,-0.994458,0
0,0,0,0,12382,176,711,13269,1482,14751,0.0250983,-0.0193048,-0.999499,0
0,0,0,0,9668,176,585,10429,1672,12101,0.00719636,-0.0441182,-0.999,0
0,0,0,0,17960,165,788,18913,1816,20729,0.0120211,-0.0372685,-0.999233,0
0,0,0,0,8136,126,486,8748,1789,10537,0.00360803,-0.0467589,-0.9989,0
0,0,0,0,14350,193,838,15381,2750,18131,-0.0248847,-0.0540978,-0.998226,0
0,0,0,0,10932,157,623,11712,1697,13409,0.028769,-0.0234461,-0.999311,0
