Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,17885,154,753,18792,8743,27535,-0.0671881,-0.4624,-0.884122,0
0,0,0,0,5315,34,280,5629,1867,7496,0.0324699,0.355554,-0.934092,0
0,0,0,0,17640,158,840,18638,2280,20918,-0.0230914,0.0228484,-0.999472,0
0,0,0,0,8316,95,437,8848,3261,12109,-0.00507128,0.373851,-0.927475,0
0,0,0,0,6375,48,359,6782,2046,8828,-0.0020762,-0.0136923,-0.999904,0
0,0,0,0,11933,169,661,12763,-1000,-1000,-1,-1,-1,0
0,0,0,0,9701,41,512,10254,7019,17273,0.00990661,-0.0212113,-0.999726,0
0,0,0,0,6362,53,351,6766,-1000,-1000,-1,-1,-1,0
0,0,0,0,18586,60,721,19367,9194,28561,0.0167667,-0.33698,-0.941363,0
0,0,0,0,5545,55,280,5880,3135,9015,-0.000608521,0.398369,-0.917225,0
0,0,0,0,5635,63,324,6022,2966,8988,0.00310138,0.0225406,-0.999741,0
0,0,0,0,14147,130,840,15117,10192,25309,0.0216116,0.367393,-0.929815,0
0,0,0,0,11019,84,614,11717,3061,14778,-0.0449326,0.155422,-0.986826,0
0,0,0,0,7362,132,403,7897,2740,10637,0.014291,0.0928814,-0.995575,0
0,0,0,0,16707,183,719,17609,4287,21896,0.0171037,0.135757,-0.990594,0
0,0,0,0,6475,88,370,6933,-1000,-1000,-1,-1,-1,0
0,0,0,0,9702,51,545,10298,9337,19635,0.0240753,0.00561798,-0.999694,0
0,0,0,0,17381,104,716,18201,4865,23066,0.0190438,0.139197,-0.990082,0
0,0,0,0,6609,87,373,7069,3510,10579,0.0199774,0.139797,-0.989979,0
0,0,0,0,8353,125,466,8944,-1000,-1000,-1,-1,-1,0
0,0,0,0,12121,48,658,12827,7812,20639,0.227421,-0.207785,-0.95137,0
0,0,0,0,7683,79,418,8180,3890,12070,0.00177645,0.366231,-0.930522,0
0,0,0,0,8634,97,481,9212,5276,14488,0.0409178,-0.50628,-0.861398,0
0,0,0,0,12680,119,728,13527,5383,18910,-0.0155956,0.270645,-0.962553,0
0,0,0,0,19285,167,745,20197,3507,23704,-0.0111813,-0.0825276,-0.996526,0
0,0,0,0,7106,51,380,7537,4374,11911,0.00386057,-0.0257033,-0.999662,0
0,0,0,0,4748,52,261,5061,-1000,-1000,-1,-1,-1,0
0,0,0,0,4721,34,278,5033,2361,7394,-0.0177785,-0.0556632,-0.998291,0
0,0,0,0,9927,194,576,10697,4127,14824,0.00428597,0.227178,-0.973844,0
0,0,0,0,12422,163,700,13285,3859,17144,-0.0687865,-0.0340014,-0.997052,0
0,0,0,0,9335,121,541,9997,2922,12919,-0.0876524,-0.034982,-0.995537,0
0,0,0,0,7323,118,416,7857,2748,10605,-0.0615619,-0.0762599,-0.995186,0
0,0,0,0,15334,146,869,16349,3686,20035,-0.183357,0.000834135,-0.983046,0
0,0,0,0,9136,92,499,9727,1582,11309,-0.156399,-0.0375165,-0.986981,0
0,0,0,0,8648,128,494,9270,1402,10672,-0.140377,-0.0872542,-0.986246,0
0,0,0,0,12294,169,680,13143,1621,14764,-0.126896,-0.158856,-0.979113,0
0,0,0,0,9666,106,542,10314,1308,11622,-0.0774467,-0.207558,-0.975152,0
0,0,0,0,12070,185,654,12909,1586,14495,-0.0647844,-0.308257,-0.949095,0
0,0,0,0,11483,155,629,12267,2249,14516,-0.0325096,-0.371375,-0.927914,0
