Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,18752,185,772,19709,-1000,-1000,-1,-1,-1,0
0,0,0,0,8204,59,475,8738,2796,11534,0.235791,0.0176562,-0.971643,0
0,0,0,0,10909,135,602,11646,1997,13643,-0.0549663,0.00356732,-0.998482,0
0,0,0,0,17263,173,688,18124,2846,20970,0.033575,0.00540408,-0.999422,0
0,0,0,0,7980,161,428,8569,1048,9617,0.00214622,0.0137952,-0.999903,0
0,0,0,0,19619,257,837,20713,2565,23278,0.0144037,0.00398135,-0.999888,0
0,0,0,0,8327,134,451,8912,1382,10294,-0.02264,0.018786,-0.999567,0
0,0,0,0,9162,136,493,9791,2355,12146,-0.10533,-0.153178,-0.982569,0
0,0,0,0,4815,61,267,5143,954,6097,0.0255338,0.0548843,-0.998166,0
0,0,0,0,20465,393,1084,21942,3600,25542,0.001164,0.104432,-0.994531,0
0,0,0,0,8333,125,452,8910,2070,10980,-0.0425768,-0.0674681,-0.996813,0
0,0,0,0,9098,121,495,9714,2093,11807,0.0198087,0.0468501,-0.998706,0
0,0,0,0,13731,174,731,14636,2046,16682,0.000848493,0.00961124,-0.999953,0
0,0,0,0,10190,149,544,10883,1345,12228,0.0190126,0.0557646,-0.998263,0
0,0,0,0,12333,153,681,13167,1670,14837,-0.0063921,0.0523363,-0.998609,0
0,0,0,0,12563,148,682,13393,1313,14706,0.0108207,0.0640388,-0.997889,0
0,0,0,0,11627,138,649,12414,1518,13932,-0.0181617,0.0961735,-0.995199,0
0,0,0,0,17168,150,562,17880,1633,19513,-0.00202887,0.0983605,-0.995149,0
0,0,0,0,8293,90,456,8839,965,9804,-0.00868697,0.119215,-0.99283,0
0,0,0,0,11389,157,620,12166,1516,13682,-2.07853e-05,0.127709,-0.991812,0
0,0,0,0,17793,192,695,18680,1708,20388,-0.0289972,0.143968,-0.989157,0
0,0,0,0,8431,116,453,9000,1266,10266,0.0316372,0.161304,-0.986398,0
0,0,0,0,19010,202,763,19975,1685,21660,-0.010821,0.202719,-0.979177,0
0,0,0,0,8908,141,470,9519,1347,10866,0.0408426,0.215233,-0.975708,0
0,0,0,0,11929,209,623,12761,1993,14754,-0.00628303,0.259736,-0.965659,0
0,0,0,0,13159,154,641,13954,1612,15566,0.014561,0.284853,-0.958461,0
0,0,0,0,9341,157,510,10008,2452,12460,0.0175293,0.30541,-0.95206,0
0,0,0,0,11818,156,572,12546,2170,14716,0.0201054,0.330601,-0.943556,0
0,0,0,0,13807,198,699,14704,1879,16583,0.0185991,0.363025,-0.931594,0
0,0,0,0,10790,107,555,11452,1709,13161,0.050641,0.384705,-0.921649,0
0,0,0,0,13105,142,668,13915,3627,17542,-0.0103089,0.448116,-0.893916,0
0,0,0,0,9977,158,524,10659,1372,12031,0.0436101,0.441998,-0.895955,0
0,0,0,0,18375,155,610,19140,2791,21931,0.0361603,0.531694,-0.846164,0
0,0,0,0,7226,98,386,7710,1281,8991,0.0437345,0.530892,-0.84631,0
0,0,0,0,10566,129,561,11256,2373,13629,0.0136404,0.573352,-0.819195,0
0,0,0,0,16528,183,858,17569,1967,19536,-0.0138092,0.609139,-0.792943,0
0,0,0,0,9386,158,496,10040,2110,12150,-0.00727246,0.659281,-0.751861,0
0,0,0,0,13596,162,703,14461,3092,17553,-0.0100022,0.655471,-0.755154,0
0,0,0,0,12762,184,655,13601,-1000,-1000,-1,-1,-1,0
