Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,19078,149,770,19997,2519,22516,0.0433124,-0.00352233,-0.999055,0
0,0,0,0,10353,108,451,10912,1429,12341,0.00270518,-0.192148,-0.981362,0
0,0,0,0,5858,52,360,6270,1334,7604,0.00330198,0.0115611,-0.999928,0
0,0,0,0,19507,330,1056,20893,3187,24080,0.0199479,-0.102433,-0.99454,0
0,0,0,0,9786,110,575,10471,1109,11580,-0.0029549,-0.182184,-0.98326,0
0,0,0,0,18581,178,1084,19843,2765,22608,0.01061,0.0284004,-0.99954,0
0,0,0,0,10046,185,546,10777,1961,12738,0.0417273,-0.164995,-0.985411,0
0,0,0,0,14444,199,882,15525,4394,19919,0.0090866,-0.0134399,-0.999868,0
0,0,0,0,18815,314,1066,20195,2844,23039,0.0148066,-0.0993666,-0.994941,0
0,0,0,0,9960,112,553,10625,1304,11929,-0.00726347,-0.181129,-0.983432,0
0,0,0,0,15312,175,918,16405,3675,20080,0.0469877,0.0185714,-0.998723,0
0,0,0,0,8792,123,493,9408,1964,11372,-0.00188891,-0.337088,-0.941471,0
0,0,0,0,9947,67,552,10566,2380,12946,0.00581206,0.0238708,-0.999698,0
0,0,0,0,11967,136,666,12769,2613,15382,0.00977902,-0.160627,-0.986967,0
0,0,0,0,18217,182,725,19124,2621,21745,-0.0101196,-0.180057,-0.983604,0
0,0,0,0,7862,100,447,8409,2124,10533,0.0154176,0.0199411,-0.999682,0
0,0,0,0,8994,113,493,9600,2796,12396,0.0181287,-0.164976,-0.986131,0
0,0,0,0,16803,130,936,17869,2541,20410,0.00533705,0.0170374,-0.999841,0
0,0,0,0,9404,107,534,10045,2938,12983,0.00098283,-0.0191981,-0.999815,0
0,0,0,0,11758,171,649,12578,3330,15908,0.0475465,-0.250329,-0.966993,0
0,0,0,0,14449,232,779,15460,3723,19183,-0.0963202,0.294512,-0.950781,0
0,0,0,0,17192,157,652,18001,2677,20678,0.0707747,-0.327321,-0.942259,0
0,0,0,0,8015,54,446,8515,2819,11334,-0.030629,0.240864,-0.970075,0
0,0,0,0,10514,84,582,11180,2718,13898,0.0575344,-0.358748,-0.93166,0
0,0,0,0,17184,206,933,18323,6461,24784,-0.0530765,0.330737,-0.942229,0
0,0,0,0,7599,60,423,8082,2079,10161,0.00941147,-0.389967,-0.920781,0
0,0,0,0,18674,323,1040,20037,2835,22872,-0.00111792,0.0470707,-0.998891,0
0,0,0,0,9969,128,562,10659,2695,13354,-6.11495e-05,-0.0530795,-0.99859,0
0,0,0,0,11155,90,631,11876,2467,14343,-0.0019679,-0.0510341,-0.998695,0
0,0,0,0,14021,140,791,14952,2784,17736,0.023607,-0.406179,-0.913489,0
