Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,19519,382,799,20700,1661,22361,-0.0841067,-0.0595132,-0.994678,0
0,0,0,0,9131,115,464,9710,779,10489,-0.0696958,-0.0526973,-0.996175,0
0,0,0,0,9855,141,526,10522,990,11512,-0.0699107,-0.05376,-0.996104,0
0,0,0,0,18047,209,718,18974,1306,20280,-0.0741319,-0.0409481,-0.996407,0
0,0,0,0,8519,177,456,9152,918,10070,-0.0568396,-0.0578536,-0.996706,0
0,0,0,0,14232,213,776,15221,1643,16864,-0.071199,-0.0495102,-0.996233,0
0,0,0,0,15142,222,789,16153,1170,17323,-0.0715794,-0.0548496,-0.995926,0
0,0,0,0,11336,241,901,12478,1183,13661,-0.0727548,-0.046548,-0.996263,0
0,0,0,0,9126,141,492,9759,1121,10880,-0.047312,-0.0747093,-0.996082,0
0,0,0,0,10713,145,556,11414,1318,12732,-0.0789623,-0.0464326,-0.995796,0
0,0,0,0,15446,221,859,16526,1172,17698,-0.060263,-0.0606548,-0.996338,0
0,0,0,0,9095,146,501,9742,937,10679,-0.069721,-0.053485,-0.996132,0
0,0,0,0,16460,278,912,17650,1848,19498,-0.0709135,-0.0558249,-0.995919,0
0,0,0,0,16930,203,671,17804,1287,19091,-0.0607855,-0.0433254,-0.99721,0
0,0,0,0,9697,184,529,10410,1084,11494,-0.0696387,-0.0533062,-0.996147,0
0,0,0,0,9162,125,500,9787,995,10782,-0.0543404,-0.0647224,-0.996423,0
0,0,0,0,13396,245,716,14357,1397,15754,-0.0761454,-0.0528175,-0.995697,0
0,0,0,0,10400,159,577,11136,1093,12229,-0.0695662,-0.0535282,-0.99614,0
0,0,0,0,16007,196,631,16834,1246,18080,-0.070074,-0.0559824,-0.99597,0
0,0,0,0,9325,148,507,9980,993,10973,-0.0720281,-0.0599901,-0.995597,0
0,0,0,0,20743,190,780,21713,1415,23128,-0.0729077,-0.0491393,-0.996127,0
0,0,0,0,8844,171,490,9505,790,10295,-0.0734058,-0.0675366,-0.995013,0
0,0,0,0,9806,132,526,10464,978,11442,-0.0658228,-0.0452816,-0.996803,0
0,0,0,0,20275,142,772,21189,1248,22437,-0.0699548,-0.0541494,-0.996079,0
0,0,0,0,8962,146,509,9617,744,10361,-0.0724341,-0.0469892,-0.996266,0
0,0,0,0,11646,215,638,12499,1268,13767,-0.0834701,-0.0791582,-0.993361,0
0,0,0,0,14127,234,776,15137,1076,16213,-0.0676464,-0.0450744,-0.996691,0
0,0,0,0,10930,127,593,11650,1384,13034,-0.0635961,-0.0422992,-0.997079,0
0,0,0,0,11269,164,592,12025,1130,13155,-0.0697692,-0.0541312,-0.996093,0
0,0,0,0,13121,157,727,14005,1531,15536,-0.0794108,-0.039048,-0.996077,0
0,0,0,0,10431,95,459,10985,1419,12404,-0.0697153,-0.0540989,-0.996099,0
0,0,0,0,10764,186,613,11563,1122,12685,-0.076737,-0.0788955,-0.993925,0
0,0,0,0,20634,230,776,21640,1320,22960,-0.0644588,-0.0433164,-0.99698,0
0,0,0,0,10689,126,483,11298,991,12289,-0.0720988,-0.0591063,-0.995645,0
0,0,0,0,7554,117,461,8132,768,8900,-0.0703051,-0.0491117,-0.996316,0
0,0,0,0,19490,281,1007,20778,1681,22459,-0.069953,-0.0545897,-0.996055,0
0,0,0,0,10450,191,559,11200,979,12179,-0.0684305,-0.0497922,-0.996413,0
0,0,0,0,21425,255,823,22503,1599,24102,-0.0700392,-0.0547217,-0.996042,0
0,0,0,0,8031,139,401,8571,854,9425,-0.0653958,-0.0523466,-0.996485,0
0,0,0,0,5681,82,279,6042,513,6555,-0.0712866,-0.0638654,-0.995409,0
0,0,0,0,4951,85,282,5318,501,5819,-0.0651632,-0.052204,-0.996508,0
0,0,0,0,8383,104,454,8941,953,9894,-0.075482,-0.0531243,-0.995731,0
0,0,0,0,19858,172,773,20803,1058,21861,-0.0698425,-0.0547273,-0.996056,0
0,0,0,0,8721,127,476,9324,921,10245,-0.0863713,-0.0672833,-0.993988,0
0,0,0,0,9676,138,531,10345,1036,11381,-0.0698999,-0.054479,-0.996065,0
0,0,0,0,20143,214,777,21134,1167,22301,-0.0496237,-0.0546099,-0.997274,0
0,0,0,0,8781,118,476,9375,770,10145,-0.0857091,-0.061206,-0.994438,0
0,0,0,0,11937,198,632,12767,1171,13938,-0.0697154,-0.054655,-0.996069,0
0,0,0,0,20027,169,767,20963,1249,22212,-0.0711611,-0.0660276,-0.995277,0
0,0,0,0,7665,118,354,8137,663,8800,-0.0546211,-0.0785133,-0.995416,0
0,0,0,0,5096,106,282,5484,446,5930,-0.0768401,-0.048087,-0.995883,0
0,0,0,0,5246,68,296,5610,587,6197,-0.0585757,-0.0639673,-0.996231,0
0,0,0,0,17297,182,598,18077,1088,19165,-0.0731306,-0.0527597,-0.995926,0
0,0,0,0,8394,134,456,8984,898,9882,-0.0641898,-0.0586264,-0.996214,0
0,0,0,0,18976,264,808,20048,1046,21094,-0.0713819,-0.0509117,-0.996149,0
0,0,0,0,8396,132,463,8991,1023,10014,-0.0701901,-0.056267,-0.995945,0
