Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,18918,224,1028,20170,3541,23711,-0.0338025,-0.0878161,-0.995563,0
0,0,0,0,7393,90,422,7905,1437,9342,-0.0410612,-0.0621788,-0.99722,0
0,0,0,0,7867,125,467,8459,1636,10095,-0.0193435,-0.100316,-0.994768,0
0,0,0,0,18840,260,1097,20197,3139,23336,-0.0508337,-0.0614947,-0.996812,0
0,0,0,0,9415,118,546,10079,1435,11514,-0.0415364,-0.075747,-0.996262,0
0,0,0,0,10639,131,614,11384,1938,13322,-0.0150995,-0.0924121,-0.995606,0
0,0,0,0,16867,285,1104,18256,3861,22117,-0.0366068,-0.072107,-0.996725,0
0,0,0,0,9431,110,548,10089,2430,12519,-0.0121093,-0.0101085,-0.999876,0
0,0,0,0,18621,205,1085,19911,2971,22882,-0.00879307,-0.0511769,-0.998651,0
0,0,0,0,7763,92,452,8307,2006,10313,-0.124943,-0.132378,-0.983293,0
0,0,0,0,10705,183,595,11483,1761,13244,0.0487496,-0.0624347,-0.996858,0
0,0,0,0,18276,143,776,19195,3156,22351,-0.108767,-0.0739793,-0.991311,0
0,0,0,0,8018,159,473,8650,2281,10931,-0.0227898,-0.0794736,-0.996576,0
0,0,0,0,9517,129,520,10166,2097,12263,-0.128728,-0.142871,-0.981334,0
0,0,0,0,13035,165,773,13973,2820,16793,0.0264283,-0.0671704,-0.997391,0
0,0,0,0,9940,186,582,10708,2830,13538,-0.112172,-0.138153,-0.984038,0
0,0,0,0,15530,277,944,16751,1956,18707,0.00209525,-0.00783146,-0.999967,0
0,0,0,0,18822,215,905,19942,4032,23974,-0.0423057,-0.0970049,-0.994384,0
0,0,0,0,7255,96,402,7753,1007,8760,-0.0240845,-0.0633435,-0.997701,0
0,0,0,0,5172,67,269,5508,1173,6681,0.00154981,-0.0702745,-0.997526,0
0,0,0,0,17156,167,703,18026,3165,21191,-0.0695669,-0.0740619,-0.994824,0
0,0,0,0,7792,107,496,8395,1484,9879,-0.0150431,-0.0624297,-0.997936,0
0,0,0,0,13127,169,762,14058,2904,16962,-0.0603939,-0.0750946,-0.995346,0
0,0,0,0,17248,357,988,18593,2557,21150,0.000495485,-0.0647102,-0.997904,0
0,0,0,0,9552,99,553,10204,3218,13422,-0.15795,-0.232758,-0.959623,0
0,0,0,0,11170,128,621,11919,1839,13758,0.00984214,-0.0242522,-0.999657,0
0,0,0,0,13406,189,764,14359,2877,17236,-0.185487,-0.212323,-0.959434,0
