Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5277,0,0,0,0,1032,264,6573,1273,7846,-0.0867741,0.0564186,-0.994629,0
5187,0,0,0,0,986,247,6420,1418,7838,-0.0624592,0.0354508,-0.997418,0
5353,0,0,0,0,1025,272,6650,1080,7730,-0.0284844,0.00225008,-0.999592,0
5414,0,0,0,0,994,241,6649,3707,10356,0.0131563,-0.011199,-0.999851,0
5133,0,0,0,0,1003,238,6374,4028,10402,0.0221445,-0.0118531,-0.999685,0
5251,0,0,0,0,1045,240,6536,4090,10626,0.0218081,-0.0119788,-0.999691,0
5185,0,0,0,0,1009,237,6431,3747,10178,0.0235411,-0.00983521,-0.999675,0
5108,0,0,0,0,996,276,6380,3986,10366,0.0235993,-0.010515,-0.999666,0
5139,0,0,0,0,968,237,6344,4183,10527,0.0223964,-0.0118209,-0.999679,0
5102,0,0,0,0,1016,284,6402,4176,10578,0.0233156,-0.0128884,-0.999645,0
5290,0,0,0,0,1010,239,6539,4093,10632,0.0227953,-0.0113967,-0.999675,0
5392,0,0,0,0,1043,240,6675,4014,10689,0.0228618,-0.0126033,-0.999659,0
5253,0,0,0,0,985,245,6483,4198,10681,0.0227111,-0.0125475,-0.999663,0
4792,0,0,0,0,857,244,5893,3621,9514,0.021226,-0.0130147,-0.99969,0
5733,0,0,0,0,1071,269,7073,3988,11061,0.0227233,-0.0124643,-0.999664,0
5301,0,0,0,0,1002,246,6549,3514,10063,0.023997,-0.0105133,-0.999657,0
4762,0,0,0,0,868,236,5866,1959,7825,0.0252882,-0.00698967,-0.999656,0
4782,0,0,0,0,926,226,5934,3687,9621,0.0233123,-0.012021,-0.999656,0
5282,0,0,0,0,958,292,6532,3910,10442,0.0238393,-0.012192,-0.999642,0
5415,0,0,0,0,923,237,6575,3871,10446,0.0221362,-0.0122762,-0.99968,0
4921,0,0,0,0,662,167,5750,2528,8278,0.023522,-0.0128172,-0.999642,0
2188,0,0,0,0,344,84,2616,1416,4032,0.0218788,-0.0125091,-0.999683,0
3385,0,0,0,0,618,159,4162,2483,6645,0.0221889,-0.0126341,-0.999674,0
5445,0,0,0,0,965,292,6702,4239,10941,0.0222674,-0.0139415,-0.999655,0
5392,0,0,0,0,977,279,6648,3890,10538,0.0245455,-0.0130488,-0.999614,0
5305,0,0,0,0,955,249,6509,1667,8176,0.0272374,-0.0104888,-0.999574,0
5316,0,0,0,0,1060,266,6642,3942,10584,0.0226758,-0.01344,-0.999652,0
6050,0,0,0,0,693,171,6914,2778,9692,0.0221938,-0.0137731,-0.999659,0
2767,0,0,0,0,486,123,3376,1621,4997,0.0225527,-0.0137337,-0.999651,0
2902,0,0,0,0,547,131,3580,2269,5849,0.0238046,-0.0141593,-0.999616,0
5255,0,0,0,0,966,302,6523,4195,10718,0.0231271,-0.0149774,-0.999621,0
5286,0,0,0,0,923,233,6442,4152,10594,0.0213348,-0.0138069,-0.999677,0
5186,0,0,0,0,999,320,6505,3754,10259,0.0222439,-0.0144734,-0.999648,0
4862,0,0,0,0,1129,226,6217,3364,9581,0.0226132,-0.0140732,-0.999645,0
4797,0,0,0,0,832,249,5878,3746,9624,0.0222491,-0.0145253,-0.999647,0
4858,0,0,0,0,944,225,6027,3602,9629,0.0221866,-0.0138011,-0.999659,0
4904,0,0,0,0,854,220,5978,2751,8729,0.0217253,-0.0143358,-0.999661,0
5388,0,0,0,0,905,230,6523,3785,10308,0.0219279,-0.0137245,-0.999665,0
5440,0,0,0,0,869,160,6469,2988,9457,0.0213827,-0.0142961,-0.999669,0
2353,0,0,0,0,388,107,2848,1672,4520,0.0221739,-0.0148496,-0.999644,0
5962,0,0,0,0,975,236,7173,4089,11262,0.0219115,-0.0147382,-0.999651,0
4269,0,0,0,0,656,165,5090,2429,7519,0.0202952,-0.0155763,-0.999673,0
2238,0,0,0,0,418,99,2755,1734,4489,0.0221267,-0.0153382,-0.999637,0
5389,0,0,0,0,965,232,6586,4133,10719,0.0217648,-0.015062,-0.99965,0
