Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5008,0,0,0,0,923,242,6173,1478,7651,-0.0444101,-0.0951522,-0.994471,0
4748,0,0,0,0,866,227,5841,1022,6863,-0.0268232,-0.0126587,-0.99956,0
4855,0,0,0,0,898,229,5982,2005,7987,-0.0224105,0.019721,-0.999554,0
5374,0,0,0,0,862,228,6464,1896,8360,-0.0246929,0.0243817,-0.999398,0
4843,0,0,0,0,854,219,5916,2044,7960,-0.0280836,0.0226559,-0.999349,0
4743,0,0,0,0,863,220,5826,2055,7881,-0.0176758,0.0206263,-0.999631,0
4920,0,0,0,0,858,259,6037,1850,7887,-0.0175333,0.019498,-0.999656,0
4721,0,0,0,0,879,220,5820,2081,7901,-0.0180268,0.0260445,-0.999498,0
4979,0,0,0,0,882,221,6082,1944,8026,-0.0194696,0.0266911,-0.999454,0
5408,0,0,0,0,973,248,6629,2258,8887,-0.0217914,0.0267485,-0.999405,0
4695,0,0,0,0,970,224,5889,2022,7911,-0.0257686,0.0191583,-0.999485,0
4738,0,0,0,0,865,220,5823,2016,7839,-0.025915,0.0210058,-0.999444,0
4869,0,0,0,0,914,221,6004,2239,8243,-0.021641,0.0207176,-0.999551,0
4846,0,0,0,0,938,244,6028,2518,8546,-0.016895,0.0270561,-0.999491,0
4898,0,0,0,0,859,222,5979,2161,8140,-0.0186283,0.0277394,-0.999442,0
4771,0,0,0,0,902,220,5893,2214,8107,-0.0227538,0.0250702,-0.999427,0
4859,0,0,0,0,862,221,5942,2148,8090,-0.018403,0.0206895,-0.999616,0
4384,0,0,0,0,860,226,5470,1972,7442,-0.0188824,0.0207921,-0.999605,0
4920,0,0,0,0,1108,334,6362,2201,8563,-0.0178545,0.0288075,-0.999425,0
4858,0,0,0,0,855,218,5931,2331,8262,-0.0208615,0.0261634,-0.99944,0
4854,0,0,0,0,928,229,6011,2121,8132,-0.0232358,0.0265258,-0.999378,0
4765,0,0,0,0,880,220,5865,2212,8077,-0.0179669,0.0227798,-0.999579,0
3363,0,0,0,0,451,115,3929,1109,5038,-0.0160616,0.0266581,-0.999516,0
4881,0,0,0,0,877,220,5978,2065,8043,-0.0198587,0.0259812,-0.999465,0
4800,0,0,0,0,889,220,5909,1791,7700,-0.0243709,0.0152905,-0.999586,0
5302,0,0,0,0,1233,225,6760,1836,8596,-0.0233615,0.0149402,-0.999615,0
4816,0,0,0,0,907,275,5998,2085,8083,-0.0204127,0.0273144,-0.999419,0
5655,0,0,0,0,992,251,6898,2246,9144,-0.0168858,0.0265403,-0.999505,0
5325,0,0,0,0,891,222,6438,1898,8336,-0.0181687,0.0250775,-0.99952,0
4845,0,0,0,0,1201,249,6295,1755,8050,-0.0178984,0.0201119,-0.999637,0
5408,0,0,0,0,994,246,6648,2667,9315,-0.018022,0.0168944,-0.999695,0
6024,0,0,0,0,857,221,7102,1735,8837,-0.0179572,0.0165749,-0.999701,0
5524,0,0,0,0,925,223,6672,2184,8856,-0.0198994,0.024204,-0.999509,0
3312,0,0,0,0,594,152,4058,1398,5456,-0.0198393,0.0208855,-0.999585,0
5406,0,0,0,0,966,247,6619,2417,9036,-0.0191752,0.0277295,-0.999432,0
5278,0,0,0,0,970,247,6495,1558,8053,-0.0224411,0.0297891,-0.999304,0
3674,0,0,0,0,642,165,4481,1627,6108,-0.0202192,0.0290914,-0.999372,0
4658,0,0,0,0,852,215,5725,2172,7897,-0.0203601,0.0289301,-0.999374,0
5291,0,0,0,0,973,216,6480,2437,8917,-0.0203807,0.0251075,-0.999477,0
5691,0,0,0,0,1032,252,6975,2386,9361,-0.0223944,0.0195708,-0.999557,0
5391,0,0,0,0,999,248,6638,2115,8753,-0.017146,0.0176359,-0.999698,0
5784,0,0,0,0,1095,262,7141,2212,9353,-0.0204973,0.0265161,-0.999438,0
3479,0,0,0,0,483,124,4086,1273,5359,-0.0190467,0.0189667,-0.999639,0
3845,0,0,0,0,728,218,4791,1565,6356,-0.0227994,0.0293544,-0.999309,0
5895,0,0,0,0,1155,252,7302,2226,9528,-0.0183804,0.0184165,-0.999662,0
5297,0,0,0,0,958,271,6526,2171,8697,-0.0192824,0.0255546,-0.999487,0
5581,0,0,0,0,962,268,6811,2213,9024,-0.0201329,0.0235967,-0.999519,0
5391,0,0,0,0,997,250,6638,2263,8901,-0.0183479,0.0201079,-0.999629,0
5533,0,0,0,0,969,250,6752,2257,9009,-0.0213734,0.0261317,-0.99943,0
5620,0,0,0,0,997,251,6868,2124,8992,-0.0212388,0.0208411,-0.999557,0
5599,0,0,0,0,964,269,6832,1782,8614,-0.0309931,0.0169324,-0.999376,0
3888,0,0,0,0,582,125,4595,1221,5816,-0.0203075,0.0248775,-0.999484,0
2122,0,0,0,0,389,98,2609,1018,3627,-0.0213406,0.0279996,-0.99938,0
5609,0,0,0,0,967,248,6824,2230,9054,-0.0212788,0.0267003,-0.999417,0
