Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6469,0,0,0,0,666,166,7301,2090,9391,0.00873065,-0.044316,-0.998979,0
5870,0,0,0,0,660,154,6684,1686,8370,0.0110194,-0.0386545,-0.999192,0
6103,0,0,0,0,652,155,6910,1771,8681,0.0118664,-0.0357357,-0.999291,0
6906,0,0,0,0,652,154,7712,2124,9836,0.0110614,-0.0219242,-0.999699,0
6593,0,0,0,0,726,192,7511,2419,9930,0.00486868,0.000437653,-0.999988,0
6745,0,0,0,0,760,176,7681,2227,9908,0.0023315,0.00952506,-0.999952,0
7898,0,0,0,0,782,179,8859,2099,10958,0.00100556,0.0082874,-0.999965,0
6655,0,0,0,0,745,178,7578,1626,9204,-0.00444792,0.0153055,-0.999873,0
6692,0,0,0,0,735,171,7598,2578,10176,-0.00672033,0.0157949,-0.999853,0
6703,0,0,0,0,759,174,7636,2554,10190,-0.0109299,0.0184929,-0.999769,0
6741,0,0,0,0,756,174,7671,2655,10326,-0.00843185,0.0154778,-0.999845,0
6042,0,0,0,0,679,162,6883,1902,8785,-0.0104791,0.0179627,-0.999784,0
3193,0,0,0,0,345,80,3618,1091,4709,-0.00831546,0.016383,-0.999831,0
3507,0,0,0,0,394,92,3993,1154,5147,-0.00585279,0.0180238,-0.99982,0
6636,0,0,0,0,742,176,7554,2484,10038,-0.00758204,0.0261739,-0.999629,0
5959,0,0,0,0,705,159,6823,2324,9147,-0.0112373,0.0222776,-0.999688,0
5871,0,0,0,0,660,162,6693,2108,8801,-0.014574,0.0244222,-0.999596,0
6007,0,0,0,0,669,155,6831,2314,9145,-0.0134387,0.0196772,-0.999716,0
5877,0,0,0,0,661,152,6690,2195,8885,-0.0135706,0.0180908,-0.999744,0
5979,0,0,0,0,902,232,7113,2333,9446,-0.0117571,0.0181897,-0.999765,0
6071,0,0,0,0,669,154,6894,2061,8955,-0.0146214,0.020698,-0.999679,0
5892,0,0,0,0,654,152,6698,2161,8859,-0.0145423,0.0201622,-0.999691,0
6099,0,0,0,0,650,152,6901,2113,9014,-0.0142133,0.0214178,-0.99967,0
5907,0,0,0,0,656,152,6715,2231,8946,-0.0133349,0.0213363,-0.999684,0
6523,0,0,0,0,748,167,7438,2189,9627,-0.0118557,0.020396,-0.999722,0
5891,0,0,0,0,674,155,6720,2121,8841,-0.0103357,0.0188681,-0.999769,0
6089,0,0,0,0,817,159,7065,1727,8792,-0.0113512,0.0256159,-0.999607,0
6022,0,0,0,0,646,151,6819,2328,9147,-0.0119443,0.0238995,-0.999643,0
6878,0,0,0,0,662,156,7696,2160,9856,-0.0151218,0.0218412,-0.999647,0
6084,0,0,0,0,654,155,6893,1803,8696,-0.013767,0.0201327,-0.999702,0
6295,0,0,0,0,697,158,7150,1425,8575,-0.0148302,0.025537,-0.999564,0
5911,0,0,0,0,658,152,6721,2102,8823,-0.0161217,0.0231271,-0.999602,0
4054,0,0,0,0,453,104,4611,1532,6143,-0.0160192,0.0234293,-0.999597,0
7057,0,0,0,0,686,159,7902,1967,9869,-0.0136595,0.0202001,-0.999703,0
6263,0,0,0,0,730,161,7154,2159,9313,-0.0156375,0.0232681,-0.999607,0
6007,0,0,0,0,691,164,6862,2083,8945,-0.0129491,0.0225733,-0.999661,0
6408,0,0,0,0,657,186,7251,2380,9631,-0.0119772,0.0239374,-0.999642,0
5856,0,0,0,0,660,152,6668,2018,8686,-0.015303,0.0240983,-0.999593,0
5246,0,0,0,0,589,134,5969,1871,7840,-0.0134218,0.021904,-0.99967,0
5846,0,0,0,0,672,156,6674,2173,8847,-0.0107301,0.0199269,-0.999744,0
6144,0,0,0,0,658,154,6956,2140,9096,-0.00912789,0.0191014,-0.999776,0
6215,0,0,0,0,666,156,7037,2289,9326,-0.0127024,0.0180275,-0.999757,0
6020,0,0,0,0,653,152,6825,2093,8918,-0.0104424,0.0182073,-0.99978,0
4043,0,0,0,0,452,104,4599,1501,6100,-0.00793524,0.0178085,-0.99981,0
6727,0,0,0,0,645,157,7529,2268,9797,-0.007734,0.017282,-0.999821,0
6000,0,0,0,0,656,155,6811,2212,9023,-0.0116604,0.0173705,-0.999781,0
6105,0,0,0,0,702,202,7009,2189,9198,-0.00985026,0.0165852,-0.999814,0
5848,0,0,0,0,674,151,6673,2062,8735,-0.00826089,0.0160752,-0.999837,0
5891,0,0,0,0,653,151,6695,2095,8790,-0.00818258,0.0171516,-0.999819,0
5977,0,0,0,0,672,153,6802,2013,8815,-0.012185,0.0194318,-0.999737,0
6080,0,0,0,0,657,155,6892,2235,9127,-0.0124739,0.018174,-0.999757,0
5929,0,0,0,0,654,154,6737,2096,8833,-0.0134503,0.020227,-0.999705,0
5854,0,0,0,0,651,151,6656,2069,8725,-0.0118579,0.0175048,-0.999776,0
6147,0,0,0,0,652,153,6952,2228,9180,-0.0104605,0.0171163,-0.999799,0
5881,0,0,0,0,653,152,6686,2131,8817,-0.00797931,0.0165029,-0.999832,0
6651,0,0,0,0,700,173,7524,2244,9768,-0.0117685,0.0187735,-0.999755,0
6794,0,0,0,0,800,180,7774,2299,10073,-0.00965548,0.0167097,-0.999814,0
6111,0,0,0,0,707,152,6970,1860,8830,-0.00727652,0.0164649,-0.999838,0
6675,0,0,0,0,788,162,7625,2020,9645,-0.00621924,0.0167394,-0.999841,0
5920,0,0,0,0,653,154,6727,2257,8984,-0.00704638,0.0169611,-0.999831,0
6702,0,0,0,0,741,175,7618,2479,10097,-0.00690175,0.0167976,-0.999835,0
6636,0,0,0,0,734,171,7541,2524,10065,-0.00724466,0.0172909,-0.999824,0
5922,0,0,0,0,653,154,6729,2140,8869,-0.00645719,0.018752,-0.999803,0
6664,0,0,0,0,747,174,7585,2595,10180,-0.0103855,0.0183715,-0.999777,0
6737,0,0,0,0,738,175,7650,2277,9927,-0.00781364,0.0156685,-0.999847,0
5941,0,0,0,0,654,153,6748,1279,8027,-0.00803874,0.020216,-0.999764,0
6849,0,0,0,0,729,176,7754,2484,10238,-0.0130905,0.0187266,-0.999739,0
6656,0,0,0,0,738,174,7568,2572,10140,-0.0112003,0.0173617,-0.999787,0
